classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.85701e-4 ; 0 ; 0.0187856 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 0.0959113 ; 1.02794e-4 ; 0.0955075 ; 0.0210847 ; 2.41502e-4 ; 0 ; 0.0562416 ; 0.00313041 ; 0.226062 ; 2.04973e-4 ; 1.51847e-4 ; 0 ; 0 ; 0 ; 2.04973e-4 ; 0.136589 ; 0.17431 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 0.00289855 ; 1.02794e-4 ; 0 ; 0.00289855 ; 0.00141113 ; 0 ; 0 ; 0.117228 ; 0.00320276 ; 0.00137042 ; 0.177338 ; 0 ; 0 ; 0 ; 0.00137042 ; 0.00292568 ; 0.00292568 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 1.02794e-4 ; 0 ; 0 ; 1.06077e-4 ; 0 ; 3.74451e-5 ; 0.140938 ; 0.0104032 ; 7.12994e-5 ; 1.51847e-4 ; 0 ; 0 ; 3.74451e-5 ; 0 ; 0.0101986 ; 7.15028e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.51002e-5 ; 0 ; 2.51002e-5 ; 0 ; 1.51847e-4 ; 0 ; 0 ; 2.51002e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 0.0371558 ; 0 ; 0.0371558 ; 0 ; 0 ; 0 ; 0 ; 2.04973e-4 ; 0 ; 0 ; 0.00285755 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 6.17365e-5 ; 0 ; 6.17365e-5 ; 0 ; 1.68776e-4 ; 0 ; 1.01786e-4 ; 0 ; 1.75831e-4 ; 1.64531e-4 ; 1.51847e-4 ; 0 ; 0 ; 1.01786e-4 ; 1.64531e-4 ; 1.64531e-4 ; 1.67554e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 0.0371558 ; 0 ; 0 ; 0.0371558 ; 0.0551819 ; 0 ; 0.0382595 ; 4.99445e-4 ; 0.0528125 ; 0.0382595 ; 0.0382484 ; 0 ; 0 ; 0.0382595 ; 0.0378916 ; 0.0397969 ; 0.0402017 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 0.0501551 ; 0 ; 0.0501551 ; 0 ; 0.0210261 ; 0 ; 0 ; 0 ; 0.0214293 ; 0.0204193 ; 4.96482e-4 ; 0 ; 0 ; 0 ; 0.0203915 ; 0.0208231 ; 0.0208231 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
