classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00437879 ; 0 ; 0.00719697 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 0.0404577 ; 0.00145714 ; 0.0403401 ; 0.00928999 ; 0.00188889 ; 0 ; 0.0349991 ; 0.0177365 ; 0.0843052 ; 0.00160317 ; 0.0015303 ; 0 ; 0 ; 0 ; 0.00160317 ; 0.0614614 ; 0.0710031 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 0.00466702 ; 0.00145714 ; 0 ; 0.00466702 ; 0.00236364 ; 0 ; 0 ; 0.0638614 ; 0.00516913 ; 0.00229545 ; 0.0915178 ; 0 ; 0 ; 0 ; 0.00229545 ; 0.00471247 ; 0.00471247 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 0.00145714 ; 0 ; 0 ; 0.00387632 ; 0 ; 0.0012625 ; 0.0500704 ; 0.0070274 ; 0.00249773 ; 0.0015303 ; 0 ; 0 ; 0.0012625 ; 0 ; 0.00674367 ; 0.00250936 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00120238 ; 0 ; 0.00120238 ; 0 ; 0.0015303 ; 0 ; 0 ; 0.00120238 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 0.00918182 ; 0 ; 0.00918182 ; 0 ; 0 ; 0 ; 0 ; 0.00160317 ; 0 ; 0 ; 0.00697809 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 0.00134667 ; 0 ; 0.00134667 ; 0 ; 0.00287333 ; 0 ; 0.00144286 ; 0 ; 0.00297333 ; 0.00280381 ; 0.0015303 ; 0 ; 0 ; 0.00144286 ; 0.00280381 ; 0.00280381 ; 0.00284667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 0.00918182 ; 0 ; 0 ; 0.00918182 ; 0.0136364 ; 0 ; 0.00945454 ; 0.0069716 ; 0.0187779 ; 0.00945454 ; 0.0124971 ; 0 ; 0 ; 0.00945454 ; 0.00936363 ; 0.0129756 ; 0.0149733 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 0.012625 ; 0 ; 0.012625 ; 0 ; 0.00738271 ; 0 ; 0 ; 0 ; 0.00747626 ; 0.00715804 ; 0.00330616 ; 0 ; 0 ; 0 ; 0.00594118 ; 0.00727569 ; 0.00727569 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MemberRef ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00160317 ; 0 ; 0 ; 0.0041882 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0015303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ; 0 ; 0.00145714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0501085 ; 0 ; 0 ; 0.0169466 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0112222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ; 0 ; 0 ; 0 ; 0 ; 0.00542063 ; 0 ; 0.00485417 ; 0.0205144 ; 0.019339 ; 0.0047753 ; 0.00468655 ; 0.00483829 ; 0 ; 0.00160317 ; 0.0047753 ; 0.0113161 ; 0.0107102 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::KeyKind ; 0 ; 0 ; 0 ; 0 ; 0.00440404 ; 0 ; 0.00369549 ; 0.00240476 ; 0.00508101 ; 0.00373863 ; 0.0136269 ; 0.00124691 ; 0 ; 0 ; 0.00373863 ; 0.00373863 ; 0.00497033 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ; 0.00113483 ; 0 ; 0.00113483 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0015303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
