classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0719829 ; 0 ; 0.0593889 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 0.345719 ; 0.0240077 ; 0.345013 ; 0.0850473 ; 0.0287211 ; 0 ; 0.359483 ; 0.288768 ; 0.682618 ; 0.0243767 ; 0.0241061 ; 0 ; 0 ; 0 ; 0.0243767 ; 0.57238 ; 0.618242 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 0.0538041 ; 0.0240077 ; 0 ; 0.0538041 ; 0.0274811 ; 0 ; 0 ; 0.489051 ; 0.0596239 ; 0.0266884 ; 0.72643 ; 0 ; 0 ; 0 ; 0.0266884 ; 0.0543326 ; 0.0543326 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 0.0240077 ; 0 ; 0 ; 0.0719643 ; 0 ; 0.023048 ; 0.337245 ; 0.0830674 ; 0.0461492 ; 0.0241061 ; 0 ; 0 ; 0.023048 ; 0 ; 0.0786104 ; 0.0463737 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0227943 ; 0 ; 0.0227943 ; 0 ; 0.0241061 ; 0 ; 0 ; 0.0227943 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 0.0421043 ; 0 ; 0.0421043 ; 0 ; 0 ; 0 ; 0 ; 0.0243767 ; 0 ; 0 ; 0.099338 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 0.0233925 ; 0 ; 0.0233925 ; 0 ; 0.0485695 ; 0 ; 0.0237723 ; 0 ; 0.0502171 ; 0.0474002 ; 0.0241061 ; 0 ; 0 ; 0.0237723 ; 0.0474002 ; 0.0474002 ; 0.0481063 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 0.0421043 ; 0 ; 0 ; 0.0421043 ; 0.0625312 ; 0 ; 0.0433549 ; 0.116936 ; 0.146917 ; 0.0433549 ; 0.0914209 ; 0 ; 0 ; 0.0433549 ; 0.0429381 ; 0.0936958 ; 0.122068 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 0.0485416 ; 0 ; 0.0485416 ; 0 ; 0.0604611 ; 0 ; 0 ; 0 ; 0.0607142 ; 0.0584972 ; 0.0494717 ; 0 ; 0 ; 0 ; 0.0356412 ; 0.059203 ; 0.059203 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MemberRef ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0243767 ; 0 ; 0 ; 0.0518698 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0241061 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
