classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.06 ; 0 ; 2.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 12.14 ; 1.02 ; 12.12 ; 3.04 ; 1.19 ; 0 ; 13.37 ; 12.28 ; 23.61 ; 1.01 ; 1.01 ; 0 ; 0 ; 0 ; 1.01 ; 20.85 ; 21.92 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 2.03 ; 1.02 ; 0 ; 2.03 ; 1.04 ; 0 ; 0 ; 17.12 ; 2.25 ; 1.01 ; 25.5 ; 0 ; 0 ; 0 ; 1.01 ; 2.05 ; 2.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 1.02 ; 0 ; 0 ; 3.17 ; 0 ; 1.01 ; 11.08 ; 3.26 ; 2.03 ; 1.01 ; 0 ; 0 ; 1.01 ; 0 ; 3.07 ; 2.04 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 1.01 ; 0 ; 1.01 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 1.01 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 4.06 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 1.01 ; 0 ; 1.01 ; 0 ; 2.08 ; 0 ; 1.01 ; 0 ; 2.15 ; 2.03 ; 1.01 ; 0 ; 0 ; 1.01 ; 2.03 ; 2.03 ; 2.06 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 1.01 ; 0 ; 0 ; 1.01 ; 1.5 ; 0 ; 1.04 ; 5.0 ; 5.03 ; 1.04 ; 3.05 ; 0 ; 0 ; 1.04 ; 1.03 ; 3.1 ; 4.25 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 1.01 ; 0 ; 1.01 ; 0 ; 2.09 ; 0 ; 0 ; 0 ; 2.09 ; 2.02 ; 2.04 ; 0 ; 0 ; 0 ; 1.01 ; 2.04 ; 2.04 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MemberRef ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 2.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ; 0 ; 1.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.66 ; 0 ; 0 ; 6.09 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ; 0 ; 0 ; 0 ; 0 ; 2.33 ; 0 ; 2.07 ; 12.41 ; 7.47 ; 2.03 ; 2.02 ; 2.06 ; 0 ; 1.01 ; 2.03 ; 4.88 ; 4.59 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::KeyKind ; 0 ; 0 ; 0 ; 0 ; 3.58 ; 0 ; 3.03 ; 1.01 ; 4.14 ; 3.04 ; 6.08 ; 1.01 ; 0 ; 0 ; 3.04 ; 3.04 ; 4.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
