classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.76645 ; 0 ; 1.91072 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 8.06811 ; 0.986356 ; 7.25889 ; 1.9295 ; 0.490773 ; 0 ; 7.24004 ; 10.3838 ; 12.8459 ; 0.566419 ; 0.981207 ; 0 ; 0 ; 0 ; 0.570342 ; 12.3477 ; 12.8239 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 1.39661 ; 0.986356 ; 0 ; 1.47072 ; 0.462347 ; 0 ; 0 ; 10.5525 ; 0.944219 ; 0.698248 ; 17.5987 ; 0 ; 0 ; 0 ; 0.772667 ; 1.18032 ; 1.00868 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 0.986356 ; 0 ; 0 ; 0.694559 ; 0 ; 0.535713 ; 8.82459 ; 1.81715 ; 0.907159 ; 0.981207 ; 0 ; 0 ; 0.555977 ; 0 ; 1.76622 ; 1.30387 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.495865 ; 0 ; 0.594471 ; 0 ; 0.981207 ; 0 ; 0 ; 0.436603 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 0.73846 ; 0 ; 0.752664 ; 0 ; 0 ; 0 ; 0 ; 0.895458 ; 0 ; 0 ; 3.25209 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 0.430204 ; 0 ; 0.287938 ; 0 ; 0.857724 ; 0 ; 0.652365 ; 0 ; 1.10974 ; 1.08513 ; 0.981207 ; 0 ; 0 ; 0.714687 ; 0.830987 ; 1.06246 ; 1.06799 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 0.73846 ; 0 ; 0 ; 0.582631 ; 0.536098 ; 0 ; 0.73586 ; 3.66566 ; 2.32335 ; 0.562745 ; 2.27454 ; 0 ; 0 ; 0.756084 ; 0.630943 ; 2.02737 ; 2.36666 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 0.81251 ; 0 ; 0.813325 ; 0 ; 1.22918 ; 0 ; 0 ; 0 ; 1.29923 ; 1.46552 ; 1.66527 ; 0 ; 0 ; 0 ; 0.687386 ; 1.37148 ; 1.38084 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
