classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.20331e-4 ; 0 ; 0.0171283 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 0.0609493 ; 9.94035e-5 ; 0.0450879 ; 0.0132186 ; 9.95991e-5 ; 0 ; 0.0370955 ; 0.00272593 ; 0.131472 ; 1.14951e-4 ; 1.47518e-4 ; 0 ; 0 ; 0 ; 1.15747e-4 ; 0.0806428 ; 0.10125 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 0.00198051 ; 9.94035e-5 ; 0 ; 0.00209322 ; 6.27339e-4 ; 0 ; 0 ; 0.0818389 ; 0.00133922 ; 9.47421e-4 ; 0.121074 ; 0 ; 0 ; 0 ; 0.0010484 ; 0.00167756 ; 0.0014266 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 9.94035e-5 ; 0 ; 0 ; 1.8536e-5 ; 0 ; 1.98612e-5 ; 0.111618 ; 0.00507946 ; 2.69272e-5 ; 1.47518e-4 ; 0 ; 0 ; 2.06125e-5 ; 0 ; 0.00545544 ; 4.34801e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.23231e-5 ; 0 ; 1.47736e-5 ; 0 ; 1.47518e-4 ; 0 ; 0 ; 1.08503e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 0.0271664 ; 0 ; 0.027689 ; 0 ; 0 ; 0 ; 0 ; 1.81727e-4 ; 0 ; 0 ; 0.00256678 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 2.62963e-5 ; 0 ; 1.76003e-5 ; 0 ; 7.26111e-5 ; 0 ; 6.57444e-5 ; 0 ; 9.36554e-5 ; 9.43031e-5 ; 1.47518e-4 ; 0 ; 0 ; 7.20251e-5 ; 7.62948e-5 ; 9.10496e-5 ; 9.14616e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 0.0271664 ; 0 ; 0 ; 0.0214338 ; 0.0197219 ; 0 ; 0.0270708 ; 3.44995e-4 ; 0.0230717 ; 0.0207022 ; 0.0198658 ; 0 ; 0 ; 0.0278148 ; 0.0232111 ; 0.0241428 ; 0.0239705 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 0.0403481 ; 0 ; 0.0403885 ; 0 ; 0.0123356 ; 0 ; 0 ; 0 ; 0.0120135 ; 0.0154652 ; 3.76402e-4 ; 0 ; 0 ; 0 ; 0.0138781 ; 0.0131335 ; 0.0133539 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MemberRef ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.81727e-4 ; 0 ; 0 ; 0.00244235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.47518e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ; 0 ; 9.94035e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0547724 ; 0 ; 0 ; 0.0319439 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0348733 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ; 0 ; 0 ; 0 ; 0 ; 0.00173094 ; 0 ; 0.0020627 ; 0.00464494 ; 0.00884492 ; 0.00245185 ; 0.00303583 ; 0.00191398 ; 0 ; 1.45253e-4 ; 0.00184232 ; 0.00513466 ; 0.00544195 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::KeyKind ; 0 ; 0 ; 0 ; 0 ; 5.18475e-5 ; 0 ; 5.28834e-5 ; 0.00159588 ; 8.07314e-5 ; 6.33327e-5 ; 0.013488 ; 1.54946e-5 ; 0 ; 0 ; 6.26589e-5 ; 6.30135e-5 ; 8.04654e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ; 1.35087e-5 ; 0 ; 1.32829e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.47518e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
