classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0025237 ; 0 ; 0.00665066 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 0.0260268 ; 0.00140908 ; 0.0212693 ; 0.00585379 ; 7.79005e-4 ; 0 ; 0.0201481 ; 0.0149363 ; 0.047304 ; 8.99077e-4 ; 0.00148668 ; 0 ; 0 ; 0 ; 9.05305e-4 ; 0.036114 ; 0.0411011 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 0.00320579 ; 0.00140908 ; 0 ; 0.00337872 ; 0.00105079 ; 0 ; 0 ; 0.0424009 ; 0.00216745 ; 0.00158693 ; 0.0601484 ; 0 ; 0 ; 0 ; 0.00175606 ; 0.00271071 ; 0.00231392 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 0.00140908 ; 0 ; 0 ; 8.27781e-4 ; 0 ; 6.69642e-4 ; 0.0398828 ; 0.00370309 ; 0.0010936 ; 0.00148668 ; 0 ; 0 ; 6.94972e-4 ; 0 ; 0.00374851 ; 0.0015937 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.90316e-4 ; 0 ; 7.07704e-4 ; 0 ; 0.00148668 ; 0 ; 0 ; 5.19765e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 0.00671328 ; 0 ; 0.0068424 ; 0 ; 0 ; 0 ; 0 ; 0.00142136 ; 0 ; 0 ; 0.00573469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 5.73605e-4 ; 0 ; 3.83917e-4 ; 0 ; 0.00119211 ; 0 ; 9.3195e-4 ; 0 ; 0.00154167 ; 0.00151403 ; 0.00148668 ; 0 ; 0 ; 0.00102098 ; 0.00116923 ; 0.00147932 ; 0.00148686 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 0.00671328 ; 0 ; 0 ; 0.00529664 ; 0.00487362 ; 0 ; 0.00668964 ; 0.00504267 ; 0.0084056 ; 0.00511586 ; 0.00752999 ; 0 ; 0 ; 0.00687349 ; 0.00573584 ; 0.00809932 ; 0.00865776 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 0.0101564 ; 0 ; 0.0101666 ; 0 ; 0.00433492 ; 0 ; 0 ; 0 ; 0.00434412 ; 0.0053442 ; 0.00266609 ; 0 ; 0 ; 0 ; 0.00404344 ; 0.00469055 ; 0.00475291 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MemberRef ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00142136 ; 0 ; 0 ; 0.0039293 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00148668 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ; 0 ; 0.00140908 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0436472 ; 0 ; 0 ; 0.0143549 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00862356 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ; 0 ; 0 ; 0 ; 0 ; 0.00191064 ; 0 ; 0.0023664 ; 0.0154653 ; 0.00665631 ; 0.00252015 ; 0.00349026 ; 0.00180019 ; 0 ; 0.00113609 ; 0.00210301 ; 0.00550404 ; 0.00559569 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::KeyKind ; 0 ; 0 ; 0 ; 0 ; 0.00196901 ; 0 ; 0.00212495 ; 0.00229276 ; 0.00309769 ; 0.00238935 ; 0.00876627 ; 5.70231e-4 ; 0 ; 0 ; 0.00235108 ; 0.00238315 ; 0.00308808 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ; 0.00100697 ; 0 ; 9.90135e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00148668 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ; 0.00800629 ; 0.00140908 ; 0.00506769 ; 0.00466901 ; 7.41016e-4 ; 0 ; 0.00507575 ; 0.0445302 ; 0.0175269 ; 9.23003e-4 ; 0.00269546 ; 0 ; 9.36008e-4 ; 0 ; 0.00181505 ; 0.00947677 ; 0.018334 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ASTRequestor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00148668 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::search::SearchPattern ; 0.00737176 ; 0 ; 0.00450085 ; 0.00542835 ; 0.0035569 ; 0 ; 0.00367872 ; 0 ; 0.024967 ; 0.00527985 ; 0.00604253 ; 7.14286e-4 ; 0.00269706 ; 0 ; 8.4654e-4 ; 0.0161865 ; 0.0182622 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::jdom::DOMFactory ; 0.00100697 ; 0 ; 9.90135e-4 ; 0 ; 0 ; 0 ; 6.69642e-4 ; 0 ; 8.05109e-4 ; 0 ; 0.00148668 ; 0 ; 0 ; 6.94972e-4 ; 0 ; 8.29892e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::SignatureAttribute ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00148668 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::BinaryMember ; 0.0103408 ; 0 ; 0.00555388 ; 0.00942561 ; 0.00682898 ; 0 ; 0 ; 0.00452612 ; 0.00955821 ; 0.00963186 ; 0.0323346 ; 0 ; 0.00637071 ; 0 ; 9.18694e-4 ; 0.0090957 ; 0.0101275 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::MessageSend ; 0.0142862 ; 0.00140908 ; 0.0047654 ; 0.0127788 ; 7.50489e-4 ; 5.84795e-4 ; 7.24518e-4 ; 0.0436472 ; 0.0315748 ; 7.69883e-4 ; 0.014073 ; 0 ; 0 ; 0.00808161 ; 7.44225e-4 ; 0.027891 ; 0.0289356 ; 4 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::XMLWriter ; 0.00268331 ; 0.0 ; 0.00126944 ; 0.00243996 ; 0.00108415 ; 0 ; 0.00170883 ; 0 ; 0.0045765 ; 0.00187114 ; 0.00229768 ; 9.49576e-4 ; 0.00108755 ; 0 ; 0.00170585 ; 0.00201193 ; 0.00280414 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::JavadocParser ; 0.018005 ; 0 ; 0.0147062 ; 0.00335747 ; 0.010667 ; 0.00641182 ; 0.00453935 ; 0.0504554 ; 0.038514 ; 0.0150172 ; 0.0134821 ; 0.00188387 ; 0 ; 0.00146812 ; 0 ; 0.0312676 ; 0.0360798 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ; 0.00222203 ; 0.00140908 ; 0 ; 0.00205701 ; 0 ; 0 ; 0 ; 0.0436472 ; 0.0189662 ; 0 ; 0.0222264 ; 0 ; 0 ; 0 ; 0 ; 0.0156793 ; 0.0192978 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer ; 0.00671328 ; 0 ; 0 ; 0.00529664 ; 0.00487362 ; 0 ; 0.00668964 ; 0.0136982 ; 0.0093261 ; 0.00511586 ; 0.00752999 ; 0 ; 0 ; 0.00687349 ; 0.00573584 ; 0.00954496 ; 0.00938794 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
