classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0415381 ; 0 ; 0.0555718 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 0.227202 ; 0.0232158 ; 0.199552 ; 0.0538598 ; 0.011845 ; 0 ; 0.197206 ; 0.24387 ; 0.373989 ; 0.0136707 ; 0.0234189 ; 0 ; 0 ; 0 ; 0.0137654 ; 0.337844 ; 0.360167 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 0.0370011 ; 0.0232158 ; 0 ; 0.0389731 ; 0.0122171 ; 0 ; 0 ; 0.30683 ; 0.0250159 ; 0.0184506 ; 0.496056 ; 0 ; 0 ; 0 ; 0.0204171 ; 0.031275 ; 0.026719 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 0.0232158 ; 0 ; 0 ; 0.0156771 ; 0 ; 0.0122249 ; 0.268384 ; 0.0456628 ; 0.0205281 ; 0.0234189 ; 0 ; 0 ; 0.0126873 ; 0 ; 0.0448224 ; 0.0295971 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.011191 ; 0 ; 0.0134164 ; 0 ; 0.0234189 ; 0 ; 0 ; 0.00985351 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 0.0307845 ; 0 ; 0.0313766 ; 0 ; 0 ; 0 ; 0 ; 0.0216122 ; 0 ; 0 ; 0.0800538 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 0.00996391 ; 0 ; 0.00666891 ; 0 ; 0.0200571 ; 0 ; 0.0153547 ; 0 ; 0.0259475 ; 0.0253978 ; 0.0234189 ; 0 ; 0 ; 0.0168216 ; 0.0194882 ; 0.0248552 ; 0.0249838 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 0.0307845 ; 0 ; 0 ; 0.0242884 ; 0.0223485 ; 0 ; 0.0306761 ; 0.0854492 ; 0.0672391 ; 0.0234594 ; 0.0639682 ; 0 ; 0 ; 0.0315192 ; 0.0263024 ; 0.0603715 ; 0.0687147 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 0.03905 ; 0 ; 0.0390892 ; 0 ; 0.0355396 ; 0 ; 0 ; 0 ; 0.0369212 ; 0.0428487 ; 0.0402651 ; 0 ; 0 ; 0 ; 0.0242567 ; 0.0392582 ; 0.0396083 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MemberRef ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0216122 ; 0 ; 0 ; 0.0489339 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0234189 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ; 0 ; 0.0232158 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.515262 ; 0 ; 0 ; 0.131255 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0353049 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ; 0 ; 0 ; 0 ; 0 ; 0.0222927 ; 0 ; 0.0279793 ; 0.235497 ; 0.0684929 ; 0.0286371 ; 0.0419168 ; 0.019717 ; 0 ; 0.0172745 ; 0.0248231 ; 0.062086 ; 0.0619854 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::KeyKind ; 0 ; 0 ; 0 ; 0 ; 0.0364404 ; 0 ; 0.0395517 ; 0.025762 ; 0.0573853 ; 0.0441875 ; 0.104645 ; 0.0105104 ; 0 ; 0 ; 0.0434532 ; 0.044085 ; 0.0572088 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ; 0.0199655 ; 0 ; 0.0196318 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0234189 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ; 0.116277 ; 0.0232158 ; 0.0799968 ; 0.0701346 ; 0.0118074 ; 0 ; 0.0569067 ; 0.528363 ; 0.198726 ; 0.0147071 ; 0.0417989 ; 0 ; 0.0142323 ; 0 ; 0.0282613 ; 0.146201 ; 0.196458 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ASTRequestor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0234189 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::search::SearchPattern ; 0.113921 ; 0 ; 0.0691346 ; 0.0757626 ; 0.0517514 ; 0 ; 0.0434612 ; 0 ; 0.243054 ; 0.0684098 ; 0.0654896 ; 0.0117685 ; 0.0477011 ; 0 ; 0.0137949 ; 0.172304 ; 0.202502 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::jdom::DOMFactory ; 0.0199655 ; 0 ; 0.0196318 ; 0 ; 0 ; 0 ; 0.0122249 ; 0 ; 0.014698 ; 0 ; 0.0234189 ; 0 ; 0 ; 0.0126873 ; 0 ; 0.0151504 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::SignatureAttribute ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0234189 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::BinaryMember ; 0.0836068 ; 0 ; 0.0430943 ; 0.0670949 ; 0.0491562 ; 0 ; 0 ; 0.0271522 ; 0.084043 ; 0.069278 ; 0.271079 ; 0 ; 0.0372477 ; 0 ; 0.0151363 ; 0.074001 ; 0.0875963 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::MessageSend ; 0.117324 ; 0.0232158 ; 0.0504187 ; 0.0972708 ; 0.0118221 ; 0.00824424 ; 0.00828256 ; 0.515262 ; 0.306047 ; 0.0121276 ; 0.126559 ; 0 ; 0 ; 0.039263 ; 0.0117234 ; 0.250657 ; 0.259127 ; 4 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::XMLWriter ; 0.0355578 ; 0.0 ; 0.0167055 ; 0.0323176 ; 0.0161887 ; 0 ; 0.0259004 ; 0 ; 0.0724027 ; 0.0280003 ; 0.0340916 ; 0.0153477 ; 0.0143119 ; 0 ; 0.0264654 ; 0.0294521 ; 0.0443109 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::JavadocParser ; 0.111876 ; 0 ; 0.0733701 ; 0.039171 ; 0.0431648 ; 0.0464876 ; 0.0464628 ; 0.268679 ; 0.263441 ; 0.063945 ; 0.115201 ; 0.0264406 ; 0 ; 0.00947186 ; 0 ; 0.223173 ; 0.220339 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ; 0.0348951 ; 0.0232158 ; 0 ; 0.0323352 ; 0 ; 0 ; 0 ; 0.515262 ; 0.0902484 ; 0 ; 0.151858 ; 0 ; 0 ; 0 ; 0 ; 0.0823343 ; 0.0777511 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer ; 0.0307845 ; 0 ; 0 ; 0.0242884 ; 0.0223485 ; 0 ; 0.0306761 ; 0.12514 ; 0.0497359 ; 0.0234594 ; 0.0639682 ; 0 ; 0 ; 0.0315192 ; 0.0263024 ; 0.0505835 ; 0.0497228 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0159913 ; 0 ; 0.0234189 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0157175 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::Expression ; 0.208422 ; 0.0232158 ; 0.124051 ; 0.0732331 ; 0.0571414 ; 0.0455213 ; 0.0156096 ; 0.515262 ; 0.321935 ; 0.0705074 ; 0.0417989 ; 0 ; 0 ; 0.0172745 ; 0.0691084 ; 0.336294 ; 0.267939 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0103933 ; 0 ; 0 ; 0.0371961 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::ConstantPool ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0234189 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference ; 0.0272998 ; 0.0232158 ; 0.0271094 ; 0 ; 0 ; 0 ; 0 ; 0.515262 ; 0.0334763 ; 0 ; 0.20597 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::impl::IntConstant ; 0.0513247 ; 0 ; 0.0347233 ; 0.014165 ; 0.0106481 ; 0 ; 0.0119761 ; 0.079529 ; 0.0260765 ; 0.0150677 ; 0.0234189 ; 0.0114268 ; 0.0161296 ; 0 ; 0 ; 0.0265888 ; 0.0279117 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0319577 ; 0.203357 ; 0.0796829 ; 0 ; 0.210046 ; 0 ; 0 ; 0.0172745 ; 0 ; 0.0131355 ; 0.0567328 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ; 0 ; 0.0232158 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.541742 ; 0 ; 0 ; 0.126559 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SuperFieldAccess ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0216122 ; 0 ; 0 ; 0.0659922 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
