classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0032594 ; 0 ; 0.0134229 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 0.258214 ; 0.00450391 ; 0.435588 ; 0.0509886 ; 0.00548834 ; 0 ; 0.689711 ; 0.040598 ; 0.204175 ; 0.00960031 ; 9.46198e-4 ; 0 ; 0 ; 0 ; 0.00983348 ; 0.227873 ; 0.229037 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 0.0461369 ; 0.00450391 ; 0 ; 0.088753 ; 9.54277e-4 ; 0 ; 0 ; 0.222829 ; 0.0167967 ; 0.0183749 ; 0.623799 ; 0 ; 0 ; 0 ; 0.0309067 ; 0.0172642 ; 0.0158089 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 0 ; 0.00450391 ; 0 ; 0 ; 0.0423427 ; 0 ; 0.0214285 ; 0.0776043 ; 0.0366858 ; 0.0864039 ; 9.46198e-4 ; 0 ; 0 ; 0.0370652 ; 0 ; 0.0324947 ; 0.0163861 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::formatter::Location ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013774 ; 0 ; 6.7324e-4 ; 0 ; 9.46198e-4 ; 0 ; 0 ; 0.0335848 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 0.0246154 ; 0 ; 0.0396139 ; 0 ; 0 ; 0 ; 0 ; 0.00155732 ; 0 ; 0 ; 0.0265013 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::NLSTag ; 0.0537755 ; 0 ; 0.0719845 ; 0 ; 0.00888912 ; 0 ; 0.00776625 ; 0 ; 0.0168494 ; 0.0946301 ; 9.46198e-4 ; 0 ; 0 ; 0.0476458 ; 0.165405 ; 0.00760667 ; 0.0141798 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 0.0246154 ; 0 ; 0 ; 0.0448178 ; 0.0683798 ; 0 ; 0.050749 ; 0.0107192 ; 0.0689244 ; 0.0937908 ; 0.0591867 ; 0 ; 0 ; 0.0657465 ; 0.0788679 ; 0.0337044 ; 0.0551084 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 0.00469659 ; 0 ; 0.00991859 ; 0 ; 0.00204518 ; 0 ; 0 ; 0 ; 0.00350534 ; 0.025499 ; 0.0208702 ; 0 ; 0 ; 0 ; 0.0274954 ; 0.00530369 ; 0.00713644 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::MemberRef ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00155732 ; 0 ; 0 ; 0.00901748 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::Annotation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.46198e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ; 0 ; 0.00450391 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0933588 ; 0 ; 0 ; 0.0285913 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00330264 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ; 0 ; 0 ; 0 ; 0 ; 0.00839608 ; 0 ; 0.17318 ; 0.141639 ; 0.100488 ; 0.0312644 ; 0.01081 ; 0.280506 ; 0 ; 0.0286294 ; 0.0409594 ; 0.158497 ; 0.103205 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::KeyKind ; 0 ; 0 ; 0 ; 0 ; 0.0115182 ; 0 ; 0.0585842 ; 5.33496e-4 ; 0.0049739 ; 0.0493631 ; 0.0782676 ; 0.0659839 ; 0 ; 0 ; 0.0767878 ; 0.00435116 ; 0.00732944 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ; 0.00471684 ; 0 ; 0.00808458 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.46198e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ; 0.197239 ; 0.00450391 ; 0.279602 ; 0.0924666 ; 0.0104353 ; 0 ; 0.201844 ; 0.102975 ; 0.105661 ; 0.0167138 ; 0.00417304 ; 0 ; 0.0737106 ; 0 ; 0.0316023 ; 0.0695526 ; 0.0775672 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::ASTRequestor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.46198e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::search::SearchPattern ; 0.143912 ; 0 ; 0.209729 ; 0.212925 ; 0.0729573 ; 0 ; 0.120049 ; 0 ; 0.406606 ; 0.104196 ; 0.0603393 ; 0.0625 ; 0.205021 ; 0 ; 0.0649014 ; 0.271583 ; 0.383192 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::jdom::DOMFactory ; 0.0518852 ; 0 ; 0.0889305 ; 0 ; 0 ; 0 ; 0.0214285 ; 0 ; 3.42054e-4 ; 0 ; 9.46198e-4 ; 0 ; 0 ; 0.0370652 ; 0 ; 9.90915e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::SignatureAttribute ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.46198e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::BinaryMember ; 0.159458 ; 0 ; 0.107614 ; 0.185036 ; 0.0107314 ; 0 ; 0 ; 0.01832 ; 0.0427094 ; 0.0824527 ; 0.15619 ; 0 ; 0.155234 ; 0 ; 0.035727 ; 0.0576982 ; 0.0423592 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::MessageSend ; 0.0804046 ; 0.00450391 ; 0.0745836 ; 0.134659 ; 0.0147308 ; 0.166667 ; 0.103848 ; 0.0933588 ; 0.1181 ; 0.0211718 ; 0.0234465 ; 0 ; 0 ; 0.108948 ; 0.0409324 ; 0.124896 ; 0.138459 ; 4 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::XMLWriter ; 0.107758 ; 0 ; 0.0314338 ; 0.1316 ; 0.0119982 ; 0 ; 0.146131 ; 0 ; 0.0780527 ; 0.221816 ; 0.195477 ; 0.208068 ; 0.226211 ; 0 ; 0.211901 ; 0.107825 ; 0.0867259 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::JavadocParser ; 0.058829 ; 0 ; 0.071749 ; 0.030776 ; 0.0178319 ; 0.378351 ; 0.138005 ; 0.167132 ; 0.230994 ; 0.153676 ; 0.0904702 ; 0.223914 ; 0 ; 0.139471 ; 0 ; 0.193028 ; 0.294149 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ; 0.0130867 ; 0.00450391 ; 0 ; 0.0196373 ; 0 ; 0 ; 0 ; 0.0933588 ; 0.0116712 ; 0 ; 0.126311 ; 0 ; 0 ; 0 ; 0 ; 0.0169034 ; 0.0160809 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer ; 0.0246154 ; 0 ; 0 ; 0.0448178 ; 0.0328223 ; 0 ; 0.050749 ; 0.0305548 ; 0.062981 ; 0.0703431 ; 0.0775245 ; 0 ; 0 ; 0.0657465 ; 0.0788679 ; 0.0554059 ; 0.051159 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00548131 ; 0 ; 9.46198e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00990082 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::Expression ; 0.209299 ; 0.00450391 ; 0.224207 ; 0.128757 ; 0.076194 ; 0.0728583 ; 0.013199 ; 0.0918015 ; 0.133261 ; 0.10189 ; 0.00417304 ; 0 ; 0 ; 0.0286294 ; 0.152594 ; 0.142219 ; 0.191715 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.045429 ; 0 ; 0 ; 0.158318 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::ConstantPool ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.46198e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference ; 0.01632 ; 0.00450391 ; 0.0441988 ; 0 ; 0 ; 0 ; 0 ; 0.0933588 ; 0.00179274 ; 0 ; 0.0620953 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::impl::IntConstant ; 0.0521376 ; 0 ; 0.0594205 ; 0.0175181 ; 0.00292719 ; 0 ; 0.184628 ; 0.0387922 ; 0.0122329 ; 0.0144056 ; 9.46198e-4 ; 0.2202 ; 0.0368385 ; 0 ; 0 ; 0.00467771 ; 0.028525 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.130104 ; 0.11391 ; 0.0238605 ; 0 ; 0.246188 ; 0 ; 0 ; 0.0286294 ; 0 ; 0.00523459 ; 0.0376864 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ; 0 ; 0.00450391 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0981089 ; 0 ; 0 ; 0.0234465 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SuperFieldAccess ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00155732 ; 0 ; 0 ; 0.0235917 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot ; 0.0396092 ; 0 ; 0.0256036 ; 0.0304354 ; 0.0176458 ; 0 ; 0 ; 0 ; 0.0151613 ; 0.0252974 ; 0.0447871 ; 0 ; 0 ; 0 ; 0 ; 0.00747409 ; 0.0165318 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::lookup::MethodScope ; 0.24693 ; 0.00450391 ; 0.402991 ; 0 ; 0.01431 ; 0 ; 0.0771457 ; 0.0517151 ; 0.0281556 ; 0.0403992 ; 0.163204 ; 0 ; 0 ; 0.148534 ; 0.0566485 ; 0.025357 ; 0.0204139 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::CompilationResult ; 0.163822 ; 0 ; 0.314217 ; 0.0460313 ; 0.0410067 ; 0 ; 0.408584 ; 0 ; 0.0777981 ; 0.120285 ; 9.46198e-4 ; 0.232289 ; 0.0597318 ; 0.420645 ; 0.184936 ; 0.0604704 ; 0.0986274 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::core::util::KeyToSignature ; 0.0212976 ; 0 ; 0.0239899 ; 0.0157937 ; 0.0419526 ; 0 ; 0.181525 ; 5.33496e-4 ; 0.0732521 ; 0.125307 ; 0.0782676 ; 0.390955 ; 0.0363879 ; 0 ; 0.161669 ; 0.114093 ; 0.0580524 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
