classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 0.0159881 ; 0 ; 4.44497e-4 ; 0.0155716 ; 5.21842e-5 ; 0 ; 2.8564e-5 ; 0 ; 0.0205169 ; 2.8564e-5 ; 2.2653e-4 ; 0.0214293 ; 2.774e-5 ; 2.774e-5 ; 2.8564e-5 ; 1.07385e-4 ; 2.80147e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 1.85947e-5 ; 0 ; 1.85947e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00190261 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 2.63428e-5 ; 0 ; 2.51002e-5 ; 0 ; 2.73368e-5 ; 2.55972e-5 ; 2.86009e-4 ; 0 ; 0 ; 2.51002e-5 ; 2.55972e-5 ; 2.55972e-5 ; 2.55972e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 3.5753e-5 ; 9.21001e-5 ; 0 ; 3.5753e-5 ; 7.82775e-5 ; 0 ; 1.08925e-4 ; 0 ; 2.57474e-4 ; 7.26867e-5 ; 0.00227321 ; 1.11661e-4 ; 1.68252e-5 ; 9.39238e-5 ; 0 ; 1.43933e-4 ; 2.20944e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 0.00348899 ; 5.05456e-5 ; 0.00343745 ; 5.25474e-5 ; 0.00458296 ; 0 ; 0.00342225 ; 5.1046e-5 ; 0.00439908 ; 0.00362349 ; 0.0206473 ; 0.00342225 ; 0 ; 0 ; 5.05456e-5 ; 0.00402697 ; 0.00392335 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 5.58615e-5 ; 0 ; 0 ; 5.58615e-5 ; 0.00625632 ; 0 ; 0 ; 1.5224e-5 ; 0.00675291 ; 0.00575206 ; 0.0879899 ; 0 ; 0.00555734 ; 0 ; 0.00569704 ; 0.00630612 ; 0.00602871 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 0.00367951 ; 0 ; 0.00367951 ; 0 ; 0.0146162 ; 3.05783e-4 ; 0 ; 0 ; 0 ; 0.0136689 ; 2.2653e-4 ; 0.0453822 ; 0 ; 0.0458316 ; 0 ; 0.0136689 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServicePermission ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 6.17365e-5 ; 0 ; 1.62792e-5 ; 0 ; 3.16594e-4 ; 6.17365e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ; 0.0535604 ; 0 ; 0.0535604 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.2653e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
nativetest::d::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ay ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConsoleMsg ; 0 ; 1.85947e-5 ; 0 ; 0 ; 0 ; 0 ; 0.0179594 ; 9.86066e-4 ; 0 ; 0 ; 0.00117321 ; 1.85947e-5 ; 0 ; 0.0179593 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::x::Kx ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::launcher::Main ; 0.0615861 ; 0 ; 0 ; 0.0615861 ; 0.0484279 ; 0 ; 0.0579907 ; 0 ; 0.262356 ; 0.0300228 ; 0 ; 0.0686623 ; 0.0275257 ; 0.00415774 ; 0 ; 0.23705 ; 0.196618 ; 3 ; 0 ; 1 ; 0 ; 0 ; 
nativetest::b2::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader ; 0.0021293 ; 0 ; 0 ; 0.0021293 ; 0 ; 0 ; 0.0307218 ; 0 ; 0.0321315 ; 0 ; 0.00112201 ; 0.0307218 ; 0 ; 0 ; 0 ; 0.0307028 ; 0.031004 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::StartLevelEvent ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00190261 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::internal::launcher::Constants ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00411698 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 0 ; 0 ; 
org::eclipse::osgi::tests::appadmin::SimpleApp ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::stats::StatsManager ; 0.00247816 ; 0 ; 2.2653e-4 ; 0.0024804 ; 5.20345e-4 ; 0 ; 0 ; 2.4223e-4 ; 3.93136e-4 ; 2.4223e-4 ; 2.33258e-4 ; 0 ; 2.2653e-4 ; 0 ; 2.39987e-4 ; 3.6323e-4 ; 3.4305e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.018451 ; 0 ; 0 ; 0 ; 0.00236531 ; 0.018451 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::util::TextProcessor ; 4.12764e-4 ; 0 ; 0 ; 4.12764e-4 ; 0.00124421 ; 0 ; 0.0759557 ; 0 ; 0.12282 ; 0.00114423 ; 0 ; 0.0759557 ; 0.00113312 ; 0 ; 0.00112201 ; 0.0016926 ; 0.0773408 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
