classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 0.0129316 ; 0 ; 0.00446833 ; 0.00969219 ; 0.00228916 ; 0 ; 0.00125301 ; 0 ; 0.00943977 ; 0.00125301 ; 0.00162903 ; 0.00747626 ; 0.00121687 ; 0.00121687 ; 0.00125301 ; 0.00274831 ; 0.00122892 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 0.00116092 ; 0 ; 0.00116092 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00404992 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 0.0012619 ; 0 ; 0.00120238 ; 0 ; 0.00130952 ; 0.00122619 ; 0.00410214 ; 0 ; 0 ; 0.00120238 ; 0.00122619 ; 0.00122619 ; 0.00122619 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 0.00233137 ; 0.00142254 ; 0 ; 0.00233137 ; 0.00266148 ; 0 ; 0.00257026 ; 0 ; 0.00702493 ; 0.00247667 ; 0.00417016 ; 0.00261252 ; 0.00114773 ; 0.0014507 ; 0 ; 0.00504378 ; 0.00646664 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 0.00428052 ; 0.00131169 ; 0.00294286 ; 0.00136364 ; 0.00587013 ; 0 ; 0.00422338 ; 0.00132468 ; 0.00528571 ; 0.00442078 ; 0.0115033 ; 0.00422338 ; 0 ; 0 ; 0.00131169 ; 0.00484156 ; 0.00466493 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 0.00132895 ; 0 ; 0 ; 0.00132895 ; 0.00654319 ; 0 ; 0 ; 0.00113483 ; 0.00686913 ; 0.00603136 ; 0.0392118 ; 0 ; 0.00336667 ; 0 ; 0.00599803 ; 0.00649523 ; 0.00623521 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 0.00461453 ; 0 ; 0.00461453 ; 0 ; 0.00514286 ; 0.00171186 ; 0 ; 0 ; 0 ; 0.00480952 ; 0.00162903 ; 0.0112222 ; 0 ; 0.0113333 ; 0 ; 0.00480952 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
