classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 0.155255 ; 0 ; 0.0723226 ; 0.106015 ; 0.0429965 ; 0 ; 0.0235349 ; 0 ; 0.0988102 ; 0.0235349 ; 0.0244712 ; 0.0607142 ; 0.0228561 ; 0.0228561 ; 0.0235349 ; 0.049125 ; 0.0230823 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 0.0226152 ; 0 ; 0.0226152 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.051734 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 0.0239227 ; 0 ; 0.0227943 ; 0 ; 0.0248255 ; 0.0232457 ; 0.0706998 ; 0 ; 0 ; 0.0227943 ; 0.0232457 ; 0.0232457 ; 0.0232457 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 0.0456194 ; 0.0236932 ; 0 ; 0.0456194 ; 0.0492891 ; 0 ; 0.0462507 ; 0 ; 0.127311 ; 0.0458785 ; 0.0520913 ; 0.0469545 ; 0.0225575 ; 0.0241624 ; 0 ; 0.0935463 ; 0.117778 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 0.0526793 ; 0.0232508 ; 0.0289681 ; 0.0241716 ; 0.0736498 ; 0 ; 0.0521168 ; 0.023481 ; 0.0644166 ; 0.0542647 ; 0.114796 ; 0.0521168 ; 0 ; 0 ; 0.0232508 ; 0.0590209 ; 0.0565657 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 0.023321 ; 0 ; 0 ; 0.023321 ; 0.0831639 ; 0 ; 0 ; 0.0225007 ; 0.0862696 ; 0.0766456 ; 0.365774 ; 0 ; 0.0296925 ; 0 ; 0.0763516 ; 0.0820644 ; 0.0787981 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 0.0534197 ; 0 ; 0.0534197 ; 0 ; 0.035468 ; 0.0247688 ; 0 ; 0 ; 0 ; 0.0331691 ; 0.0244712 ; 0.0459438 ; 0 ; 0.0463987 ; 0 ; 0.0331691 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServicePermission ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0233925 ; 0 ; 0.0240602 ; 0 ; 0.0488139 ; 0.0233925 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ; 0.161416 ; 0 ; 0.161416 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0244712 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
nativetest::d::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ay ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConsoleMsg ; 0 ; 0.0226152 ; 0 ; 0 ; 0 ; 0 ; 0.14475 ; 0.0721394 ; 0 ; 0 ; 0.0738813 ; 0.0226152 ; 0 ; 0.144526 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::x::Kx ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::launcher::Main ; 0.107071 ; 0 ; 0 ; 0.107071 ; 0.10628 ; 0 ; 0.24347 ; 0 ; 0.551302 ; 0.0660245 ; 0 ; 0.275133 ; 0.0382609 ; 0.0291694 ; 0 ; 0.521081 ; 0.441918 ; 3 ; 0 ; 1 ; 0 ; 0 ; 
nativetest::b2::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
