classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 6.08 ; 0 ; 3.06 ; 4.04 ; 1.9 ; 0 ; 1.04 ; 0 ; 3.77 ; 1.04 ; 1.01 ; 2.09 ; 1.01 ; 1.01 ; 1.04 ; 2.14 ; 1.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 1.01 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 1.06 ; 0 ; 1.01 ; 0 ; 1.1 ; 1.03 ; 3.05 ; 0 ; 0 ; 1.01 ; 1.03 ; 1.03 ; 1.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 2.04 ; 1.01 ; 0 ; 2.04 ; 2.17 ; 0 ; 2.02 ; 0 ; 5.57 ; 2.02 ; 2.03 ; 2.05 ; 1.01 ; 1.03 ; 0 ; 4.12 ; 5.16 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 2.06 ; 1.01 ; 1.03 ; 1.05 ; 2.9 ; 0 ; 2.04 ; 1.02 ; 2.51 ; 2.12 ; 4.21 ; 2.04 ; 0 ; 0 ; 1.01 ; 2.3 ; 2.2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 1.01 ; 0 ; 0 ; 1.01 ; 3.31 ; 0 ; 0 ; 1.01 ; 3.42 ; 3.05 ; 13.4 ; 0 ; 1.01 ; 0 ; 3.04 ; 3.26 ; 3.13 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 2.03 ; 0 ; 2.03 ; 0 ; 1.08 ; 1.01 ; 0 ; 0 ; 0 ; 1.01 ; 1.01 ; 1.01 ; 0 ; 1.02 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServicePermission ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 1.08 ; 0 ; 2.05 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ; 5.22 ; 0 ; 5.22 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
nativetest::d::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ay ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConsoleMsg ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 5.51 ; 3.05 ; 0 ; 0 ; 3.06 ; 1.01 ; 0 ; 5.5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::x::Kx ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::launcher::Main ; 3.03 ; 0 ; 0 ; 3.03 ; 3.25 ; 0 ; 8.16 ; 0 ; 16.46 ; 2.02 ; 0 ; 9.18 ; 1.01 ; 1.02 ; 0 ; 15.75 ; 13.44 ; 3 ; 0 ; 1 ; 0 ; 0 ; 
nativetest::b2::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader ; 2.03 ; 0 ; 0 ; 2.03 ; 0 ; 0 ; 1.02 ; 0 ; 3.08 ; 0 ; 1.01 ; 1.02 ; 0 ; 0 ; 0 ; 2.04 ; 2.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::StartLevelEvent ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::internal::launcher::Constants ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 0 ; 0 ; 
org::eclipse::osgi::tests::appadmin::SimpleApp ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::stats::StatsManager ; 4.06 ; 0 ; 1.01 ; 4.07 ; 2.32 ; 0 ; 0 ; 1.08 ; 2.48 ; 1.08 ; 1.04 ; 0 ; 1.01 ; 0 ; 1.07 ; 2.36 ; 2.23 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 3.04 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::util::TextProcessor ; 1.01 ; 0 ; 0 ; 1.01 ; 1.12 ; 0 ; 2.03 ; 0 ; 4.77 ; 1.03 ; 0 ; 2.03 ; 1.02 ; 0 ; 1.01 ; 2.2 ; 3.29 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::DependentPolicy ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.18 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 2.11 ; 2.08 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::GenericSpecificationImpl ; 1.01 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::tests::services::resolver::SimplePlatformAdmin ; 2.02 ; 0 ; 0 ; 2.02 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 5.11 ; 0 ; 0 ; 0 ; 0 ; 1.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::Locker_JavaNio ; 2.04 ; 0 ; 1.01 ; 1.03 ; 1.03 ; 0 ; 0 ; 0 ; 4.37 ; 1.01 ; 2.02 ; 0 ; 0 ; 0 ; 1.01 ; 2.09 ; 1.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
thread::locktest::Class1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
legacy::lazystart::b::excluded::b::BBExcluded ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::signedcontent::PKCS7DateParser ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
chain::test::d::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ny ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
osgi::lazystart::LazySimple ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::x::Ix ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::ResolverExport ; 1.04 ; 1.01 ; 2.02 ; 2.06 ; 6.11 ; 0 ; 2.04 ; 2.03 ; 7.83 ; 5.12 ; 3.07 ; 2.04 ; 3.03 ; 0 ; 1.02 ; 5.4 ; 6.31 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::StateObjectFactoryImpl ; 7.12 ; 0 ; 0 ; 7.12 ; 4.19 ; 0 ; 1.07 ; 1.01 ; 13.29 ; 3.07 ; 4.06 ; 0 ; 3.04 ; 0 ; 3.06 ; 12.88 ; 6.31 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::StartLevelManager ; 5.07 ; 0 ; 2.02 ; 4.06 ; 5.73 ; 0 ; 3.03 ; 0 ; 13.1 ; 4.06 ; 2.08 ; 3.03 ; 1.01 ; 0 ; 3.03 ; 13.68 ; 10.34 ; 4 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::EclipseAppLauncher ; 3.04 ; 0 ; 0 ; 3.04 ; 1.06 ; 0 ; 1.01 ; 0 ; 4.22 ; 1.01 ; 1.01 ; 1.01 ; 0 ; 0 ; 1.01 ; 3.13 ; 3.07 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::Msg ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 7.75 ; 3.05 ; 0 ; 0 ; 3.06 ; 1.01 ; 0 ; 7.74 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::BundleDescriptionImpl ; 8.17 ; 1.01 ; 2.03 ; 6.17 ; 29.45 ; 0 ; 7.16 ; 0 ; 17.82 ; 8.39 ; 7.21 ; 5.13 ; 3.04 ; 0 ; 7.21 ; 15.46 ; 12.92 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::adaptor::Locker_JavaIo ; 1.01 ; 0 ; 1.01 ; 0 ; 1.03 ; 0 ; 0 ; 0 ; 1.15 ; 1.01 ; 2.02 ; 0 ; 0 ; 0 ; 1.01 ; 1.04 ; 1.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::StateMsg ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 8.23 ; 3.05 ; 0 ; 0 ; 3.06 ; 1.01 ; 0 ; 7.22 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleSource ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::storagemanager::StorageManager ; 2.07 ; 0 ; 1.06 ; 2.02 ; 0 ; 0 ; 0 ; 0 ; 2.11 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 2.02 ; 1.01 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::osgi::framework::FrameworkEvent ; 3.05 ; 0 ; 3.05 ; 0 ; 0 ; 0 ; 1.02 ; 0 ; 0 ; 0 ; 2.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::StateDeltaImpl ; 1.01 ; 0 ; 0 ; 1.01 ; 1.08 ; 0 ; 0 ; 0 ; 2.11 ; 1.01 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 1.02 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
