classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 3.82339 ; 0 ; 1.63996 ; 2.71689 ; 0.430971 ; 0 ; 0.596395 ; 0 ; 1.49525 ; 0.457542 ; 0.92102 ; 0.91607 ; 0.373114 ; 0.491933 ; 0.323007 ; 1.01202 ; 0.497726 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 0.518223 ; 0 ; 0.326058 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.38663 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 0.480974 ; 0 ; 0.376698 ; 0 ; 0.508089 ; 0.561074 ; 1.5904 ; 0 ; 0 ; 0.218104 ; 0.30188 ; 0.533153 ; 0.521215 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 1.17078 ; 0 ; 0 ; 1.05523 ; 0.855332 ; 0 ; 0.996215 ; 0 ; 2.79429 ; 0.965205 ; 1.35185 ; 1.14001 ; 0.572125 ; 0.727312 ; 0 ; 2.19094 ; 2.65919 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 1.0696 ; 0.430599 ; 0.597281 ; 0.533587 ; 0.858065 ; 0 ; 0.978566 ; 0.58385 ; 0.974215 ; 0.999317 ; 2.03166 ; 1.0726 ; 0 ; 0 ; 0.471669 ; 1.00411 ; 1.04214 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 0.398525 ; 0 ; 0 ; 0.406954 ; 1.33692 ; 0 ; 0 ; 0.859793 ; 1.77507 ; 1.67307 ; 7.24847 ; 0 ; 0.333333 ; 0 ; 1.34372 ; 1.75667 ; 1.78779 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 1.07054 ; 0 ; 1.00732 ; 0 ; 0.700783 ; 0.63093 ; 0 ; 0 ; 0 ; 0.736754 ; 0.92102 ; 0.54786 ; 0 ; 0.612739 ; 0 ; 0.640537 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
