classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 0.0130391 ; 0 ; 2.57785e-4 ; 0.0126406 ; 1.18368e-5 ; 0 ; 1.63802e-5 ; 0 ; 0.00979646 ; 1.25666e-5 ; 2.06573e-4 ; 0.00817632 ; 1.02477e-5 ; 1.35111e-5 ; 8.87152e-6 ; 4.97214e-5 ; 1.36702e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 9.54077e-6 ; 0 ; 6.00291e-6 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.78208e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 1.1953e-5 ; 0 ; 9.36158e-6 ; 0 ; 1.26269e-5 ; 1.39436e-5 ; 2.27018e-4 ; 0 ; 0 ; 5.42026e-6 ; 7.50222e-6 ; 1.32497e-5 ; 1.29531e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 2.04115e-5 ; 0.0 ; 0 ; 1.84155e-5 ; 2.69422e-5 ; 0 ; 5.22405e-5 ; 0 ; 1.26883e-4 ; 3.07525e-5 ; 0.00107865 ; 6.46933e-5 ; 9.53079e-6 ; 6.63223e-5 ; 0 ; 7.45063e-5 ; 1.12189e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 0.00175194 ; 2.15494e-5 ; 0.00199332 ; 2.67034e-5 ; 0.00147442 ; 0 ; 0.0016174 ; 2.92188e-5 ; 0.00156869 ; 0.0017663 ; 0.00634303 ; 0.00184195 ; 0 ; 0 ; 2.36048e-5 ; 0.00160388 ; 0.00164792 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 2.20418e-5 ; 0 ; 0 ; 2.2508e-5 ; 9.91483e-4 ; 0 ; 0 ; 1.29599e-5 ; 0.00257054 ; 0.00138767 ; 0.0413174 ; 0 ; 0.00183411 ; 0 ; 8.11481e-5 ; 0.00235366 ; 0.0024636 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 0.00189195 ; 0 ; 0.00211746 ; 0 ; 0.00948407 ; 1.91017e-4 ; 0 ; 0 ; 0 ; 0.00997088 ; 2.06573e-4 ; 0.0246169 ; 0 ; 0.0275321 ; 0 ; 0.00866873 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServicePermission ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.87434e-5 ; 0 ; 1.11528e-5 ; 0 ; 2.59632e-4 ; 2.87789e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ; 0.0346633 ; 0 ; 0.0344346 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.06573e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
nativetest::d::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ay ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConsoleMsg ; 0 ; 5.83601e-6 ; 0 ; 0 ; 0 ; 0 ; 0.00601893 ; 9.43265e-4 ; 0 ; 0 ; 9.17503e-4 ; 9.863e-6 ; 0 ; 0.00184892 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::x::Kx ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::launcher::Main ; 0.0270014 ; 0 ; 0 ; 0.0268938 ; 0.00755201 ; 0 ; 0.0186878 ; 0 ; 0.100086 ; 0.00720731 ; 0 ; 0.0123741 ; 0.0 ; 0.0 ; 0 ; 0.0913603 ; 0.0876233 ; 3 ; 0 ; 1 ; 0 ; 0 ; 
nativetest::b2::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader ; 0.00148879 ; 0 ; 0 ; 0.00165827 ; 0 ; 0 ; 0.0 ; 0 ; 0.00567748 ; 0 ; 3.34414e-4 ; 0.0 ; 0 ; 0 ; 0 ; 0.00574103 ; 6.21343e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::StartLevelEvent ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.78208e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::equinox::internal::launcher::Constants ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 0 ; 0 ; 
org::eclipse::osgi::tests::appadmin::SimpleApp ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::core::runtime::internal::stats::StatsManager ; 0.00169741 ; 0 ; 1.41675e-4 ; 0.00187658 ; 5.12825e-5 ; 0 ; 0 ; 1.13212e-4 ; 1.43928e-4 ; 6.54317e-5 ; 2.06573e-4 ; 0 ; 3.74557e-5 ; 0 ; 4.46762e-5 ; 1.35811e-4 ; 1.20455e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0 ; 0 ; 0 ; 0.00112764 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
