classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 0.00898738 ; 0 ; 0.00243614 ; 0.00721138 ; 5.19242e-4 ; 0 ; 7.18548e-4 ; 0 ; 0.00414068 ; 5.51256e-4 ; 0.00148552 ; 0.00299473 ; 4.49535e-4 ; 5.9269e-4 ; 3.89166e-4 ; 0.00129598 ; 5.99669e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 5.95658e-4 ; 0 ; 3.74779e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0025941 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 5.72588e-4 ; 0 ; 4.4845e-4 ; 0 ; 6.04868e-4 ; 6.67945e-4 ; 0.00230172 ; 0 ; 0 ; 2.59648e-4 ; 3.59381e-4 ; 6.34706e-4 ; 6.20495e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 0.00133721 ; 0.0 ; 0 ; 0.00120536 ; 0.0010309 ; 0 ; 0.00126219 ; 0 ; 0.00351339 ; 0.00116494 ; 0.00256258 ; 0.00146231 ; 6.50142e-4 ; 0.00102438 ; 0 ; 0.00267277 ; 0.00332517 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 0.00219428 ; 5.5922e-4 ; 0.00170652 ; 6.9297e-4 ; 0.00179301 ; 0 ; 0.00201443 ; 7.58246e-4 ; 0.00198579 ; 0.00211148 ; 0.00467226 ; 0.00224078 ; 0 ; 0 ; 6.12557e-4 ; 0.00204059 ; 0.00210995 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 5.24375e-4 ; 0 ; 0 ; 5.35466e-4 ; 0.00205732 ; 0 ; 0 ; 9.6606e-4 ; 0.0031958 ; 0.00263278 ; 0.0196774 ; 0 ; 0.00111111 ; 0 ; 0.00170541 ; 0.00309424 ; 0.00318715 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 0.00241495 ; 0 ; 0.0024015 ; 0 ; 0.00333706 ; 0.00106937 ; 0 ; 0 ; 0 ; 0.00350835 ; 0.00148552 ; 0.00608733 ; 0 ; 0.00680821 ; 0 ; 0.00305018 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServicePermission ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 6.26983e-4 ; 0 ; 8.31356e-4 ; 0 ; 0.00237866 ; 6.27757e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ; 0.0133141 ; 0 ; 0.0121399 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00148552 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
nativetest::d::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::y::Ay ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConsoleMsg ; 0 ; 3.64359e-4 ; 0 ; 0 ; 0 ; 0 ; 0.00371641 ; 0.0036516 ; 0 ; 0 ; 0.00353361 ; 6.15776e-4 ; 0 ; 0.00208005 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
