classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 0.100156 ; 0 ; 0.0389227 ; 0.0734084 ; 0.00975277 ; 0 ; 0.0134963 ; 0 ; 0.0402811 ; 0.0103541 ; 0.0223154 ; 0.025848 ; 0.00844348 ; 0.0111323 ; 0.00730958 ; 0.0232164 ; 0.0112634 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 0.0116037 ; 0 ; 0.00730086 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0347717 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 0.0108549 ; 0 ; 0.00850154 ; 0 ; 0.0114669 ; 0.0126626 ; 0.0375042 ; 0 ; 0 ; 0.00492231 ; 0.006813 ; 0.0120325 ; 0.0117631 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 0.0261781 ; 0.0 ; 0 ; 0.0235949 ; 0.0193514 ; 0 ; 0.0227874 ; 0 ; 0.0638226 ; 0.021844 ; 0.0339936 ; 0.0261508 ; 0.0127779 ; 0.0170618 ; 0 ; 0.0497066 ; 0.0606656 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 0.0272598 ; 0.00991265 ; 0.0167982 ; 0.0122835 ; 0.0219757 ; 0 ; 0.0249623 ; 0.0134406 ; 0.0247868 ; 0.0256696 ; 0.0529898 ; 0.0274684 ; 0 ; 0 ; 0.0108581 ; 0.0255274 ; 0.0264683 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 0.00920196 ; 0 ; 0 ; 0.00939659 ; 0.0317363 ; 0 ; 0 ; 0.0191544 ; 0.0435924 ; 0.0399024 ; 0.19395 ; 0 ; 0.00979951 ; 0 ; 0.0307363 ; 0.0429282 ; 0.0438219 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 0.0281139 ; 0 ; 0.0268538 ; 0 ; 0.0230142 ; 0.0154727 ; 0 ; 0 ; 0 ; 0.0241955 ; 0.0223154 ; 0.0249216 ; 0 ; 0.0278729 ; 0 ; 0.0210357 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServicePermission ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0108911 ; 0 ; 0.0164836 ; 0 ; 0.0373514 ; 0.0109046 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
