classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
ext::framework::a::importer::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 0.143851 ; 0 ; 0.157053 ; 0.114379 ; 0.14156 ; 0 ; 0.159039 ; 0 ; 0.230481 ; 0.152514 ; 0.00391924 ; 0.412438 ; 0.124371 ; 0.0983866 ; 0.161504 ; 0.114468 ; 0.0248863 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::osgi::framework::ServiceEvent ; 0.0225314 ; 0 ; 0.0296416 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0323441 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; 0 ; 0 ; 0 ; 0 ; 0.0094929 ; 0 ; 0.062783 ; 0 ; 0.0213483 ; 0.0801534 ; 0.186438 ; 0 ; 0 ; 0.109052 ; 0.113205 ; 0.0128989 ; 0.0236916 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
substitutes::z::Fz ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
circularity::test::Activator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; 0.0950382 ; 0 ; 0 ; 0.118562 ; 0.0313735 ; 0 ; 0.0686918 ; 0 ; 0.143078 ; 0.0998726 ; 0.079643 ; 0.204602 ; 0.0817321 ; 0.145462 ; 0 ; 0.0459833 ; 0.146983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::BundleConstraint ; 0.167133 ; 0.0861199 ; 0.162895 ; 0.0952834 ; 0.0701462 ; 0 ; 0.162181 ; 0.129744 ; 0.0652507 ; 0.174599 ; 0.333765 ; 0.183435 ; 0 ; 0 ; 0.0393058 ; 0.0870577 ; 0.0787722 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::resolver::SystemState ; 0.0332104 ; 0 ; 0 ; 0.0339128 ; 0.0339964 ; 0 ; 0 ; 0.0955326 ; 0.182792 ; 0.195591 ; 1.26245 ; 0 ; 0.166667 ; 0 ; 0.101334 ; 0.174277 ; 0.158995 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::osgi::internal::module::VersionSupplier ; 0.0643835 ; 0 ; 0.171452 ; 0 ; 0.00462945 ; 0.157732 ; 0 ; 0 ; 0 ; 0.0237663 ; 0.00391924 ; 0.0228275 ; 0 ; 0.0816985 ; 0 ; 0.0022475 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
