classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 5 ; 0 ; 6 ; 1 ; 19 ; 0 ; 0 ; 0 ; 41.0 ; 2.0 ; 10 ; 0 ; 0 ; 0.0 ; 2 ; 7.0 ; 3.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 22 ; 0 ; 4 ; 22 ; 1857 ; 0 ; 26 ; 0 ; 658.0 ; 33.0 ; 2 ; 40 ; 12 ; 22.0 ; 0 ; 158.0 ; 122.0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 110 ; 0 ; 108 ; 2 ; 29 ; 0 ; 4 ; 0 ; 30.0 ; 2.0 ; 6 ; 4 ; 0 ; 0.0 ; 2 ; 15.0 ; 7.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 2 ; 0 ; 1 ; 1 ; 0 ; 0 ; 1 ; 0 ; 1.0 ; 0.0 ; 0 ; 1 ; 0 ; 0.0 ; 0 ; 3.0 ; 1.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 3 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 84 ; 0 ; 83 ; 5 ; 437 ; 2 ; 6 ; 0 ; 213.0 ; 23.0 ; 14 ; 4 ; 4 ; 5.0 ; 19 ; 57.0 ; 55.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 6 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0.0 ; 0 ; 0.0 ; 0.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 4 ; 0 ; 1.0 ; 0.0 ; 6 ; 0 ; 0 ; 0.0 ; 0 ; 4.0 ; 0.0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 16 ; 0 ; 16 ; 0 ; 95 ; 0 ; 3 ; 0 ; 31.0 ; 5.0 ; 12 ; 0 ; 0 ; 0.0 ; 5 ; 6.0 ; 12.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
