classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 0.109487 ; 0 ; 0.109639 ; 1.51847e-4 ; 0.0816539 ; 0 ; 0 ; 0 ; 0.0893642 ; 0.0749745 ; 0.0980118 ; 0 ; 0 ; 0 ; 0.0749745 ; 0.0757213 ; 0.074976 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 0.358175 ; 0 ; 0.119625 ; 0.258401 ; 0.741218 ; 0 ; 0.379156 ; 0 ; 0.710292 ; 0.277246 ; 0.0217237 ; 0.305821 ; 0.155131 ; 0.160274 ; 0 ; 0.472729 ; 0.443571 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 0.581397 ; 0 ; 0.581394 ; 1.53351e-4 ; 1.93944e-4 ; 0 ; 0.0256461 ; 0 ; 0.00504873 ; 1.53351e-4 ; 0.0229641 ; 0.0256461 ; 0 ; 0 ; 1.53351e-4 ; 1.72896e-4 ; 1.60868e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 0.0922934 ; 0 ; 0.0913886 ; 0.0913886 ; 0 ; 0 ; 0.0913886 ; 0 ; 0.0913886 ; 0 ; 0 ; 0.0913886 ; 0 ; 0 ; 0 ; 0.166952 ; 0.0913886 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0227389 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 0.52423 ; 0 ; 0.523881 ; 0.0920717 ; 0.269303 ; 0.130253 ; 0.0277721 ; 0 ; 0.19338 ; 0.11879 ; 0.0231264 ; 0.0341416 ; 0.0813328 ; 0.0110769 ; 0.116517 ; 0.130487 ; 0.135016 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0229641 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.027887 ; 0 ; 0.0111911 ; 0 ; 0.0229641 ; 0 ; 0 ; 0 ; 0 ; 0.0115235 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 0.167955 ; 0 ; 0.167955 ; 0 ; 0.209024 ; 0 ; 0.143266 ; 0 ; 0.337597 ; 0.144677 ; 0.170138 ; 0 ; 0 ; 0 ; 0.144677 ; 0.145347 ; 0.322625 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
