classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 0.0372708 ; 0 ; 0.0388011 ; 0.0015303 ; 0.0291515 ; 0 ; 0 ; 0 ; 0.033767 ; 0.0267803 ; 0.0361851 ; 0 ; 0 ; 0 ; 0.0267803 ; 0.0270909 ; 0.0267955 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 0.130205 ; 0 ; 0.0324158 ; 0.104719 ; 0.219766 ; 0 ; 0.137383 ; 0 ; 0.240588 ; 0.0809854 ; 0.00857385 ; 0.0909855 ; 0.0454035 ; 0.042381 ; 0 ; 0.165522 ; 0.155627 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 0.246195 ; 0 ; 0.246165 ; 0.00154545 ; 0.00195455 ; 0 ; 0.00693333 ; 0 ; 0.00522348 ; 0.00154545 ; 0.010829 ; 0.00693333 ; 0 ; 0 ; 0.00154545 ; 0.00174242 ; 0.00162121 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 0.051 ; 0 ; 0.0505 ; 0.0505 ; 0 ; 0 ; 0.0505 ; 0 ; 0.0505 ; 0 ; 0 ; 0.0505 ; 0 ; 0 ; 0 ; 0.076 ; 0.0505 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0107228 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 0.201523 ; 0 ; 0.199614 ; 0.035047 ; 0.100598 ; 0.0396786 ; 0.0141585 ; 0 ; 0.0735356 ; 0.0470777 ; 0.0124653 ; 0.013197 ; 0.0290081 ; 0.00884269 ; 0.0462954 ; 0.0512672 ; 0.052705 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.010829 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00974667 ; 0 ; 0.0043913 ; 0 ; 0.010829 ; 0 ; 0 ; 0 ; 0 ; 0.00452174 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 0.055219 ; 0 ; 0.055219 ; 0 ; 0.067 ; 0 ; 0.0457 ; 0 ; 0.13775 ; 0.04615 ; 0.0596368 ; 0 ; 0 ; 0 ; 0.04615 ; 0.04635 ; 0.131767 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 0.0445434 ; 0 ; 0.0224241 ; 0.0221193 ; 0.00411111 ; 0 ; 0 ; 0 ; 0.0144696 ; 0.00374074 ; 0.00857385 ; 0 ; 0.00374074 ; 0 ; 0 ; 0.0139624 ; 0.00777493 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00857385 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0108196 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::HitIterator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0107228 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::misc::HighFreqTerms ; 0.00145714 ; 0 ; 0 ; 0.00145714 ; 0 ; 0 ; 0 ; 0 ; 0.0016 ; 0 ; 0.0107228 ; 0 ; 0 ; 0 ; 0 ; 0.00155714 ; 0.00148571 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FormatPostingsDocsConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::IndexSearcher ; 0.161972 ; 0 ; 0.15625 ; 0.00572222 ; 0 ; 0.0015303 ; 0 ; 0 ; 0.00622222 ; 0 ; 0.010829 ; 0 ; 0 ; 0 ; 0 ; 0.00616667 ; 0.00583333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::db::DbIndexOutput ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00246341 ; 0 ; 0.00961533 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::TokenGroup ; 0.0015303 ; 0 ; 0 ; 0.0015303 ; 0 ; 0 ; 0.00156061 ; 0 ; 0.00162121 ; 0 ; 0.0107228 ; 0 ; 0 ; 0.00156061 ; 0 ; 0.0268561 ; 0.0015303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::MergeDocIDRemapper ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask ; 0.0117184 ; 0 ; 0 ; 0.0117184 ; 0.0024878 ; 0 ; 0 ; 0.00268293 ; 0.00304878 ; 0.00246341 ; 0.00587569 ; 0 ; 0 ; 0 ; 0 ; 0.00297561 ; 0.00263415 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::PorterStemFilter ; 0.00325806 ; 0 ; 0 ; 0.00325806 ; 0 ; 0 ; 0 ; 0 ; 0.0285403 ; 0 ; 0.0278093 ; 0 ; 0 ; 0 ; 0 ; 0.0286048 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::PhraseScorer ; 0 ; 0.00561111 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00276316 ; 0 ; 0.0163339 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::WordlistLoader ; 0.0568701 ; 0 ; 0.0568398 ; 0.00154545 ; 0.00152239 ; 0 ; 0 ; 0 ; 0.0542944 ; 0.00150746 ; 0.0107228 ; 0 ; 0.0015303 ; 0 ; 0.00303777 ; 0.0536131 ; 0.0535681 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::CharTokenizer ; 0.0285081 ; 0 ; 0.0285081 ; 0.00329032 ; 0.00335484 ; 0 ; 0.00325806 ; 0 ; 0.0338484 ; 0.00325806 ; 0.0134129 ; 0.00325806 ; 0 ; 0 ; 0.00325806 ; 0.0340903 ; 0.00329032 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask ; 0 ; 0.00364286 ; 0 ; 0 ; 0.00364286 ; 0 ; 0 ; 0 ; 0.00367857 ; 0.00360714 ; 0.00950374 ; 0 ; 0 ; 0 ; 0 ; 0.00360714 ; 0.00360714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::queryParser::surround::query::ComposedQuery ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.010829 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::SpanBuilderBase ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0107228 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
