classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 0.163618 ; 0 ; 0.187724 ; 0.0241061 ; 0.105221 ; 0 ; 0 ; 0 ; 0.140929 ; 0.0968312 ; 0.164442 ; 0 ; 0 ; 0 ; 0.0968312 ; 0.098506 ; 0.0970699 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 0.517152 ; 0 ; 0.135015 ; 0.420948 ; 1.07656 ; 0 ; 0.578858 ; 0 ; 1.00667 ; 0.377626 ; 0.0637049 ; 0.44572 ; 0.232939 ; 0.18292 ; 0 ; 0.7137 ; 0.660336 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 1.3233 ; 0 ; 1.32282 ; 0.0243448 ; 0.030789 ; 0 ; 0.0383946 ; 0 ; 0.0602777 ; 0.0243448 ; 0.0908267 ; 0.0383946 ; 0 ; 0 ; 0.0243448 ; 0.0274476 ; 0.0255382 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 0.146104 ; 0 ; 0.144671 ; 0.144671 ; 0 ; 0 ; 0.144671 ; 0 ; 0.144671 ; 0 ; 0 ; 0.144671 ; 0 ; 0 ; 0 ; 0.218116 ; 0.144671 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0899362 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 1.03095 ; 0 ; 1.00523 ; 0.160749 ; 0.455615 ; 0.124591 ; 0.120356 ; 0 ; 0.351303 ; 0.256003 ; 0.116604 ; 0.0966664 ; 0.103574 ; 0.0860603 ; 0.253551 ; 0.271996 ; 0.274382 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0908267 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0669669 ; 0 ; 0.0322074 ; 0 ; 0.0908267 ; 0 ; 0 ; 0 ; 0 ; 0.033164 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 0.296047 ; 0 ; 0.296047 ; 0 ; 0.198984 ; 0 ; 0.136122 ; 0 ; 0.394784 ; 0.137463 ; 0.256053 ; 0 ; 0 ; 0 ; 0.137463 ; 0.138083 ; 0.377853 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 0.29916 ; 0 ; 0.161932 ; 0.137228 ; 0.0336751 ; 0 ; 0 ; 0 ; 0.127408 ; 0.0306413 ; 0.0637049 ; 0 ; 0.0306413 ; 0 ; 0 ; 0.123194 ; 0.0628543 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0637049 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0908098 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::HitIterator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0899362 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::misc::HighFreqTerms ; 0.0240077 ; 0 ; 0 ; 0.0240077 ; 0 ; 0 ; 0 ; 0 ; 0.0263614 ; 0 ; 0.0899362 ; 0 ; 0 ; 0 ; 0 ; 0.0256553 ; 0.0244784 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
