classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 4.05 ; 0 ; 5.06 ; 1.01 ; 2.19 ; 0 ; 0 ; 0 ; 3.41 ; 2.02 ; 4.1 ; 0 ; 0 ; 0 ; 2.02 ; 2.07 ; 2.03 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 10.22 ; 0 ; 3.04 ; 8.22 ; 27.57 ; 0 ; 12.26 ; 0 ; 21.58 ; 9.33 ; 2.02 ; 11.4 ; 6.12 ; 4.22 ; 0 ; 15.58 ; 14.22 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 36.1 ; 0 ; 36.08 ; 1.02 ; 1.29 ; 0 ; 1.04 ; 0 ; 2.3 ; 1.02 ; 3.06 ; 1.04 ; 0 ; 0 ; 1.02 ; 1.15 ; 1.07 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 1.02 ; 0 ; 1.01 ; 1.01 ; 0 ; 0 ; 1.01 ; 0 ; 1.01 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 2.03 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 26.84 ; 0 ; 25.83 ; 4.05 ; 11.37 ; 2.02 ; 4.06 ; 0 ; 9.13 ; 7.23 ; 4.14 ; 3.04 ; 2.04 ; 3.05 ; 7.19 ; 7.57 ; 7.55 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.06 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.04 ; 0 ; 1.01 ; 0 ; 3.06 ; 0 ; 0 ; 0 ; 0 ; 1.04 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 8.16 ; 0 ; 8.16 ; 0 ; 2.95 ; 0 ; 2.03 ; 0 ; 4.31 ; 2.05 ; 6.12 ; 0 ; 0 ; 0 ; 2.05 ; 2.06 ; 4.12 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 9.11 ; 0 ; 5.07 ; 4.04 ; 1.11 ; 0 ; 0 ; 0 ; 4.34 ; 1.01 ; 2.02 ; 0 ; 1.01 ; 0 ; 0 ; 4.2 ; 2.06 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.06 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::HitIterator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::misc::HighFreqTerms ; 1.02 ; 0 ; 0 ; 1.02 ; 0 ; 0 ; 0 ; 0 ; 1.12 ; 0 ; 3.03 ; 0 ; 0 ; 0 ; 0 ; 1.09 ; 1.04 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FormatPostingsDocsConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::IndexSearcher ; 23.51 ; 0 ; 22.48 ; 1.03 ; 0 ; 1.01 ; 0 ; 0 ; 1.12 ; 0 ; 3.06 ; 0 ; 0 ; 0 ; 0 ; 1.11 ; 1.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
