classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 2.69171 ; 0 ; 2.59159 ; 0.86627 ; 0.984369 ; 0 ; 0 ; 0 ; 1.628 ; 1.19669 ; 3.40229 ; 0 ; 0 ; 0 ; 1.25412 ; 1.45217 ; 1.22008 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 5.62882 ; 0 ; 1.4525 ; 3.72871 ; 3.35418 ; 0 ; 5.45064 ; 0 ; 7.27689 ; 4.2121 ; 1.95833 ; 4.09665 ; 2.17758 ; 1.02328 ; 0 ; 6.60106 ; 6.30508 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 22.6706 ; 0 ; 21.9889 ; 0.86627 ; 0.516056 ; 0 ; 0.369065 ; 0 ; 1.05963 ; 0.624911 ; 2.9393 ; 0.217368 ; 0 ; 0 ; 0.622031 ; 0.683179 ; 0.640975 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 0.757739 ; 0 ; 0.78299 ; 0.611793 ; 0 ; 0 ; 0.546247 ; 0 ; 0.600191 ; 0 ; 0 ; 0.553836 ; 0 ; 0 ; 0 ; 1.38115 ; 0.605316 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 15.883 ; 0 ; 14.1001 ; 3.32596 ; 3.63208 ; 0.510272 ; 2.05666 ; 0 ; 4.17136 ; 4.2133 ; 3.52971 ; 1.26722 ; 0.442673 ; 1.03844 ; 4.07065 ; 4.43324 ; 4.15062 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.659164 ; 0 ; 0.60814 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0.658111 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 4.65568 ; 0 ; 4.06042 ; 0 ; 0.932774 ; 0 ; 1.09946 ; 0 ; 2.04479 ; 1.12384 ; 4.37614 ; 0 ; 0 ; 0 ; 0.632086 ; 1.33021 ; 2.02712 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 5.48696 ; 0 ; 2.65964 ; 2.21596 ; 0.24218 ; 0 ; 0 ; 0 ; 1.46749 ; 0.366034 ; 1.95833 ; 0 ; 0.203795 ; 0 ; 0 ; 1.40371 ; 0.760875 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.95833 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::HitIterator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::misc::HighFreqTerms ; 0.347067 ; 0 ; 0 ; 0.276435 ; 0 ; 0 ; 0 ; 0 ; 0.379924 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0.430197 ; 0.217322 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FormatPostingsDocsConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::IndexSearcher ; 15.2353 ; 0 ; 14.5071 ; 0.565957 ; 0 ; 0.76067 ; 0 ; 0 ; 0.519643 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0.537052 ; 0.528011 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::db::DbIndexOutput ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.680038 ; 0 ; 2.7189 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::TokenGroup ; 0.812095 ; 0 ; 0 ; 0.86627 ; 0 ; 0 ; 0.459149 ; 0 ; 0.681753 ; 0 ; 2.9393 ; 0 ; 0 ; 0.436535 ; 0 ; 1.45217 ; 0.640975 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::MergeDocIDRemapper ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask ; 1.31687 ; 0 ; 0 ; 1.28303 ; 0.631595 ; 0 ; 0 ; 0.622119 ; 0.680038 ; 0.726981 ; 1.71287 ; 0 ; 0 ; 0 ; 0 ; 0.652156 ; 0.665797 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::PorterStemFilter ; 0.677459 ; 0 ; 0 ; 0.846419 ; 0 ; 0 ; 0 ; 0 ; 1.20487 ; 0 ; 4.52792 ; 0 ; 0 ; 0 ; 0 ; 1.38438 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::PhraseScorer ; 0 ; 0.730855 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.224126 ; 0 ; 3.47558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::WordlistLoader ; 2.19407 ; 0 ; 2.08917 ; 0.86627 ; 0.536284 ; 0 ; 0 ; 0 ; 1.89126 ; 0.630263 ; 2.9393 ; 0 ; 0.637618 ; 0 ; 1.25043 ; 1.95794 ; 1.85745 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::CharTokenizer ; 1.281 ; 0 ; 0.821385 ; 0.846419 ; 0.458173 ; 0 ; 0.334818 ; 0 ; 1.80217 ; 0.559589 ; 3.68725 ; 0.429705 ; 0 ; 0 ; 0.544773 ; 2.00165 ; 0.500993 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask ; 0 ; 0.461887 ; 0 ; 0 ; 0.328641 ; 0 ; 0 ; 0 ; 0.357906 ; 0.455915 ; 2.00895 ; 0 ; 0 ; 0 ; 0 ; 0.34803 ; 0.367312 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::queryParser::surround::query::ComposedQuery ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::SpanBuilderBase ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::Directory ; 14.1816 ; 0 ; 14.1017 ; 1.631 ; 1.75658 ; 1.34713 ; 0.686894 ; 0 ; 3.29277 ; 2.21683 ; 2.9393 ; 0 ; 0 ; 0.126741 ; 2.00918 ; 3.37625 ; 3.15711 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::DuplicateFilterBuilder ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.978281 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::builders::BooleanQueryBuilder ; 0.812095 ; 0 ; 0.749118 ; 0.86627 ; 0 ; 0 ; 0 ; 0 ; 0.681753 ; 0 ; 2.9393 ; 0 ; 0.637618 ; 0 ; 0 ; 0.683179 ; 0.640975 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocInverterPerField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.29246 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.768995 ; 1.18442 ; 3 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::el::GreekLowerCaseFilter ; 0.677459 ; 0 ; 0 ; 0.846419 ; 0 ; 0 ; 0 ; 0 ; 0.692272 ; 0 ; 4.52792 ; 0 ; 0 ; 0 ; 0 ; 0.768995 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::ReadOnlySegmentReader ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.555222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::spans::SpanNotQuery ; 1.37316 ; 0 ; 2.16813 ; 0.86627 ; 0.984369 ; 0 ; 0 ; 0 ; 1.37403 ; 1.19669 ; 3.40229 ; 0 ; 0 ; 0 ; 1.25412 ; 1.45217 ; 1.22008 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask ; 2.12765 ; 0 ; 0 ; 2.14163 ; 0.631595 ; 0 ; 0 ; 0.622119 ; 0.680038 ; 0.726981 ; 1.71287 ; 0 ; 0 ; 0 ; 0 ; 0.652156 ; 0.665797 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::InvertedDocEndConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SpanGradientFormatter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.9393 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::xmlparser::CoreParser ; 2.8128 ; 0 ; 1.44289 ; 1.2138 ; 0 ; 0 ; 0.536137 ; 0 ; 2.17182 ; 0 ; 2.9393 ; 0 ; 0 ; 0.24119 ; 0.451141 ; 1.53728 ; 0.445714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
