classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 0.0682101 ; 0 ; 0.0555536 ; 1.30238e-4 ; 0.0347711 ; 0 ; 0 ; 0 ; 0.0516183 ; 0.0424521 ; 0.0563355 ; 0 ; 0 ; 0 ; 0.0469196 ; 0.0570713 ; 0.0429973 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 0.206346 ; 0 ; 0.0559337 ; 0.117314 ; 0.09466 ; 0 ; 0.167048 ; 0 ; 0.211077 ; 0.120725 ; 0.0210503 ; 0.0926194 ; 0.039018 ; 0.0345748 ; 0 ; 0.204976 ; 0.195354 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 0.353265 ; 0 ; 0.327516 ; 1.30238e-4 ; 7.75858e-5 ; 0 ; 0.00910104 ; 0 ; 0.0018048 ; 9.39516e-5 ; 0.0220363 ; 0.00536022 ; 0 ; 0 ; 9.35185e-5 ; 1.02712e-4 ; 9.63668e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 0.068563 ; 0 ; 0.0708479 ; 0.0553573 ; 0 ; 0 ; 0.0494264 ; 0 ; 0.0543075 ; 0 ; 0 ; 0.0501132 ; 0 ; 0 ; 0 ; 0.112358 ; 0.0547712 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0220363 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 0.305539 ; 0 ; 0.284122 ; 0.0745568 ; 0.0554214 ; 0.0347318 ; 0.0136746 ; 0 ; 0.0732361 ; 0.0656984 ; 0.0221251 ; 0.0146319 ; 0.00220394 ; 0.00380296 ; 0.0690452 ; 0.0798354 ; 0.0659906 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0220363 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00890117 ; 0 ; 0.00673838 ; 0 ; 0.0220363 ; 0 ; 0 ; 0 ; 0 ; 0.00729208 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 0.0821092 ; 0 ; 0.0757045 ; 0 ; 0.0658272 ; 0 ; 0.0772317 ; 0 ; 0.158846 ; 0.0793641 ; 0.0733272 ; 0 ; 0 ; 0 ; 0.0468261 ; 0.0945877 ; 0.158321 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 0.0784278 ; 0 ; 0.0320721 ; 0.0399544 ; 0.00179876 ; 0 ; 0 ; 0 ; 0.00817281 ; 0.00271866 ; 0.0210503 ; 0 ; 0.00151366 ; 0 ; 0 ; 0.00770393 ; 0.00590557 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0210503 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0220363 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::HitIterator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0220363 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::misc::HighFreqTerms ; 3.49769e-5 ; 0 ; 0 ; 2.78587e-5 ; 0 ; 0 ; 0 ; 0 ; 3.82882e-5 ; 0 ; 0.0220363 ; 0 ; 0 ; 0 ; 0 ; 4.33546e-5 ; 2.19014e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FormatPostingsDocsConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::IndexSearcher ; 0.232337 ; 0 ; 0.209406 ; 0.0103391 ; 0 ; 1.14362e-4 ; 0 ; 0 ; 0.00949302 ; 0 ; 0.0220363 ; 0 ; 0 ; 0 ; 0 ; 0.00981106 ; 0.00964589 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::store::db::DbIndexOutput ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00124553 ; 0 ; 0.0134639 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
