classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 0.0232906 ; 0 ; 0.0187531 ; 0.00131253 ; 0.0124897 ; 0 ; 0 ; 0 ; 0.0188689 ; 0.0152412 ; 0.0219722 ; 0 ; 0 ; 0 ; 0.0167446 ; 0.02026 ; 0.0154487 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 0.0788455 ; 0 ; 0.0153244 ; 0.0503836 ; 0.0282047 ; 0 ; 0.0634816 ; 0 ; 0.0777672 ; 0.0357527 ; 0.00831031 ; 0.0283048 ; 0.0119959 ; 0.00900501 ; 0 ; 0.0755192 ; 0.0728741 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 0.152914 ; 0 ; 0.145358 ; 0.00131253 ; 7.81903e-4 ; 0 ; 0.00246044 ; 0 ; 0.00221382 ; 9.46835e-4 ; 0.0103975 ; 0.00144912 ; 0 ; 0 ; 9.42471e-4 ; 0.00103512 ; 9.71175e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 0.0378869 ; 0 ; 0.0391495 ; 0.0305896 ; 0 ; 0 ; 0.0273123 ; 0 ; 0.0300096 ; 0 ; 0 ; 0.0276918 ; 0 ; 0 ; 0 ; 0.0498324 ; 0.0302658 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0103975 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 0.121625 ; 0 ; 0.113275 ; 0.0284296 ; 0.0222102 ; 0.0110437 ; 0.00705758 ; 0 ; 0.0286159 ; 0.0262679 ; 0.011292 ; 0.00556772 ; 0.00142798 ; 0.00302051 ; 0.027117 ; 0.0311345 ; 0.0262419 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0103975 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00313079 ; 0 ; 0.00264409 ; 0 ; 0.0103975 ; 0 ; 0 ; 0 ; 0 ; 0.00286135 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 0.0287488 ; 0 ; 0.0260811 ; 0 ; 0.020997 ; 0 ; 0.0244947 ; 0 ; 0.0648999 ; 0.0253357 ; 0.0284585 ; 0 ; 0 ; 0 ; 0.0158021 ; 0.0304491 ; 0.0653353 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
