classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 0.105774 ; 0 ; 0.0939103 ; 0.0206757 ; 0.0460378 ; 0 ; 0 ; 0 ; 0.072679 ; 0.0560858 ; 0.120571 ; 0 ; 0 ; 0 ; 0.0603596 ; 0.0716773 ; 0.0569967 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 0.302933 ; 0 ; 0.0641561 ; 0.199524 ; 0.133954 ; 0 ; 0.264246 ; 0 ; 0.336369 ; 0.168868 ; 0.0617559 ; 0.151744 ; 0.0748615 ; 0.0419794 ; 0 ; 0.316407 ; 0.303994 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 0.828504 ; 0 ; 0.798321 ; 0.0206757 ; 0.0123169 ; 0 ; 0.0136251 ; 0 ; 0.0271739 ; 0.014915 ; 0.087233 ; 0.00802475 ; 0 ; 0 ; 0.0148463 ; 0.0163057 ; 0.0152985 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 0.108537 ; 0 ; 0.112154 ; 0.0876324 ; 0 ; 0 ; 0.0782436 ; 0 ; 0.0859706 ; 0 ; 0 ; 0.0793307 ; 0 ; 0 ; 0 ; 0.143055 ; 0.0867046 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.087233 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 0.617073 ; 0 ; 0.561037 ; 0.13135 ; 0.125763 ; 0.0334399 ; 0.0606334 ; 0 ; 0.150367 ; 0.146809 ; 0.101325 ; 0.0404434 ; 0.0128897 ; 0.0293299 ; 0.145252 ; 0.161299 ; 0.145336 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.087233 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0215963 ; 0 ; 0.0193927 ; 0 ; 0.087233 ; 0 ; 0 ; 0 ; 0 ; 0.0209862 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 0.163256 ; 0 ; 0.144329 ; 0 ; 0.0625437 ; 0 ; 0.0732138 ; 0 ; 0.187964 ; 0.0754298 ; 0.15515 ; 0 ; 0 ; 0 ; 0.0455133 ; 0.0901983 ; 0.188742 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 0.179647 ; 0 ; 0.0850309 ; 0.0753552 ; 0.00734724 ; 0 ; 0 ; 0 ; 0.0429765 ; 0.0111047 ; 0.0617559 ; 0 ; 0.00618271 ; 0 ; 0 ; 0.0410324 ; 0.0231977 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0617559 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.087233 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::HitIterator ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.087233 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::misc::HighFreqTerms ; 0.00816891 ; 0 ; 0 ; 0.00650643 ; 0 ; 0 ; 0 ; 0 ; 0.00894225 ; 0 ; 0.087233 ; 0 ; 0 ; 0 ; 0 ; 0.0101255 ; 0.0051151 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::FormatPostingsDocsConsumer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
