classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::apache::lucene::search::spans::SpanOrQuery ; 0.0616044 ; 0 ; 0.0398021 ; 0.00902364 ; 0.0156643 ; 0 ; 0 ; 0 ; 0.0807855 ; 0.0289784 ; 0.0300698 ; 0 ; 0 ; 0 ; 0.0379779 ; 0.0185303 ; 0.0155282 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::index::DocumentsWriter ; 0.314912 ; 0 ; 0.08435 ; 0.485598 ; 1.16468 ; 0 ; 0.636535 ; 0 ; 0.66681 ; 0.569201 ; 0.00266408 ; 0.782634 ; 0.50272 ; 0.387951 ; 0 ; 0.613303 ; 0.605579 ; 2 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::Document ; 1.30696 ; 0 ; 1.63931 ; 0.0180473 ; 0.0171624 ; 0 ; 0.113559 ; 0 ; 0.033385 ; 0.0198385 ; 0.00902292 ; 0.0395214 ; 0 ; 0 ; 0.025389 ; 0.0326359 ; 0.0293257 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ; 0.0095313 ; 0 ; 0.00621421 ; 0.0127457 ; 0 ; 0 ; 0.0176209 ; 0 ; 6.56664e-4 ; 0 ; 0 ; 0.0190978 ; 0 ; 0 ; 0 ; 0.00948998 ; 0.00258682 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::ant::FileExtensionDocumentHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00451146 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::Token ; 1.17457 ; 0 ; 1.44725 ; 0.0933839 ; 0.517627 ; 0.139635 ; 0.107956 ; 0 ; 0.304965 ; 0.415023 ; 0.0352636 ; 0.176318 ; 0.063239 ; 0.409136 ; 0.511611 ; 0.211584 ; 0.350352 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::FieldDoc ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00902292 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::tartarus::snowball::ext::DanishStemmer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::search::SortField ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.190005 ; 0 ; 0.00116279 ; 0 ; 0.00902292 ; 0 ; 0 ; 0 ; 0 ; 0.0123011 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::document::AbstractField ; 0.265034 ; 0 ; 0.32242 ; 0 ; 0.105728 ; 0 ; 0.16575 ; 0 ; 0.0364756 ; 0.126185 ; 0.125179 ; 0 ; 0 ; 0 ; 0.0758503 ; 0.0336306 ; 0.0666299 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::byTask::utils::Config ; 0.221224 ; 0 ; 0.221591 ; 0.174089 ; 0.0195881 ; 0 ; 0 ; 0 ; 0.120249 ; 0.0522905 ; 0.00266408 ; 0 ; 0.101898 ; 0 ; 0 ; 0.141701 ; 0.0756512 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00266408 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::apache::lucene::analysis::cjk::CJKAnalyzer ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0082809 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
