classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 0.148704 ; 0 ; 0 ; 0.148704 ; 0.0191818 ; 0 ; 0 ; 0 ; 0.0195471 ; 0.018451 ; 0.0225361 ; 0 ; 0 ; 0 ; 0.018451 ; 0.194269 ; 0.018451 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 0.06201 ; 0.0564471 ; 0 ; 0.06201 ; 0 ; 0 ; 0 ; 0.0437461 ; 0.0181291 ; 0 ; 0.0975537 ; 0 ; 0 ; 0 ; 0 ; 0.0147212 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 0.194683 ; 0 ; 0.194683 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0329857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 0.0677023 ; 0 ; 0 ; 0.0677023 ; 0 ; 0 ; 0 ; 0 ; 0.0251529 ; 0 ; 0.0900604 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 0.0123681 ; 0.0123681 ; 0.0123681 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0593115 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 0.0075759 ; 0 ; 0 ; 0.0075759 ; 0 ; 0 ; 0 ; 0 ; 0.0552447 ; 0 ; 0.0336325 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0326623 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 0.073975 ; 0 ; 0 ; 0.073975 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 0.141403 ; 0 ; 0 ; 0.141403 ; 0 ; 0 ; 0 ; 0 ; 0.0603457 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0585263 ; 0.0251529 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 0.0301458 ; 0 ; 0.0301458 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0329857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
