classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 0.0452897 ; 0 ; 0 ; 0.0452897 ; 0.00583333 ; 0 ; 0 ; 0 ; 0.00594444 ; 0.00561111 ; 0.0063125 ; 0 ; 0 ; 0 ; 0.00561111 ; 0.0565675 ; 0.00561111 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 0.020622 ; 0.0172992 ; 0 ; 0.020622 ; 0 ; 0 ; 0 ; 0.012625 ; 0.00815741 ; 0 ; 0.0315824 ; 0 ; 0 ; 0 ; 0 ; 0.00739583 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 0.076943 ; 0 ; 0.076943 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.010625 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 0.0202 ; 0 ; 0 ; 0.0202 ; 0 ; 0 ; 0 ; 0 ; 0.0068 ; 0 ; 0.0366667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 0.00459091 ; 0.00459091 ; 0.00459091 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0201485 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 0.00377778 ; 0 ; 0 ; 0.00377778 ; 0 ; 0 ; 0 ; 0 ; 0.017637 ; 0 ; 0.0108333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0105208 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 0.0222078 ; 0 ; 0 ; 0.0222078 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 0.0438604 ; 0 ; 0 ; 0.0438604 ; 0 ; 0 ; 0 ; 0 ; 0.0175444 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01515 ; 0.0068 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 0.0122968 ; 0 ; 0.0122968 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.010625 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskComment ; 0.0373526 ; 0 ; 0.0373526 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.011122 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ; 0.0647106 ; 0 ; 0.0496483 ; 0.0380615 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0063125 ; 0 ; 0 ; 0 ; 0 ; 0.00908333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ; 0.0222078 ; 0 ; 0 ; 0.0222078 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0105208 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ; 0.00505 ; 0 ; 0 ; 0.00505 ; 0.00505 ; 0 ; 0 ; 0 ; 0.00515 ; 0.00505 ; 0.0155708 ; 0 ; 0 ; 0 ; 0.00505 ; 0.00515 ; 0.00505 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
