classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 0.159528 ; 0 ; 0 ; 0.159528 ; 0.0363205 ; 0 ; 0 ; 0 ; 0.0370124 ; 0.0349369 ; 0.0364198 ; 0 ; 0 ; 0 ; 0.0349369 ; 0.205817 ; 0.0349369 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 0.135006 ; 0.105481 ; 0 ; 0.135006 ; 0 ; 0 ; 0 ; 0.0724081 ; 0.0639907 ; 0 ; 0.206026 ; 0 ; 0 ; 0 ; 0 ; 0.0612046 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 0.315118 ; 0 ; 0.315118 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0688713 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 0.062677 ; 0 ; 0 ; 0.062677 ; 0 ; 0 ; 0 ; 0 ; 0.0376562 ; 0 ; 0.0998239 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 0.0326703 ; 0.0326703 ; 0.0326703 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.135653 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 0.0309447 ; 0 ; 0 ; 0.0309447 ; 0 ; 0 ; 0 ; 0 ; 0.106209 ; 0 ; 0.0702218 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0681961 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 0.113357 ; 0 ; 0 ; 0.113357 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 0.250966 ; 0 ; 0 ; 0.250966 ; 0 ; 0 ; 0 ; 0 ; 0.105221 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0779188 ; 0.0376562 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 0.0940701 ; 0 ; 0.0940701 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0688713 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskComment ; 0.169519 ; 0 ; 0.169519 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.069589 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ; 0.348478 ; 0 ; 0.293462 ; 0.195046 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0364198 ; 0 ; 0 ; 0 ; 0 ; 0.0438501 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ; 0.113357 ; 0 ; 0 ; 0.113357 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0681961 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ; 0.033709 ; 0 ; 0 ; 0.033709 ; 0.033709 ; 0 ; 0 ; 0 ; 0.0343765 ; 0.033709 ; 0.101905 ; 0 ; 0 ; 0 ; 0.033709 ; 0.0343765 ; 0.033709 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener ; 0.0603649 ; 0 ; 0 ; 0.0603649 ; 0 ; 0 ; 0 ; 0 ; 0.0920707 ; 0 ; 0.0681961 ; 0 ; 0 ; 0 ; 0 ; 0.0891499 ; 0.0276488 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory ; 0.066796 ; 0 ; 0 ; 0.066796 ; 0 ; 0 ; 0.0331691 ; 0 ; 0.0982298 ; 0 ; 0.0681961 ; 0.0331691 ; 0 ; 0 ; 0 ; 0.071699 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
