classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 2.05241 ; 0 ; 0 ; 1.8319 ; 0.428857 ; 0 ; 0 ; 0 ; 0.561584 ; 0.476391 ; 0.947866 ; 0 ; 0 ; 0 ; 0.417351 ; 2.04061 ; 0.54781 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 2.99956 ; 1.46922 ; 0 ; 3.21221 ; 0 ; 0 ; 0 ; 0.79989 ; 1.42314 ; 0 ; 3.78904 ; 0 ; 0 ; 0 ; 0 ; 1.38031 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 4.58781 ; 0 ; 4.39562 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.87602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 0.625895 ; 0 ; 0 ; 0.486293 ; 0 ; 0 ; 0 ; 0 ; 0.657625 ; 0 ; 0.831691 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 0.709914 ; 0.64269 ; 0.635276 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.96442 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 0.72694 ; 0 ; 0 ; 0.708128 ; 0 ; 0 ; 0 ; 0 ; 1.94634 ; 0 ; 1.87602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.87602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 2.30738 ; 0 ; 0 ; 2.33785 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 5.22979 ; 0 ; 0 ; 5.34003 ; 0 ; 0 ; 0 ; 0 ; 1.84393 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.22625 ; 0.593333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 2.0904 ; 0 ; 2.03395 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.87602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskComment ; 2.53008 ; 0 ; 2.50185 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.52132 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ; 6.26974 ; 0 ; 5.12463 ; 3.91173 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.947866 ; 0 ; 0 ; 0 ; 0 ; 0.623438 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ; 2.30738 ; 0 ; 0 ; 2.33785 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.87602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ; 0.720869 ; 0 ; 0 ; 0.678663 ; 0.593344 ; 0 ; 0 ; 0 ; 0.699525 ; 0.676033 ; 2.40945 ; 0 ; 0 ; 0 ; 0.669687 ; 0.683546 ; 0.696618 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener ; 1.35999 ; 0 ; 0 ; 1.48815 ; 0 ; 0 ; 0 ; 0 ; 1.48757 ; 0 ; 1.87602 ; 0 ; 0 ; 0 ; 0 ; 1.55709 ; 0.530755 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory ; 1.44839 ; 0 ; 0 ; 1.34096 ; 0 ; 0 ; 0.591871 ; 0 ; 1.95449 ; 0 ; 1.87602 ; 0.604385 ; 0 ; 0 ; 0 ; 1.28635 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlinePage ; 4.17297 ; 0 ; 1.36864 ; 2.8713 ; 0 ; 0 ; 0.533839 ; 0 ; 1.98748 ; 0 ; 0 ; 0.495817 ; 0 ; 0 ; 0 ; 1.33921 ; 0.569092 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.628882 ; 0.57526 ; 0 ; 0.847251 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.55191 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken ; 2.13074 ; 0 ; 2.14541 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.831691 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
