classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 0.106464 ; 0 ; 0 ; 0.0968061 ; 0.00783452 ; 0 ; 0 ; 0 ; 0.0102592 ; 0.00870288 ; 0.0211498 ; 0 ; 0 ; 0 ; 0.00762431 ; 0.0973435 ; 0.0100076 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 0.0459843 ; 0.024977 ; 0 ; 0.0470087 ; 0 ; 0 ; 0 ; 0.0172511 ; 0.0121332 ; 0 ; 0.0567102 ; 0 ; 0 ; 0 ; 0 ; 0.00992712 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 0.134292 ; 0 ; 0.136286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 0.041955 ; 0 ; 0 ; 0.0325972 ; 0 ; 0 ; 0 ; 0 ; 0.0162168 ; 0 ; 0.0680931 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 0.00869336 ; 0.00787015 ; 0.00777936 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0445221 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 0.00539924 ; 0 ; 0 ; 0.00525952 ; 0 ; 0 ; 0 ; 0 ; 0.0305319 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 0.0603291 ; 0 ; 0 ; 0.0616671 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 0.110076 ; 0 ; 0 ; 0.110872 ; 0 ; 0 ; 0 ; 0 ; 0.0365549 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0356175 ; 0.0146314 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 0.0223134 ; 0 ; 0.0209288 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskComment ; 0.0917591 ; 0 ; 0.0906054 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0289106 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ; 0.156876 ; 0 ; 0.1064 ; 0.104286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0211498 ; 0 ; 0 ; 0 ; 0 ; 0.0207524 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ; 0.0603291 ; 0 ; 0 ; 0.0616671 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ; 0.0107819 ; 0 ; 0 ; 0.0101507 ; 0.00887456 ; 0 ; 0 ; 0 ; 0.0104627 ; 0.0101113 ; 0.0384337 ; 0 ; 0 ; 0 ; 0.0100164 ; 0.0102237 ; 0.0104192 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener ; 0.0104399 ; 0 ; 0 ; 0.0120491 ; 0 ; 0 ; 0 ; 0 ; 0.0105976 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0.0105332 ; 0.00107435 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory ; 0.0189924 ; 0 ; 0 ; 0.0158899 ; 0 ; 0 ; 0.0080101 ; 0 ; 0.0274129 ; 0 ; 0.0304553 ; 0.00817946 ; 0 ; 0 ; 0 ; 0.0250888 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlinePage ; 0.0338298 ; 0 ; 0.0115622 ; 0.0239282 ; 0 ; 0 ; 0.00161205 ; 0 ; 0.00855266 ; 0 ; 0 ; 0.00149724 ; 0 ; 0 ; 0 ; 0.00635789 ; 0.00171851 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0103953 ; 0.00950898 ; 0 ; 0.0570014 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00912301 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken ; 0.0973999 ; 0 ; 0.0996868 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0680931 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter ; 0 ; 0 ; 0 ; 0 ; 0.00752395 ; 0.0175847 ; 0 ; 0 ; 0.00790926 ; 0.00822345 ; 0.0274557 ; 0 ; 0 ; 0 ; 0.00805754 ; 0.00819851 ; 0.00787282 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextContextStructureBridge ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::ui::util::css::CssParser ; 0.0565926 ; 0 ; 0 ; 0.0443565 ; 0 ; 0 ; 0.0429567 ; 0 ; 0.0488038 ; 0 ; 0 ; 0.0430713 ; 0 ; 0 ; 0 ; 0.0490423 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoryLabelProvider ; 0.00363313 ; 0 ; 0.00200928 ; 0.00126637 ; 0 ; 0 ; 0 ; 0 ; 0.00138187 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0.00188767 ; 0.00134501 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::core::BugzillaFlagMapper ; 0.109037 ; 0 ; 0 ; 0.09183 ; 0.0331065 ; 0 ; 0.0434311 ; 0 ; 0.070484 ; 0.0367328 ; 0 ; 0.0371054 ; 0 ; 0 ; 0.0371264 ; 0.0406656 ; 0.038623 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaPeoplePart ; 0.0698642 ; 0 ; 0 ; 0.0705514 ; 0 ; 0 ; 0.0102309 ; 0 ; 0.0499161 ; 0 ; 0.00797843 ; 0.00976384 ; 0 ; 0 ; 0 ; 0.0341528 ; 0.033714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::bugs::TasksBugsPlugin ; 0.0222062 ; 0 ; 0.0192396 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerTaskMapping ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasks::tests::connector::MockTask ; 0.0259151 ; 0.00787015 ; 0.0256417 ; 0 ; 0 ; 0 ; 0 ; 0.0166448 ; 0 ; 0 ; 0.0585483 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::commons::ui::NotificationPopupColors ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0211498 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::service::web::rss::JiraRssSessionCallback ; 0.0460693 ; 0.00448505 ; 0 ; 0.0474885 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::zest::tests::swt::LayoutExample ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::xplanner::soap::XPlanner::XPlannerHttpSender ; 0.0133996 ; 0 ; 0 ; 0.0128938 ; 0.0466093 ; 0 ; 0 ; 0 ; 0.0553034 ; 0.0464427 ; 0.00405821 ; 0 ; 0 ; 0 ; 0.0407482 ; 0.0573692 ; 0.0482509 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::pde::ui::Messages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSeveritySearchSorter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityLabelProvider ; 0.00919318 ; 0 ; 0 ; 0.0107827 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0077608 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::sync::SynchronizeRepositoriesJob ; 0.0946131 ; 0 ; 0 ; 0.0952978 ; 0.0368853 ; 0 ; 0.00706286 ; 0 ; 0.0901756 ; 0.0380073 ; 0.0077608 ; 0.0073663 ; 0.00764234 ; 0 ; 0.0305756 ; 0.0689116 ; 0.0457709 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::ui::util::OutlineItemAdapterFactory ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssScanner ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::token::FootnoteReferenceReplacementToken ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0680931 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::xplanner::ui::XPlannerClientFacade ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::dialogs::UiLegendControl ; 0.0460693 ; 0 ; 0 ; 0.0474885 ; 0 ; 0 ; 0.0397783 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::bugs::TaskContributorManager ; 0.0682755 ; 0 ; 0 ; 0.0711834 ; 0.00789588 ; 0 ; 0 ; 0 ; 0.00900092 ; 0.00915233 ; 0.0211498 ; 0 ; 0 ; 0 ; 0.00907614 ; 0.00878036 ; 0.00883481 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::wikitext::confluence::core::Main ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::sync::Messages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0434311 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0416416 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::trac::core::TracWikiHandler ; 0.00498497 ; 0 ; 0 ; 0.00510587 ; 4.00166e-4 ; 0 ; 0 ; 0 ; 0.00248675 ; 5.99696e-4 ; 0.0311177 ; 0 ; 0 ; 0 ; 6.35435e-4 ; 0.00256455 ; 6.87844e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::core::SaxConfigurationContentHandler ; 0.0749134 ; 0 ; 0 ; 0.0780532 ; 0 ; 0 ; 0.0582955 ; 0 ; 0.0617016 ; 0 ; 0.0405613 ; 0.0525612 ; 0 ; 0 ; 0 ; 0.0586314 ; 0.0606077 ; 1 ; 0 ; 0 ; 0 ; 1 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsCommitWorkflowProvider ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0304553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::examples::monitor::study::SubmitFeedbackPage ; 0.0200691 ; 0 ; 0 ; 0.0230904 ; 0 ; 0 ; 0 ; 0 ; 0.00991267 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
