classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 0.0320515 ; 0 ; 0 ; 0.028761 ; 0.00238254 ; 0 ; 0 ; 0 ; 0.00311991 ; 0.00264662 ; 0.00592416 ; 0 ; 0 ; 0 ; 0.00231862 ; 0.028622 ; 0.00304339 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 0.015282 ; 0.00794509 ; 0 ; 0.0159646 ; 0 ; 0 ; 0 ; 0.00498647 ; 0.00554938 ; 0 ; 0.0188257 ; 0 ; 0 ; 0 ; 0 ; 0.00501324 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 0.0526225 ; 0 ; 0.0533678 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00979146 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 0.0125179 ; 0 ; 0 ; 0.00972585 ; 0 ; 0 ; 0 ; 0 ; 0.00438417 ; 0 ; 0.027723 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 0.00322688 ; 0.00292132 ; 0.00288762 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0148629 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 0.00269237 ; 0 ; 0 ; 0.0026227 ; 0 ; 0 ; 0 ; 0 ; 0.0102301 ; 0 ; 0.00979146 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00979146 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 0.0177956 ; 0 ; 0 ; 0.018159 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 0.0336159 ; 0 ; 0 ; 0.034071 ; 0 ; 0 ; 0 ; 0 ; 0.0106196 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00921403 ; 0.00395555 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 0.00877272 ; 0 ; 0.00839043 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00979146 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
