classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 0.110696 ; 0 ; 0 ; 0.0990932 ; 0.0148346 ; 0 ; 0 ; 0 ; 0.0194258 ; 0.0164788 ; 0.0341793 ; 0 ; 0 ; 0 ; 0.0144366 ; 0.103935 ; 0.0189493 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 0.0999679 ; 0.0501174 ; 0 ; 0.106236 ; 0 ; 0 ; 0 ; 0.0286455 ; 0.0438511 ; 0 ; 0.125398 ; 0 ; 0 ; 0 ; 0 ; 0.0415772 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 0.210162 ; 0 ; 0.207161 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0633806 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 0.0388408 ; 0 ; 0 ; 0.0301776 ; 0 ; 0 ; 0 ; 0 ; 0.0242781 ; 0 ; 0.0754751 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 0.0229635 ; 0.020789 ; 0.0205491 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0988702 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 0.0220538 ; 0 ; 0 ; 0.0214831 ; 0 ; 0 ; 0 ; 0 ; 0.0646068 ; 0 ; 0.0633806 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0633806 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 0.0881676 ; 0 ; 0 ; 0.0895769 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 0.187874 ; 0 ; 0 ; 0.191288 ; 0 ; 0 ; 0 ; 0 ; 0.0636627 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0473349 ; 0.0219046 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 0.0656176 ; 0 ; 0.0634906 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0633806 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskComment ; 0.105804 ; 0 ; 0.104579 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0530119 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ; 0.235283 ; 0 ; 0.182038 ; 0.150292 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0341793 ; 0 ; 0 ; 0 ; 0 ; 0.0250806 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ; 0.0881676 ; 0 ; 0 ; 0.0895769 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0633806 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ; 0.0240592 ; 0 ; 0 ; 0.0226506 ; 0.019803 ; 0 ; 0 ; 0 ; 0.0233468 ; 0.0225628 ; 0.0811839 ; 0 ; 0 ; 0 ; 0.022351 ; 0.0228135 ; 0.0232498 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
