classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 0.0179932 ; 0 ; 0 ; 0.0307027 ; 0.00480782 ; 0 ; 0 ; 0 ; 0.0108895 ; 0.0140115 ; 7.9253e-4 ; 0 ; 0 ; 0 ; 0.0149054 ; 0.0103716 ; 0.00660012 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 0.0140743 ; 0.11056 ; 0 ; 0.0209883 ; 0 ; 0 ; 0 ; 0.0495126 ; 0.00303133 ; 0 ; 0.0439261 ; 0 ; 0 ; 0 ; 0 ; 0.00667292 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 0.0281075 ; 0 ; 0.0544627 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00333135 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 0.00525962 ; 0 ; 0 ; 0.0072581 ; 0 ; 0 ; 0 ; 0 ; 0.00175133 ; 0 ; 0.00715741 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 0.00111447 ; 0.0149463 ; 0.00180476 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00882605 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 0.00673093 ; 0 ; 0 ; 0.00749341 ; 0 ; 0 ; 0 ; 0 ; 0.00598445 ; 0 ; 0.0066627 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00166567 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 0.00798291 ; 0 ; 0 ; 0.0111635 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 0.0158923 ; 0 ; 0 ; 0.0258119 ; 0 ; 0 ; 0 ; 0 ; 0.00293706 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00328671 ; 0.00812784 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 0.0116346 ; 0 ; 0.0169934 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00333135 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
