classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0288608 ; 0.018451 ; 0 ; 0.0481552 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 2.92896e-5 ; 0 ; 0 ; 2.92896e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.37943e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0203915 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0209972 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 1.01786e-4 ; 0 ; 0 ; 1.01786e-4 ; 0 ; 0 ; 0 ; 0 ; 0.018451 ; 0 ; 3.68816e-4 ; 0 ; 0 ; 0 ; 0 ; 1.37753e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 4.68272e-4 ; 0 ; 0 ; 4.68272e-4 ; 9.01844e-4 ; 0 ; 0.00300398 ; 6.07724e-4 ; 0.00451393 ; 3.85623e-4 ; 2.73691e-4 ; 0.00302988 ; 2.76491e-4 ; 0.00132042 ; 0 ; 0.00123041 ; 8.36133e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.86517 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.86517 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.5224e-5 ; 0 ; 0 ; 0 ; 0 ; 1.5224e-5 ; 0 ; 0 ; 0 ; 1.5224e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 1.24322e-4 ; 0 ; 1.24322e-4 ; 0 ; 0 ; 0 ; 3.05783e-4 ; 1.85467e-4 ; 4.4318e-4 ; 0 ; 6.86446e-4 ; 3.05783e-4 ; 0 ; 0 ; 0 ; 3.05783e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 0.00779873 ; 0 ; 0 ; 0 ; 0.00943274 ; 0.0075759 ; 0 ; 0 ; 0.00750163 ; 0 ; 0.00750163 ; 0.00824437 ; 0.00765018 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
