classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0101996 ; 0.00561111 ; 0 ; 0.0191549 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 0.00225762 ; 0 ; 0 ; 0.00225762 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00174138 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00594118 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00611765 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 0.00144286 ; 0 ; 0 ; 0.00144286 ; 0 ; 0 ; 0 ; 0 ; 0.00561111 ; 0 ; 0.00403355 ; 0 ; 0 ; 0 ; 0 ; 0.00112222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 0.0106848 ; 0 ; 0 ; 0.0106848 ; 0.0148168 ; 0 ; 0.00837445 ; 0.0118786 ; 0.0315472 ; 0.00792046 ; 0.0063542 ; 0.00844918 ; 0.00641511 ; 0.00381114 ; 0 ; 0.0225815 ; 0.0162922 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.470779 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.470779 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00113483 ; 0 ; 0 ; 0 ; 0 ; 0.00113483 ; 0 ; 0 ; 0 ; 0.00113483 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 0.00148529 ; 0 ; 0.00148529 ; 0 ; 0 ; 0 ; 0.00171186 ; 0.00157813 ; 0.00321933 ; 0 ; 0.00495681 ; 0.00171186 ; 0 ; 0 ; 0 ; 0.00171186 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 0.00388889 ; 0 ; 0 ; 0 ; 0.0047037 ; 0.00377778 ; 0 ; 0 ; 0.00374074 ; 0 ; 0.00374074 ; 0.00411111 ; 0.00381481 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 0.00219565 ; 0 ; 0 ; 0.00219565 ; 0.0025 ; 0.0070899 ; 0 ; 0 ; 0.0116373 ; 0.00219565 ; 0.00538842 ; 0 ; 0.00219565 ; 0 ; 0 ; 0.00665168 ; 0.00228261 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00535 ; 0.0031476 ; 0.0166242 ; 0 ; 0.00506766 ; 0.00535 ; 0 ; 0 ; 0 ; 0.0056 ; 0.00772209 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ; 0 ; 0 ; 0 ; 0 ; 0.00224 ; 0 ; 0 ; 0 ; 0.00783778 ; 0.00202 ; 0.00202 ; 0 ; 0 ; 0 ; 0 ; 0.00202 ; 0.00202 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ; 0.00483664 ; 0 ; 0 ; 0.00483664 ; 0.003 ; 0 ; 0 ; 0.00234884 ; 0.0136073 ; 0.0024878 ; 0.00719108 ; 0 ; 0.00246341 ; 0 ; 0.00246341 ; 0.00741213 ; 0.00253659 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::product::ArgumentsInfo ; 0.00282642 ; 0 ; 0 ; 0.00282642 ; 0.00173973 ; 0 ; 0.00147945 ; 0.00154795 ; 0.00353425 ; 0.00141096 ; 0.00314218 ; 0.00147945 ; 0.00138356 ; 0 ; 0.00139726 ; 0.00267123 ; 0.00216438 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::ui::internal::views::log::Messages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0422757 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0422757 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ; 0.0232178 ; 0 ; 0 ; 0.0232178 ; 0.0402578 ; 0 ; 0.0210742 ; 0.00799478 ; 0.0578877 ; 0.0362208 ; 0.00258974 ; 0.0210636 ; 0.022293 ; 0 ; 0 ; 0.0472133 ; 0.0421635 ; 3 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::build::Build ; 0.00190566 ; 0 ; 0.00190566 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00583333 ; 0 ; 0.00174138 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ; 0.0124723 ; 0 ; 0 ; 0.0124723 ; 0.0154131 ; 0 ; 0.0100229 ; 0.00202 ; 0.0302645 ; 0.0127176 ; 0.0178876 ; 0.0100229 ; 0.00528638 ; 0 ; 0.0102884 ; 0.0202253 ; 0.0150648 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ; 0.0094413 ; 0 ; 0.00505 ; 0.0094413 ; 0.01325 ; 0 ; 0 ; 0 ; 0.0271822 ; 0.012625 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0222348 ; 0.0170163 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
