classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0707133 ; 0.0349369 ; 0 ; 0.141874 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 0.0449473 ; 0 ; 0 ; 0.0449473 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0248731 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0356412 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0366998 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 0.0237723 ; 0 ; 0 ; 0.0237723 ; 0 ; 0 ; 0 ; 0 ; 0.0349369 ; 0 ; 0.0703198 ; 0 ; 0 ; 0 ; 0 ; 0.0224448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 0.195416 ; 0 ; 0 ; 0.195416 ; 0.263456 ; 0 ; 0.122356 ; 0.212673 ; 0.523514 ; 0.144283 ; 0.118245 ; 0.123359 ; 0.119549 ; 0.0511647 ; 0 ; 0.402981 ; 0.291898 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 13.2319 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 13.2319 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0225007 ; 0 ; 0 ; 0 ; 0 ; 0.0225007 ; 0 ; 0 ; 0 ; 0.0225007 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 0.0239356 ; 0 ; 0.0239356 ; 0 ; 0 ; 0 ; 0.0247688 ; 0.0242845 ; 0.0487887 ; 0 ; 0.0749379 ; 0.0247688 ; 0 ; 0 ; 0 ; 0.0247688 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 0.0318548 ; 0 ; 0 ; 0 ; 0.0385291 ; 0.0309447 ; 0 ; 0 ; 0.0306413 ; 0 ; 0.0306413 ; 0.0336751 ; 0.031248 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
