classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.17 ; 1.01 ; 0 ; 4.49 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 2.02 ; 0 ; 0 ; 2.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.04 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 1.01 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 3.05 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 8.58 ; 0 ; 0 ; 8.58 ; 11.48 ; 0 ; 5.05 ; 9.28 ; 22.38 ; 6.33 ; 5.22 ; 5.09 ; 5.28 ; 2.04 ; 0 ; 17.57 ; 12.74 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 94.18 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 94.18 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 1.01 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 1.01 ; 1.01 ; 2.02 ; 0 ; 3.1 ; 1.01 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 1.05 ; 0 ; 0 ; 0 ; 1.27 ; 1.02 ; 0 ; 0 ; 1.01 ; 0 ; 1.01 ; 1.11 ; 1.03 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 1.01 ; 0 ; 0 ; 1.01 ; 1.15 ; 2.02 ; 0 ; 0 ; 3.49 ; 1.01 ; 2.02 ; 0 ; 1.01 ; 0 ; 0 ; 3.07 ; 1.05 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.07 ; 2.03 ; 4.38 ; 0 ; 3.08 ; 1.07 ; 0 ; 0 ; 0 ; 1.12 ; 2.09 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ; 0 ; 0 ; 0 ; 0 ; 1.12 ; 0 ; 0 ; 0 ; 2.07 ; 1.01 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ; 2.03 ; 0 ; 0 ; 2.03 ; 1.23 ; 0 ; 0 ; 1.01 ; 4.21 ; 1.02 ; 3.04 ; 0 ; 1.01 ; 0 ; 1.01 ; 3.11 ; 1.04 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::product::ArgumentsInfo ; 2.02 ; 0 ; 0 ; 2.02 ; 1.27 ; 0 ; 1.08 ; 1.13 ; 2.58 ; 1.03 ; 2.03 ; 1.08 ; 1.01 ; 0 ; 1.02 ; 1.95 ; 1.58 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::ui::internal::views::log::Messages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7.27 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7.27 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ; 7.1 ; 0 ; 0 ; 7.1 ; 8.94 ; 0 ; 5.18 ; 3.15 ; 17.21 ; 8.08 ; 1.01 ; 5.17 ; 6.07 ; 0 ; 0 ; 15.13 ; 12.55 ; 3 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::build::Build ; 1.01 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.05 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ; 5.08 ; 0 ; 0 ; 5.08 ; 6.1 ; 0 ; 4.05 ; 1.01 ; 11.25 ; 5.11 ; 7.21 ; 4.05 ; 2.04 ; 0 ; 4.07 ; 8.53 ; 6.2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ; 2.02 ; 0 ; 1.01 ; 2.02 ; 1.06 ; 0 ; 0 ; 0 ; 4.1 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.05 ; 2.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::BuildFeatureAction ; 6.07 ; 0 ; 0 ; 6.07 ; 0 ; 0 ; 0 ; 3.11 ; 4.24 ; 0 ; 3.03 ; 0 ; 0 ; 0 ; 0 ; 6.19 ; 5.09 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ; 6.1 ; 0 ; 0 ; 6.1 ; 3.23 ; 0 ; 2.04 ; 0 ; 10.94 ; 3.04 ; 1.06 ; 2.03 ; 2.02 ; 0 ; 0 ; 10.45 ; 7.17 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::exports::FeatureExportInfo ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.02 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 0 ; 2.02 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::launcher::ProgramBlock ; 2.03 ; 0 ; 0 ; 2.03 ; 0 ; 0 ; 0 ; 0 ; 2.05 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 1.03 ; 1.01 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEPlugin ; 61.58 ; 0 ; 62.58 ; 7.09 ; 5.26 ; 0 ; 4.04 ; 14.19 ; 12.88 ; 4.06 ; 0 ; 4.04 ; 1.01 ; 0 ; 3.05 ; 9.27 ; 6.15 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::bundle::ExportPackageObject ; 14.21 ; 0 ; 8.09 ; 10.12 ; 4.0 ; 0 ; 0 ; 0 ; 6.66 ; 3.08 ; 4.11 ; 0 ; 2.02 ; 0 ; 3.05 ; 6.61 ; 5.29 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::feature::PluginSection ; 4.06 ; 0 ; 0 ; 4.06 ; 4.47 ; 0 ; 2.08 ; 1.01 ; 12.48 ; 3.06 ; 5.37 ; 3.05 ; 2.04 ; 0 ; 2.02 ; 10.49 ; 4.18 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader ; 2.04 ; 0 ; 2.04 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.02 ; 0 ; 3.07 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant ; 3.04 ; 0 ; 0 ; 3.04 ; 0 ; 0 ; 0 ; 0 ; 3.07 ; 0 ; 2.02 ; 0 ; 0 ; 0 ; 0 ; 3.06 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::plugin::Fragment ; 2.02 ; 0 ; 1.01 ; 1.01 ; 1.12 ; 0 ; 1.01 ; 2.02 ; 4.14 ; 1.01 ; 11.19 ; 1.01 ; 0 ; 0 ; 1.01 ; 2.03 ; 4.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::site::SiteEditor ; 1.13 ; 0 ; 1.01 ; 1.12 ; 4.48 ; 0 ; 1.01 ; 0 ; 8.24 ; 3.09 ; 12.22 ; 1.01 ; 1.03 ; 0 ; 2.02 ; 5.58 ; 5.22 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::target::TargetObject ; 3.09 ; 0 ; 3.09 ; 0 ; 0 ; 3.08 ; 1.01 ; 0 ; 1.01 ; 0 ; 1.01 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::ui::launcher::MainTab ; 0 ; 0 ; 0 ; 0 ; 3.33 ; 0 ; 0 ; 8.2 ; 7.43 ; 3.03 ; 2.02 ; 0 ; 0 ; 0 ; 1.01 ; 5.07 ; 5.09 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant ; 4.05 ; 0 ; 4.05 ; 0 ; 0 ; 0 ; 1.01 ; 0 ; 2.09 ; 0 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 1.02 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::build::JARFileFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.02 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.01 ; 1.01 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
