classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.2421 ; 0.815787 ; 0 ; 2.49271 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 1.26574 ; 0 ; 0 ; 1.05777 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.954853 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.849488 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.849488 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 0.715575 ; 0 ; 0 ; 0.691994 ; 0 ; 0 ; 0 ; 0 ; 0.815787 ; 0 ; 2.18373 ; 0 ; 0 ; 0 ; 0 ; 0.545876 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 4.80426 ; 0 ; 0 ; 4.33696 ; 2.85321 ; 0 ; 2.43798 ; 4.56332 ; 8.17154 ; 3.21079 ; 2.65247 ; 2.55736 ; 2.24998 ; 0.576964 ; 0 ; 7.04844 ; 6.06782 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.416 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 12.8701 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.804378 ; 0 ; 0 ; 0 ; 0 ; 0.743429 ; 0 ; 0 ; 0 ; 0.716247 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 0.721654 ; 0 ; 0.625958 ; 0 ; 0 ; 0 ; 0.646412 ; 0.751937 ; 1.16065 ; 0 ; 2.3363 ; 0.621127 ; 0 ; 0 ; 0 ; 0.686607 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 0.593418 ; 0 ; 0 ; 0 ; 0.635344 ; 0.673941 ; 0 ; 0 ; 0.650486 ; 0 ; 0.657293 ; 0.675505 ; 0.658046 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 0.672898 ; 0 ; 0 ; 0.568084 ; 0.55665 ; 1.3424 ; 0 ; 0 ; 2.12491 ; 0.616745 ; 1.29906 ; 0 ; 0.534263 ; 0 ; 0 ; 1.86128 ; 0.62867 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.5377 ; 1.28202 ; 2.48269 ; 0 ; 2.43054 ; 0.470783 ; 0 ; 0 ; 0 ; 0.494827 ; 1.1018 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ; 0 ; 0 ; 0 ; 0 ; 0.457242 ; 0 ; 0 ; 0 ; 1.35297 ; 0.492875 ; 0.467608 ; 0 ; 0 ; 0 ; 0 ; 0.504513 ; 0.514202 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ; 1.22801 ; 0 ; 0 ; 1.3799 ; 0.682326 ; 0 ; 0 ; 0.853992 ; 2.83961 ; 0.720464 ; 2.17296 ; 0 ; 0.695929 ; 0 ; 0.690953 ; 2.06309 ; 0.689819 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::product::ArgumentsInfo ; 1.41975 ; 0 ; 0 ; 1.27802 ; 0.570623 ; 0 ; 0.338828 ; 0.226822 ; 0.588557 ; 0.617129 ; 1.6338 ; 0.43787 ; 0.540806 ; 0 ; 0.604791 ; 0.589543 ; 0.574602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::ui::internal::views::log::Messages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.27309 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.86119 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ; 3.95075 ; 0 ; 0 ; 3.84489 ; 4.15896 ; 0 ; 2.84454 ; 1.86194 ; 9.02062 ; 4.38346 ; 0.736555 ; 2.83711 ; 2.77939 ; 0 ; 0 ; 8.08774 ; 7.00327 ; 3 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::build::Build ; 0.769079 ; 0 ; 0.71526 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.815787 ; 0 ; 0.954853 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ; 3.32404 ; 0 ; 0 ; 3.4445 ; 2.90751 ; 0 ; 1.80364 ; 0.3346 ; 6.25311 ; 3.18946 ; 4.30981 ; 2.20597 ; 1.13366 ; 0 ; 2.5383 ; 4.97996 ; 3.69072 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ; 1.19159 ; 0 ; 0.624338 ; 1.0839 ; 0.655382 ; 0 ; 0 ; 0 ; 2.21984 ; 0.709603 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.59286 ; 1.18614 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::BuildFeatureAction ; 3.77548 ; 0 ; 0 ; 3.31529 ; 0 ; 0 ; 0 ; 2.1381 ; 2.27876 ; 0 ; 1.99405 ; 0 ; 0 ; 0 ; 0 ; 3.18958 ; 3.07951 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ; 4.3189 ; 0 ; 0 ; 4.09255 ; 1.49574 ; 0 ; 0.775803 ; 0 ; 5.67086 ; 1.65564 ; 0.363118 ; 1.00277 ; 1.00213 ; 0 ; 0 ; 5.88538 ; 4.25102 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::exports::FeatureExportInfo ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.973011 ; 0 ; 0 ; 0 ; 0.954853 ; 0 ; 0 ; 0.740326 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::launcher::ProgramBlock ; 1.35029 ; 0 ; 0 ; 1.2704 ; 0 ; 0 ; 0 ; 0 ; 1.48865 ; 0 ; 0.954853 ; 0 ; 0 ; 0 ; 0 ; 0.662085 ; 0.642683 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
