classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0142948 ; 0.0149031 ; 0 ; 0.0298382 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 1.81738e-5 ; 0 ; 0 ; 1.54784e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.19491e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0171509 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0171509 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 7.21146e-5 ; 0 ; 0 ; 6.97381e-5 ; 0 ; 0 ; 0 ; 0 ; 0.0149031 ; 0 ; 3.38147e-4 ; 0 ; 0 ; 0 ; 0 ; 7.44514e-6 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 2.50812e-4 ; 0 ; 0 ; 2.25249e-4 ; 1.61179e-4 ; 0 ; 0.00165565 ; 3.71128e-4 ; 0.00226558 ; 1.78542e-4 ; 1.52485e-4 ; 0.00175364 ; 1.14764e-4 ; 3.44708e-4 ; 0 ; 3.45179e-4 ; 3.26145e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.340211 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.206351 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1.21246e-5 ; 0 ; 0 ; 0 ; 0 ; 1.12059e-5 ; 0 ; 0 ; 0 ; 1.07962e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 8.88293e-5 ; 0 ; 7.70499e-5 ; 0 ; 0 ; 0 ; 1.95705e-4 ; 1.38079e-4 ; 2.70259e-4 ; 0 ; 5.49752e-4 ; 1.8805e-4 ; 0 ; 0 ; 0 ; 2.07874e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 0.00440753 ; 0 ; 0 ; 0 ; 0.00471893 ; 0.0050056 ; 0 ; 0 ; 0.00483139 ; 0 ; 0.00488195 ; 0.00501722 ; 0.00488754 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 7.47522e-4 ; 0 ; 0 ; 6.31084e-4 ; 6.18382e-4 ; 0.00848338 ; 0 ; 0 ; 0.0190414 ; 6.85142e-4 ; 0.0052064 ; 0 ; 5.93513e-4 ; 0 ; 0 ; 0.00219658 ; 6.98389e-4 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00804231 ; 2.26155e-4 ; 0.0233604 ; 0 ; 6.59052e-4 ; 0.00704144 ; 0 ; 0 ; 0 ; 0.00740106 ; 0.00888045 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ; 0 ; 0 ; 0 ; 0 ; 3.40489e-4 ; 0 ; 0 ; 0 ; 0.0153031 ; 3.67023e-4 ; 3.48208e-4 ; 0 ; 0 ; 0 ; 0 ; 3.7569e-4 ; 3.82905e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ; 0.00201801 ; 0 ; 0 ; 0.00224093 ; 0.00124972 ; 0 ; 0 ; 0.00128061 ; 0.0204646 ; 0.00131958 ; 0.00542627 ; 0 ; 0.00127464 ; 0 ; 0.00126552 ; 0.00342124 ; 0.00126345 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::product::ArgumentsInfo ; 1.24688e-4 ; 0 ; 0 ; 1.1349e-4 ; 4.26019e-5 ; 0 ; 2.52964e-5 ; 1.69342e-5 ; 4.39408e-5 ; 4.6074e-5 ; 3.7018e-4 ; 3.26907e-5 ; 4.03758e-5 ; 0 ; 4.51528e-5 ; 4.40145e-5 ; 4.2899e-5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::ui::internal::views::log::Messages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0644688 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0540682 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ; 0.0392022 ; 0 ; 0 ; 0.0375307 ; 0.0616813 ; 0 ; 0.0372782 ; 0.0123143 ; 0.086721 ; 0.0653984 ; 0.00164773 ; 0.0368309 ; 0.0365163 ; 0 ; 0 ; 0.0668845 ; 0.0664221 ; 3 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::build::Build ; 4.24267e-4 ; 0 ; 3.94578e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0149031 ; 0 ; 3.19491e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ; 0.00655851 ; 0 ; 0 ; 0.00668668 ; 0.00603418 ; 0 ; 0.00426845 ; 2.49163e-4 ; 0.026136 ; 0.00655179 ; 0.0104251 ; 0.00475039 ; 0.00273999 ; 0 ; 0.00550875 ; 0.00864821 ; 0.00709043 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ; 0.0154515 ; 0 ; 0.00933814 ; 0.013823 ; 0.0325453 ; 0 ; 0 ; 0 ; 0.054448 ; 0.0352378 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0430878 ; 0.0387257 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::BuildFeatureAction ; 0.00439136 ; 0 ; 0 ; 0.00390511 ; 0 ; 0 ; 0 ; 2.6713e-4 ; 0.00353501 ; 0 ; 4.80394e-4 ; 0 ; 0 ; 0 ; 0 ; 0.00388088 ; 1.17178e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ; 0.0116008 ; 0 ; 0 ; 0.0114222 ; 0.00852467 ; 0 ; 0.00164545 ; 0 ; 0.0710256 ; 0.0111499 ; 2.21384e-4 ; 0.00185271 ; 0.00969964 ; 0 ; 0 ; 0.0580819 ; 0.0470504 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::exports::FeatureExportInfo ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0251177 ; 0 ; 0 ; 0 ; 3.19491e-4 ; 0 ; 0 ; 0.0229122 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::launcher::ProgramBlock ; 0.00164303 ; 0 ; 0 ; 0.00152578 ; 0 ; 0 ; 0 ; 0 ; 0.0172295 ; 0 ; 3.19491e-4 ; 0 ; 0 ; 0 ; 0 ; 8.14969e-5 ; 7.91087e-5 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEPlugin ; 0.150379 ; 0 ; 0.140542 ; 0.0113511 ; 0.0253469 ; 0 ; 0.00979523 ; 0.0254066 ; 0.0603206 ; 0.027814 ; 0 ; 0.00643696 ; 0.0271996 ; 0 ; 2.7959e-4 ; 0.0379798 ; 0.040471 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::bundle::ExportPackageObject ; 0.0446972 ; 0 ; 0.00467428 ; 0.0394541 ; 0.00314401 ; 0 ; 0 ; 0 ; 0.0220551 ; 0.00349172 ; 0.00406635 ; 0 ; 0.00276451 ; 0 ; 0.00317799 ; 0.025633 ; 0.0248494 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0171509 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::feature::PluginSection ; 0.00144902 ; 0 ; 0 ; 0.00155356 ; 4.63029e-4 ; 0 ; 3.70189e-4 ; 0.00128061 ; 0.0208366 ; 4.94105e-4 ; 0.0154151 ; 3.60381e-4 ; 3.79948e-4 ; 0 ; 5.45991e-4 ; 0.00312777 ; 8.21843e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader ; 0.014498 ; 0 ; 0.0141111 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.73903e-4 ; 0 ; 0.00285803 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.85873e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant ; 0.00151297 ; 0 ; 0 ; 0.00170286 ; 0 ; 0 ; 0 ; 0 ; 0.017231 ; 0 ; 6.24249e-4 ; 0 ; 0 ; 0 ; 0 ; 4.72044e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::plugin::Fragment ; 0.00239375 ; 0 ; 7.70499e-5 ; 0.00232937 ; 6.97592e-5 ; 0 ; 4.72817e-5 ; 0.003663 ; 0.00487183 ; 7.06543e-5 ; 0.0134284 ; 6.48299e-5 ; 0 ; 0 ; 6.77144e-5 ; 1.49307e-4 ; 0.00505021 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
