classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00545645 ; 0.00453215 ; 0 ; 0.0111637 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 0.00141308 ; 0 ; 0 ; 0.00118342 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0016463 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00499699 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00499699 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 0.00102225 ; 0 ; 0 ; 9.88562e-4 ; 0 ; 0 ; 0 ; 0 ; 0.00453215 ; 0 ; 0.00302757 ; 0 ; 0 ; 0 ; 0 ; 6.06529e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 0.00594969 ; 0 ; 0 ; 0.0053777 ; 0.00353265 ; 0 ; 0.00418879 ; 0.00605408 ; 0.011704 ; 0.00396981 ; 0.00325642 ; 0.00443077 ; 0.00272247 ; 0.00105894 ; 0 ; 0.00871001 ; 0.00758635 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.173397 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.103737 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.03795e-4 ; 0 ; 0 ; 0 ; 0 ; 8.35314e-4 ; 0 ; 0 ; 0 ; 8.04772e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 0.00106126 ; 0 ; 9.20526e-4 ; 0 ; 0 ; 0 ; 0.00109561 ; 0.0011749 ; 0.00186871 ; 0 ; 0.00377151 ; 0.00105276 ; 0 ; 0 ; 0 ; 0.00116374 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 0.00219784 ; 0 ; 0 ; 0 ; 0.00235313 ; 0.00249608 ; 0 ; 0 ; 0.00240921 ; 0 ; 0.00243442 ; 0.00250187 ; 0.00243721 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 0.00146282 ; 0 ; 0 ; 0.00123497 ; 0.00121011 ; 0.00469064 ; 0 ; 0 ; 0.00794389 ; 0.00134075 ; 0.00371896 ; 0 ; 0.00116144 ; 0 ; 0 ; 0.00404471 ; 0.00136667 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
