classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0396035 ; 0.0282189 ; 0 ; 0.0799485 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 0.0281573 ; 0 ; 0 ; 0.0235421 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.023515 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.029977 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.029977 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 0.0168425 ; 0 ; 0 ; 0.0162874 ; 0 ; 0 ; 0 ; 0 ; 0.0282189 ; 0 ; 0.0508938 ; 0 ; 0 ; 0 ; 0 ; 0.0121308 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 0.109284 ; 0 ; 0 ; 0.0986861 ; 0.0648812 ; 0 ; 0.0595827 ; 0.105445 ; 0.191619 ; 0.0729914 ; 0.0601919 ; 0.0626458 ; 0.0508965 ; 0.0144064 ; 0 ; 0.160273 ; 0.138333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.29688 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 4.97005 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0179199 ; 0 ; 0 ; 0 ; 0 ; 0.0165621 ; 0 ; 0 ; 0 ; 0.0159565 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 0.0171022 ; 0 ; 0.0148343 ; 0 ; 0 ; 0 ; 0.0158523 ; 0.0180796 ; 0.0281024 ; 0 ; 0.0566064 ; 0.0152323 ; 0 ; 0 ; 0 ; 0.0168381 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 0.0180031 ; 0 ; 0 ; 0 ; 0.019275 ; 0.020446 ; 0 ; 0 ; 0.0197344 ; 0 ; 0.0199409 ; 0.0204934 ; 0.0199637 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ; 0.0175744 ; 0 ; 0 ; 0.0148369 ; 0.0145383 ; 0.0400183 ; 0 ; 0 ; 0.0638194 ; 0.0161078 ; 0.0363787 ; 0 ; 0.0139536 ; 0 ; 0 ; 0.0485737 ; 0.0164193 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0179459 ; 0.0307776 ; 0.0751262 ; 0 ; 0.0592427 ; 0.0157125 ; 0 ; 0 ; 0 ; 0.016515 ; 0.0329389 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ; 0 ; 0 ; 0 ; 0 ; 0.0116875 ; 0 ; 0 ; 0 ; 0.0419499 ; 0.0125983 ; 0.0119525 ; 0 ; 0 ; 0 ; 0 ; 0.0128958 ; 0.0131435 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ; 0.0328286 ; 0 ; 0 ; 0.0368618 ; 0.0183726 ; 0 ; 0 ; 0.0227039 ; 0.0832276 ; 0.0193996 ; 0.0575665 ; 0 ; 0.0187389 ; 0 ; 0.0186049 ; 0.0551885 ; 0.0185744 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::product::ArgumentsInfo ; 0.0332546 ; 0 ; 0 ; 0.0299459 ; 0.0132994 ; 0 ; 0.007897 ; 0.00528648 ; 0.0137174 ; 0.0143833 ; 0.0393391 ; 0.0102053 ; 0.0126044 ; 0 ; 0.0140957 ; 0.0137404 ; 0.0133921 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::ui::internal::views::log::Messages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.115047 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0996845 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ; 0.113116 ; 0 ; 0 ; 0.10923 ; 0.131769 ; 0 ; 0.0861071 ; 0.0496331 ; 0.258615 ; 0.139068 ; 0.0201035 ; 0.0858327 ; 0.0851771 ; 0 ; 0 ; 0.224964 ; 0.199211 ; 3 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::build::Build ; 0.0193699 ; 0 ; 0.0180144 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0282189 ; 0 ; 0.023515 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ; 0.0896025 ; 0 ; 0 ; 0.0927718 ; 0.0787131 ; 0 ; 0.0492949 ; 0.00855269 ; 0.173931 ; 0.0862869 ; 0.116606 ; 0.059795 ; 0.03101 ; 0 ; 0.0689143 ; 0.133073 ; 0.099325 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ; 0.0388603 ; 0 ; 0.0208375 ; 0.0352594 ; 0.0314983 ; 0 ; 0 ; 0 ; 0.0832192 ; 0.0341042 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0613896 ; 0.0485488 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::BuildFeatureAction ; 0.0892566 ; 0 ; 0 ; 0.0785131 ; 0 ; 0 ; 0 ; 0.050569 ; 0.0540714 ; 0 ; 0.0483183 ; 0 ; 0 ; 0 ; 0 ; 0.076401 ; 0.0693189 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ; 0.115419 ; 0 ; 0 ; 0.109647 ; 0.0426932 ; 0 ; 0.0208964 ; 0 ; 0.174957 ; 0.0481075 ; 0.00918951 ; 0.0267146 ; 0.0308332 ; 0 ; 0 ; 0.174937 ; 0.128224 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::exports::FeatureExportInfo ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0356762 ; 0 ; 0 ; 0 ; 0.023515 ; 0 ; 0 ; 0.028872 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::launcher::ProgramBlock ; 0.0343826 ; 0 ; 0 ; 0.0323161 ; 0 ; 0 ; 0 ; 0 ; 0.0451242 ; 0 ; 0.023515 ; 0 ; 0 ; 0 ; 0 ; 0.0156905 ; 0.0152307 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEPlugin ; 0.940143 ; 0 ; 0.869563 ; 0.113758 ; 0.0585687 ; 0 ; 0.0484526 ; 0.148196 ; 0.19365 ; 0.0610451 ; 0 ; 0.0451539 ; 0.0275362 ; 0 ; 0.0309172 ; 0.143016 ; 0.0836858 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::core::text::bundle::ExportPackageObject ; 0.255879 ; 0 ; 0.111909 ; 0.186409 ; 0.0438352 ; 0 ; 0 ; 0 ; 0.0846054 ; 0.0498568 ; 0.078981 ; 0 ; 0.0318402 ; 0 ; 0.0432694 ; 0.0998746 ; 0.089173 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.029977 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::feature::PluginSection ; 0.0662566 ; 0 ; 0 ; 0.0648102 ; 0.0454608 ; 0 ; 0.0314349 ; 0.0227039 ; 0.182646 ; 0.0486959 ; 0.10231 ; 0.0450624 ; 0.0303118 ; 0 ; 0.0247545 ; 0.152605 ; 0.0606552 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
