classname ; cbo ; dit ; fanIn ; fanOut ; lcom ; noc ; numberOfAttributes ; numberOfAttributesInherited ; numberOfLinesOfCode ; numberOfMethods ; numberOfMethodsInherited ; numberOfPrivateAttributes ; numberOfPrivateMethods ; numberOfPublicAttributes ; numberOfPublicMethods ; rfc ; wmc ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::pde::internal::core::text::toc::TocAnchor ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.104858 ; 4.05864e-4 ; 0 ; 0.032171 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ; 0.014012 ; 0 ; 0 ; 0.0247001 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00142091 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2.36758e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 9.47032e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ; 0.00503926 ; 0 ; 0 ; 0.00706116 ; 0 ; 0 ; 0 ; 0 ; 4.05864e-4 ; 0 ; 0.0311481 ; 0 ; 0 ; 0 ; 0 ; 0.00113488 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::build::ProductExportJob ; 0.292853 ; 0 ; 0 ; 0.406691 ; 0.26881 ; 0 ; 0.0914673 ; 0.549861 ; 0.368184 ; 0.264832 ; 0.140556 ; 0.236968 ; 0.417272 ; 0.0644572 ; 0 ; 0.403593 ; 0.346816 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::PDEUIMessages ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8.73575 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7.45242 ; 0 ; 0 ; 0 ; 28 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00195712 ; 0 ; 0 ; 0 ; 0 ; 0.00352336 ; 0 ; 0 ; 0 ; 6.02395e-4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ; 0.00522938 ; 0 ; 0.0102616 ; 0 ; 0 ; 0 ; 0.0153908 ; 0.00989391 ; 0.00113332 ; 0 ; 0.0503682 ; 0.0258803 ; 0 ; 0 ; 0 ; 0.00113865 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ; 0 ; 0 ; 0 ; 0 ; 8.51145e-4 ; 0 ; 0 ; 0 ; 0.00731526 ; 0.00942575 ; 0 ; 0 ; 0.00956597 ; 0 ; 0.0107753 ; 0.00810311 ; 0.00371078 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
