@relation berek-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
7,2,0,2,14,3,1,1,7,0.583333,89,1,0,0.727273,0.571429,1,1,11.428571,2,1.2857,N
8,2,0,2,17,2,1,1,8,0.571429,162,1,0,0.695652,0.583333,1,1,19,8,2.375,N
38,1,0,14,38,703,8,9,38,2,38,0,0,0,0.242105,0,0,0,1,1,N
10,1,0,9,57,0,4,5,9,0.111111,510,1,0,0,0.425,0,0,49.9,3,1.1,Y
28,1,0,19,83,172,12,9,24,0.782407,800,1,0,0,0.178571,1,1,27.285714,23,2.5357,Y
36,1,0,11,45,214,11,0,34,0.747253,774,0.923077,0,0,0.331429,1,1,20.138889,52,2.9444,Y
7,1,0,5,13,21,5,0,7,2,88,0,0,0,0.428571,0,0,11.571429,4,2,N
2,5,0,4,8,1,2,3,1,1.5,37,1,0,1,1,0,0,16.5,0,0,N
11,5,0,9,80,41,5,8,1,0.813043,829,1,1,0.979036,0.381818,0,0,72.272727,7,2,Y
19,6,0,13,89,113,9,11,1,0.744444,839,0.6,4,0.966443,0.175439,0,0,42.105263,7,1.4211,Y
6,6,0,10,34,11,6,9,2,0.988889,261,0.111111,1,0.990826,0.5,0,0,39.5,1,0.6667,Y
10,1,0,6,49,0,1,5,9,0.111111,473,1,0,0,0.425,0,0,46.2,3,1.1,Y
8,2,0,3,18,2,2,1,8,0.666667,246,0.666667,0,0.695652,0.583333,1,1,29.375,7,2,N
84,5,0,44,313,3022,34,44,5,0.88012,5924,0.95,5,0.849091,0.201058,0,0,68.571429,49,2.5119,Y
8,2,0,3,17,2,2,1,8,0.571429,205,1,0,0.695652,0.583333,1,1,24.375,7,2,N
24,1,0,12,51,130,9,4,23,0.771739,584,0.875,0,0,0.242236,1,1,23,28,2.4167,Y
6,1,0,9,22,11,1,8,5,0.8,90,1,0,0,0.666667,0,0,13.666667,1,0.6667,N
4,3,0,2,8,6,2,0,4,1.333333,21,1,0,1,0.666667,0,0,4,0,0,N
3,2,0,6,20,3,1,5,2,1.4,100,1,0,0.666667,0.666667,0,0,30.666667,1,0.3333,N
4,1,0,4,4,6,2,2,4,2,4,0,0,0,1,0,0,0,1,1,N
3,1,0,2,6,3,0,2,1,1.5,17,1,0,0,0.666667,0,0,4,1,0.6667,N
15,1,0,3,16,91,3,0,15,0.928571,74,1,0,0,0.366667,0,0,3.466667,1,0.9333,N
8,2,0,3,19,2,2,1,8,0.571429,247,1,0,0.695652,0.583333,1,1,29.625,8,2.125,N
9,2,0,2,18,10,1,1,9,0.625,207,1,0,0.666667,0.592593,1,1,21.777778,7,1.8889,N
12,1,0,11,18,16,10,1,10,0.636364,84,1,0,0,0.181818,0,0,5.666667,2,0.9167,N
19,1,0,5,26,37,5,0,18,0.763889,322,1,0,0,0.333333,1,1,15.526316,18,2.3158,N
20,6,0,14,92,110,9,12,1,0.694737,965,0.6,4,0.966443,0.176923,0,0,46.25,8,1.4,Y
43,1,0,13,91,447,8,5,40,0.795918,1347,0.928571,0,0,0.214286,1,1,30,62,3.2326,Y
57,5,0,34,246,1180,22,34,3,0.823377,4020,0.909091,6,0.892925,0.189084,0,0,68.561404,72,2.9474,Y
10,1,0,8,56,0,3,5,10,0.111111,431,1,0,0,0.425,0,0,42,3,1.1,N
60,1,0,22,135,676,7,15,56,0.858243,1176,1,6,0,0.14881,0,0,18.416667,4,1.1667,Y
12,1,0,11,52,0,4,8,10,0.090909,519,1,0,0,0.285714,0,0,42.166667,3,1.3333,N
6,6,0,2,19,15,1,2,2,2,60,0,0,0.986772,0.5,0,0,9,1,0.8333,N
8,2,0,2,21,2,1,1,8,0.714286,234,0.666667,1,0.695652,0.583333,1,1,27.875,8,2.375,N
1,1,0,0,2,0,0,0,1,2,40,0,0,0,1,0,0,3,0,0,N
74,5,0,45,281,2097,32,45,5,0.866729,4908,0.864407,6,0.864815,0.198198,0,0,64.527027,16,2.2973,Y
69,5,0,45,262,1916,33,45,2,0.835294,4327,0.890909,7,0.872897,0.201288,0,0,60.913043,37,2.4638,Y
24,1,0,16,70,102,10,7,23,0.73913,796,1,0,0,0.191667,1,1,31.916667,25,2.5,Y
6,3,0,4,10,13,4,0,6,1.166667,63,0.055556,0,1,0.625,0,0,6.5,0,0,N
2,1,0,2,10,1,1,1,2,2,70,0,0,0,0.5,0,0,34,4,2,N
10,1,0,6,26,0,4,2,9,0.666667,181,0.666667,0,0,0.333333,0,0,16.8,1,0.8,N
3,1,1,4,17,0,1,3,3,0,83,1,0,0,0.555556,0,0,26.333333,1,0.6667,N
8,1,0,6,18,16,3,3,7,0.571429,75,1,0,0,0.166667,0,0,8.25,2,1.375,N
