@relation e-learning-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
9,1,9,18,10,28,17,1,9,0.875,44,1,0,0,0.481481,0,0,3.444444,1,0.8889,N
9,1,0,2,9,36,2,0,9,2,9,0,0,0,1,0,0,0,1,1,N
2,1,0,0,10,1,0,0,1,1,123,0.2,0,0,1,0,0,58,0,0,N
5,2,0,6,6,6,4,2,5,0.75,24,1,0,0.666667,0.7,0,0,3.4,1,0.8,N
0,1,0,1,0,0,1,0,0,2,8,0,0,0,0,0,0,0,0,0,N
7,5,0,4,14,9,0,4,7,0.666667,58,1,0,0.87234,0.642857,1,1,7,2,1,N
12,5,0,4,18,18,0,4,12,0.763636,100,1,2,0.788462,0.283333,1,1,6.916667,2,1.0833,N
0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,N
16,2,0,5,19,74,3,2,16,0.855556,105,1,0,0.363636,0.375,1,1,5.1875,3,1,N
4,3,6,7,6,4,6,1,4,0.666667,18,1,0,0.925,0.625,0,0,3.25,1,0.75,N
10,4,0,6,19,45,1,5,10,2,68,0,0,0.769231,0.285714,0,0,5.8,2,1,Y
8,4,0,6,16,28,1,5,8,2,47,0,0,0.810811,0.333333,0,0,4.875,1,0.875,N
15,2,0,10,16,91,8,2,15,0.928571,74,0.857143,0,0.363636,0.366667,0,0,3.466667,1,0.9333,N
0,1,0,1,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,N
3,4,6,8,6,1,6,2,2,0.75,21,1,1,0.97561,0.75,0,0,5.333333,1,0.3333,N
2,1,0,2,2,1,2,0,2,2,2,0,0,0,1,0,0,0,1,1,N
4,5,0,3,9,0,0,3,4,0.333333,38,1,0,0.931818,0.625,2,2,8.25,1,0.75,N
3,4,7,10,4,3,7,3,3,1,16,1,2,0.952381,0.555556,0,0,3.666667,1,0.6667,N
18,3,7,21,47,153,10,14,2,2,296,0,0,0.433333,0.255556,0,0,15.444444,5,1.4444,N
4,5,0,3,9,0,0,3,4,0.333333,38,1,0,0.933333,0.625,2,2,8.25,1,0.75,N
2,4,0,1,4,1,0,1,2,2,8,0,0,0.97561,1,1,1,3,1,0.5,N
1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,N
1,4,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,N
11,2,0,9,12,45,6,3,11,0.9,54,0.8,1,0.444444,0.363636,0,0,3.454545,1,0.9091,N
14,1,0,13,38,33,9,4,14,0.576923,209,1,2,0,0.258929,0,0,13.785714,6,1.7143,N
0,1,0,1,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,N
2,4,3,5,3,1,3,2,2,1,10,1,1,0.97561,0.75,0,0,3.5,1,0.5,N
3,2,0,8,4,1,6,2,3,0.5,14,1,0,0.8,0.666667,0,0,3.333333,1,0.6667,N
