@relation prop-1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
2,4,0,2,5,1,0,2,1,2,24,1,0,0.941176,0.75,1,1,10.5,3,1.5,N
12,4,1,19,44,66,2,18,6,2,259,0,0,0.905172,0.35,2,3,20.583333,8,2.0833,N
10,4,0,13,48,45,4,13,2,1.066667,206,1,0,0.918919,0.5,2,3,19.1,4,1.2,N
2,3,0,5,7,1,0,5,1,2,26,1,0,0.933333,0.75,1,1,11.5,4,2,Y
8,1,0,4,38,0,3,1,5,0.642857,255,0.5,0,0,0.285714,0,0,30.625,2,0.875,N
2,3,0,10,18,1,0,10,1,2,108,1,0,0.933333,0.75,2,2,52.5,10,5,N
2,3,0,7,14,1,0,7,1,2,39,1,0,0.933333,0.75,1,1,18,2,1,N
3,4,0,4,13,3,0,4,1,1.5,58,1,0,0.894737,0.555556,1,1,18,4,2,N
35,1,0,34,124,139,4,30,3,1.005462,2273,0.057143,0,0,0.318627,0,0,61.942857,14,2.2571,N
5,1,0,1,12,2,1,0,5,0.625,46,1,0,0,0.7,0,0,7.8,3,1.2,N
1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,N
2,4,0,1,3,1,0,1,1,2,7,0,0,0.888889,1,1,2,2.5,1,0.5,N
8,1,1,4,37,18,1,3,4,0.957143,271,0.5,0,0,0.392857,0,0,31.625,6,1.625,N
19,1,0,31,75,13,22,9,11,0.644444,623,0.8,0,0,0.134921,0,0,31.526316,6,2.3684,N
3,6,0,2,16,0,2,0,3,0.833333,69,1,0,0.997089,0.555556,1,1,21,1,0.6667,N
