@relation xerces-init-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
8,4,0,0,14,0,0,0,8,0.428571,98,1,0,0.833333,0.45,0,0,10.75,1,0.5,Y
21,1,0,6,35,68,1,5,12,0.677273,1458,0.727273,4,0,0.271429,0,0,67.904762,24,4.7619,N
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,N
56,2,2,20,207,778,4,17,37,0.856643,4705,0.961538,6,0.704918,0.183471,2,14,82.553571,14,1.7679,Y
5,2,0,3,8,10,1,3,5,1.25,25,0,0,0.93617,0.466667,1,4,3.8,1,0.6,N
4,1,0,13,4,6,9,4,4,1.333333,19,0,0,0,0.4,0,0,0,1,1,Y
9,2,0,7,23,0,3,4,2,0.375,130,1,0,0.533333,0.416667,1,2,13.222222,2,0.8889,N
10,1,0,6,19,0,5,1,1,0.066667,471,0,0,0,0.566667,0,0,45.6,7,2.8,N
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Y
27,1,0,1,27,351,0,1,27,1.038462,213,0,0,0,0.277778,0,0,0,1,1,N
7,1,0,7,8,21,1,6,7,2,16,0,0,0,0.265306,0,0,1.285714,1,0.8571,Y
8,1,0,6,17,4,3,3,8,0.653061,184,1,2,0,0.303571,0,0,21.125,2,1.5,N
14,1,0,12,51,0,5,8,8,0.557692,756,0.875,3,0,0.241071,0,0,52.428571,16,3.3571,Y
11,2,2,6,26,25,3,4,10,1.05,223,0.5,1,0.814815,0.477273,1,1,19.090909,3,1.3636,Y
4,3,0,6,9,0,1,5,0,0.380952,583,1,0,0.926829,0.40625,1,3,143,1,0.75,N
41,1,0,53,61,202,50,4,34,0.871875,2955,0.9375,2,0,0.3375,0,0,70.292683,9,3.6098,N
4,1,0,12,8,6,5,7,4,1.333333,39,1,0,0,0.59375,0,0,8.25,1,0.75,N
11,1,1,1,18,15,1,0,11,0.5,102,1,0,0,0.431818,0,0,8.090909,1,0.9091,N
11,1,0,8,32,29,1,7,7,0.638462,595,0.153846,2,0,0.25,0,0,51.909091,14,2.0909,N
48,2,1,5,98,668,1,4,37,0.904255,1044,1,5,0.737143,0.145663,2,10,20.583333,3,1.0417,Y
4,3,0,6,28,0,1,6,1,0.666667,179,0.5,0,0.947368,0.5,2,13,43.25,8,2.5,Y
47,1,11,29,87,781,20,14,34,0.910079,1643,0.818182,6,0,0.12709,0,0,33.489362,31,2.766,Y
3,5,0,4,6,0,1,4,1,0.75,44,0.5,0,0.969231,0.555556,3,22,13,2,1,N
1,1,0,7,2,0,7,0,1,2,12,0,0,0,1,0,0,3,0,0,N
7,2,1,5,10,9,3,3,7,0.944444,76,0.666667,0,0.88,0.571429,1,3,9.428571,3,1.7143,N
9,1,5,8,11,0,5,3,5,0.638889,161,1,2,0,0.466667,0,0,15.888889,2,0.8889,Y
2,3,0,8,4,1,8,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,N
20,1,0,7,31,18,5,3,18,0.811146,889,0.764706,2,0,0.28125,0,0,42.6,5,1.95,N
19,1,0,9,34,43,4,5,13,0.688889,549,0.7,4,0,0.277778,0,0,27.368421,11,2.6316,N
12,1,0,4,12,66,3,1,12,2,12,0,0,0,0.541667,0,0,0,1,1,N
2,2,0,8,5,1,1,8,1,2,145,0,0,0.75,0.571429,0,0,71.5,1,0.5,N
10,1,1,5,11,27,3,2,10,0.888889,79,0,2,0,0.4,0,0,6,1,0.9,Y
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,Y
29,2,0,9,57,0,1,8,22,0.485714,2421,0.9,3,0.205882,0.242857,1,2,82.137931,4,1.2759,Y
3,1,0,5,5,0,2,3,3,0,426,0,0,0,0.533333,0,0,140,1,0.6667,N
14,1,0,0,15,81,0,0,14,0.876923,75,1,0,0,0.392857,0,0,4,1,0.7143,Y
4,3,0,6,15,0,1,6,1,0.666667,135,0.5,0,0.952381,0.5,2,16,32.25,4,2,Y
5,1,0,5,7,10,5,0,5,2,107,0,0,0,0.35,0,0,20.4,3,1.8,N
1,1,0,7,1,0,7,0,1,2,17,0,0,0,1,0,0,0,1,1,N
15,1,0,0,16,105,0,0,15,2,34,0,0,0,0.285714,0,0,1.266667,1,0.9333,Y
3,1,0,0,8,3,0,0,3,2,25,0,0,0,0.333333,0,0,7.333333,1,0.6667,Y
8,1,0,11,38,0,2,9,3,0.781513,1004,1,4,0,0.375,0,0,122.375,2,1,N
3,1,0,9,15,1,1,8,3,0.5,97,0,3,0,0.458333,0,0,30,1,0.6667,N
3,1,0,5,5,0,2,3,3,0,173,1,0,0,0.6,0,0,56,1,0.6667,N
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.666667,0,0,0,1,1,Y
3,3,0,0,4,1,0,0,2,0.5,2119,0,0,0.974359,1,0,0,705,1,0.3333,N
6,2,0,6,14,0,3,3,1,0.2,154,1,2,0.615385,0.416667,1,2,24.333333,1,0.8333,N
9,1,3,8,11,20,6,2,0,0.825,77,1,3,0,0.518519,0,0,7,1,0.8889,N
1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,Y
3,3,0,0,4,1,0,0,2,0.5,247,0,0,0.974359,1,0,0,81,1,0.3333,N
5,1,0,6,14,0,5,1,4,1.154762,186,0.095238,0,0,0.5,0,0,32,9,2.2,N
2,3,0,9,4,1,9,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,N
3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,1,1,Y
127,1,0,40,255,5157,12,39,72,0.947261,6193,0.989247,21,0,0.111479,0,0,47.031496,21,1.6929,Y
33,2,2,14,69,0,3,12,20,0.534722,2970,1,2,0.184211,0.1875,1,3,88.727273,2,1.0606,Y
4,3,0,6,18,0,1,6,1,0.666667,156,0.5,0,0.96,0.5,2,16,37.5,4,2.25,N
1,1,0,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,1,1,N
4,4,1,3,7,6,2,2,4,1.333333,20,0,0,0.952381,0.4375,1,5,3.75,1,0.75,N
23,1,0,6,23,253,5,1,23,2,23,0,0,0,0.376812,0,0,0,1,1,Y
12,1,0,0,28,0,0,0,12,0.5,150,1,2,0,0.19697,0,0,11.333333,1,0.9167,Y
18,1,0,0,18,153,0,0,18,1.058824,30,0,0,0,0.333333,0,0,0,1,1,Y
3,4,0,4,5,0,1,4,1,0.75,33,0.5,0,0.966102,0.555556,2,16,9.333333,1,0.6667,N
3,4,0,4,13,0,1,4,1,0.75,109,0.5,0,0.967742,0.555556,3,22,34.666667,9,3.3333,N
5,2,0,6,11,0,3,3,1,0.25,60,1,1,0.666667,0.45,1,2,10.8,1,0.8,N
4,2,1,4,7,6,2,3,4,1.333333,24,0,0,0.93617,0.5,1,3,4.75,1,0.75,N
30,2,1,11,73,0,7,8,27,0.87931,624,0.833333,1,0.611111,0.34,1,13,19.6,6,1.9333,Y
