@relation ant-1.7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
3,1,0,10,18,3,1,9,1,1.1,106,0,0,0,0.444444,0,0,32.666667,1,0.6667,N
5,2,0,4,13,0,1,4,4,0.625,76,1,1,0.7,0.5,0,0,13.4,1,0.6,N
1,2,0,1,3,0,0,1,1,2,7,0,0,1,1,0,0,6,0,0,N
8,1,9,13,20,12,9,4,8,0.8,101,0.2,1,0,0.40625,0,0,11,1,0.875,N
9,3,0,5,26,16,0,5,7,0.75,185,1,0,0.8,0.388889,0,0,19,2,1,Y
3,2,5,7,4,1,6,1,2,0.5,16,1,0,0.75,0.555556,0,0,4,1,0.6667,N
20,1,0,4,40,130,0,4,18,0.736842,345,1,1,0,0.284211,0,0,15.9,3,1.15,Y
13,1,0,7,28,20,2,5,12,0.809524,183,1,2,0,0.3,0,0,12.538462,7,1.3846,N
9,1,0,5,19,8,4,1,9,0.53125,119,1,0,0,0.518519,0,0,11.777778,3,1.4444,N
7,5,0,9,25,0,6,3,7,0.666667,255,0,0,0.863636,0.342857,2,5,34.857143,9,3.1429,N
9,6,0,5,17,26,0,5,6,0.833333,71,0,0,0.949367,0.333333,1,4,6.555556,3,1.1111,N
3,2,0,19,10,3,14,5,3,2,38,0,0,0.923077,0.583333,0,0,11.666667,1,0.3333,N
1,1,0,10,1,0,8,2,1,2,1,0,0,0,1,0,0,0,1,1,N
9,1,0,3,12,20,1,2,8,0.8125,54,1,3,0,0.375,0,0,4.555556,1,0.7778,N
19,4,0,7,40,129,0,7,16,0.936508,252,0.5,0,0.727273,0.381579,2,3,11.526316,6,1.3158,N
10,4,2,13,26,0,7,7,9,0.111111,110,1,1,0.795455,0.26,1,1,9.9,3,1.6,N
3,2,0,2,5,0,1,1,3,0,34,1,1,0.818182,0.5,1,2,10,1,0.6667,N
20,1,0,7,79,136,5,5,10,0.897507,835,1,1,0,0.19375,0,0,39.8,10,1.95,N
6,1,0,8,6,15,7,1,6,2,6,0,0,0,0.444444,0,0,0,1,1,N
3,4,0,5,11,1,1,4,1,0.5,41,1,1,0.971429,0.75,1,2,12.333333,3,1,Y
5,2,0,7,14,6,0,7,4,0.625,70,1,0,0.692308,0.8,0,0,12.6,4,1.4,N
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,N
11,2,0,7,26,0,5,2,11,0.58,181,1,0,0.529412,0.409091,0,0,15,1,0.7273,N
3,4,0,5,15,3,0,5,2,2,51,0,0,0.978495,0.666667,1,1,16,2,1,N
3,2,0,5,7,1,1,4,3,0.5,29,1,0,0.818182,0.666667,0,0,8.333333,1,0.6667,N
16,3,0,15,65,76,0,15,13,0.92,483,1,0,0.72549,0.311111,0,0,28.25,9,1.5625,Y
4,4,8,12,5,0,8,4,3,0.333333,18,1,1,0.921053,0.4375,0,0,3.25,1,0.75,N
15,1,0,11,65,75,0,11,11,0.693878,443,1,0,0,0.295238,0,0,28.066667,5,1.6,N
11,3,0,3,24,17,0,3,10,0.671429,309,1,0,0.787234,0.545455,0,0,26.454545,11,1.9091,N
2,3,0,1,3,1,1,0,2,2,7,0,0,0.947368,0.75,1,1,2.5,1,0.5,N
15,3,0,9,41,0,0,9,15,0.678571,204,1,1,0.72549,0.225,1,2,12.333333,2,1.5333,N
14,4,3,11,29,85,3,8,11,0.576923,108,1,1,0.759259,0.321429,0,0,6.571429,4,1.2857,N
27,3,0,8,101,157,5,3,15,0.824786,1286,0.888889,1,0.294118,0.183761,1,7,45.62963,4,1.1111,Y
5,4,0,8,23,4,4,8,5,0.75,249,1,0,0.927273,0.8,2,2,48.2,1,0.8,N
3,1,0,2,3,3,2,0,3,1.5,4,0,0,0,0.666667,0,0,0,1,1,N
4,5,0,5,19,6,0,5,4,2,57,0,0,0.978495,0.625,2,4,13.25,2,1,N
6,1,0,2,11,3,1,1,4,0.6,53,1,0,0,0.666667,0,0,7.5,1,0.8333,N
55,3,8,20,106,1313,8,12,9,0.956553,1133,1,2,0.406593,0.195455,0,0,19.127273,10,1.8545,N
3,2,0,4,19,3,0,4,2,2,136,0,0,0.8,0.666667,0,0,44.333333,2,1,N
8,1,0,4,22,0,0,4,6,0.428571,169,1,0,0,0.625,0,0,19.875,7,1.625,N
11,2,0,1,23,39,1,0,10,0.483333,136,1,0,0.454545,0.348485,1,1,10.818182,1,0.5455,N
10,1,0,10,29,43,7,3,8,0.833333,91,0.5,1,0,0.2,0,0,7.9,3,1.2,N
1,3,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,N
3,2,1,12,22,3,2,10,2,1.5,72,0,0,0.866667,1,0,0,22.666667,1,0.6667,N
9,1,0,32,36,36,32,0,7,1.104167,281,0.833333,0,0,0.25,0,0,29.555556,11,3,N
7,1,0,24,8,3,24,0,7,0.666667,43,1,0,0,0.714286,0,0,4.714286,1,0.8571,N
9,1,1,4,19,30,1,3,7,0.5,130,1,0,0,0.666667,0,0,13.333333,4,1.2222,N
63,1,2,61,144,1603,51,10,31,0.874288,2303,1,2,0,0.21371,0,0,35.015873,35,3.2381,Y
6,3,2,20,13,7,17,3,3,0.4,56,1,1,0.733333,0.433333,1,4,8,1,0.6667,N
2,1,0,6,2,1,6,0,2,2,2,0,0,0,0.666667,0,0,0,1,1,N
22,3,0,5,47,159,0,5,19,0.904762,365,1,1,0.649123,0.361905,2,2,14.818182,9,1.3636,N
17,5,0,9,34,118,2,7,17,0.975,137,0.5,1,0.905882,0.270588,3,5,6.470588,2,1.0588,Y
12,3,0,15,99,18,1,14,8,0.826446,804,1,1,0.770833,0.277778,2,2,65.083333,18,4.8333,Y
10,2,0,3,30,27,1,2,5,0.761905,245,1,1,0.357143,0.283333,1,1,22.8,2,1,N
