@relation serapion-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
3,1,0,5,13,3,0,5,2,1,40,0,0,0,0.5,0,0,12,1,0.3333,N
4,3,0,24,15,0,24,0,4,0,63,1,0,0.8125,0.75,0,0,14.5,2,1.25,N
7,2,0,6,25,21,1,5,7,2,104,0,0,0,0.571429,0,0,13.857143,1,0.8571,Y
5,8,0,6,29,4,1,5,5,0.875,133,0.5,1,0.993478,0.6,2,4,25.2,1,0.6,N
9,7,0,7,73,12,4,5,4,0.775735,1375,0.735294,0,0.98441,0.34375,1,1,148,17,3.3333,Y
6,7,0,5,43,11,2,4,3,0.771429,289,0.857143,0,0.988814,0.444444,1,1,46,1,0.8333,N
4,2,0,7,25,6,1,6,4,2,123,0,0,0.625,0.75,0,0,29.75,1,0.75,N
4,2,0,5,26,0,1,4,4,0.333333,117,0,1,0.5,1,0,0,28,1,0.75,N
16,7,1,5,93,72,2,3,15,0.911667,1400,0.725,0,0.967177,0.53125,1,1,84,1,0.9375,Y
2,3,0,1,3,1,1,0,1,2,12,0,0,0.978723,0.75,0,0,5,2,1,N
3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.333333,1,0.6667,N
3,1,0,7,21,3,1,6,3,2,68,0,0,0,0.555556,0,0,21.666667,1,0.6667,N
5,2,0,8,24,10,2,6,5,2,136,0,0,0.555556,0.4,0,0,26.2,1,0.8,N
11,6,6,16,18,53,16,1,11,0.9,73,0,1,0.977376,0.363636,0,0,5.545455,2,1,N
4,1,7,16,20,4,16,1,4,0.333333,82,1,1,0,0.4375,0,0,19.25,2,1,N
9,2,0,9,30,36,3,6,9,2,247,0,0,0.384615,0.355556,0,0,26.444444,1,0.8889,N
3,1,0,10,12,0,1,9,3,0.5,61,1,0,0,0.666667,0,0,18,1,0.6667,N
5,2,0,7,38,0,2,7,5,0.5,245,0,1,0.428571,1,0,0,47.8,7,2,N
14,2,0,9,44,29,5,4,14,0.661538,326,1,0,0.3125,0.25,0,0,21.928571,3,1,Y
2,2,0,5,10,1,1,4,2,2,31,0,0,0,0.75,0,0,14.5,1,0.5,N
5,7,0,6,69,0,1,5,4,0.75,604,0.647059,1,0.991031,1,1,1,116.4,2,1,N
32,2,0,12,44,264,9,3,32,0.936828,427,0.541667,0,0.151515,0.255208,0,0,11.59375,1,0.875,Y
14,2,0,7,29,21,5,2,14,0.824176,274,0.571429,0,0.294118,0.271429,0,0,18.071429,2,1,N
3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.333333,2,1,N
3,2,0,5,23,0,1,4,3,0.5,101,0,1,0.6,1,0,0,32.333333,1,0.6667,N
10,2,0,9,15,39,7,2,10,0.861111,68,0.75,0,0.384615,0.28,0,0,5.4,1,0.8,Y
3,2,0,7,29,0,1,6,3,0.5,123,0,1,0.6,1,0,0,39.666667,1,0.6667,N
3,2,0,6,11,3,2,4,3,2,107,0,0,0,0.666667,0,0,34.666667,1,0.6667,N
6,1,6,7,11,15,6,1,1,2,93,0,0,0,0.791667,0,0,14.5,5,3.5,Y
6,1,0,2,7,3,1,1,6,0.6,34,1,1,0,0.555556,0,0,4.333333,1,0.6667,N
6,2,0,8,22,15,2,6,6,2,156,0,0,0.5,0.416667,0,0,25,1,0.8333,N
2,1,0,2,3,1,1,1,2,2,6,0,0,0,0.75,0,0,2,1,0.5,N
12,2,0,17,53,12,7,15,12,0.454545,414,0,1,0.214286,1,0,0,33.416667,3,1.25,Y
2,1,0,1,5,1,0,1,2,2,13,0,0,0,0.5,0,0,5.5,1,0.5,N
7,1,5,11,20,9,5,6,2,0.388889,75,1,0,0,0.666667,0,0,9.285714,2,0.8571,N
3,1,0,4,15,1,2,2,2,0.75,65,0.5,0,0,0.5,0,0,20,1,0.3333,N
1,1,5,5,2,0,5,0,1,2,4,0,0,0,1,0,0,3,0,0,N
11,2,0,5,20,29,2,3,11,0.8,86,1,0,0.333333,0.290909,0,0,6.454545,1,0.9091,N
14,7,0,12,118,77,5,11,5,0.854167,1779,0.916667,2,0.971429,0.285714,0,0,122.642857,4,1.2857,Y
6,7,0,5,52,7,2,4,3,0.746667,457,0.8,0,0.988814,0.444444,1,1,72.666667,2,1.1667,N
9,2,0,5,12,30,2,3,9,0.833333,49,1,1,0.384615,0.361111,0,0,4.111111,1,0.8889,N
5,2,0,7,19,10,1,6,5,2,109,0,0,0.555556,0.533333,0,0,20.8,1,0.8,N
4,2,0,7,28,6,1,6,4,2,127,0,0,0,0.5,0,0,30.75,1,0.75,N
2,2,0,5,7,1,1,4,2,2,20,0,0,0,0.75,0,0,9,1,0.5,N
11,2,0,3,37,7,1,2,11,0.55,187,0.5,0,0.615385,0.409091,1,1,15.818182,7,1.4545,N
