@relation systemdata-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
5,1,0,7,5,10,6,1,5,2,5,0,0,0,0.6,0,0,0,1,1,N
6,1,0,3,14,0,0,3,6,0.2,43,0,0,0,0.555556,0,0,6,1,0.8333,N
43,5,0,7,86,683,2,6,1,0.906692,1962,1,3,0.917485,0.5,0,0,43.767442,14,1.7209,Y
26,1,0,16,30,301,14,3,26,0.95,154,1,3,0,0.208791,0,0,4.461538,2,1,N
4,1,0,8,4,6,7,1,4,2,4,0,0,0,0.875,0,0,0,1,1,N
17,1,0,10,19,122,9,1,17,0.919643,91,1,1,0,0.169935,0,0,3.941176,2,1,N
5,5,0,10,43,0,3,9,2,0.5,489,1,1,0.993617,0.44,0,0,94.8,6,1.8,N
5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.466667,0,0,3.4,1,0.8,N
5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.466667,0,0,3.4,1,0.8,N
8,5,0,12,39,6,5,9,3,0.782313,844,1,2,0.985232,0.3125,0,0,101.875,2,1.25,N
5,2,0,3,9,0,2,1,5,0.75,43,1,1,0.636364,0.4,0,0,7,1,0.8,N
4,2,0,5,7,4,5,0,2,0.888889,57,0.333333,3,0.846154,0.444444,1,1,12.5,1,0.5,N
7,5,0,1,22,9,1,0,1,0.783333,454,1,0,0.987315,1,0,0,62.428571,2,1.5714,N
4,1,0,7,12,0,0,7,4,0.333333,37,0,0,0,0.4375,0,0,8,1,0.75,N
5,1,0,7,15,0,0,7,5,0.25,51,0,0,0,0.4,0,0,9,3,1.2,N
7,1,0,1,8,15,1,1,7,0.833333,34,1,1,0,0.357143,0,0,3.428571,1,0.8571,N
17,1,0,14,19,122,11,3,17,0.919643,91,1,3,0,0.169935,0,0,3.941176,2,1,N
6,5,0,8,25,9,1,8,2,0.7,214,1,5,0.989407,0.444444,0,0,33.666667,3,1.5,N
4,1,0,3,7,0,0,3,4,0.333333,22,0,0,0,0.5,0,0,4.25,1,0.75,N
6,5,0,5,19,1,2,4,1,0.666667,197,1,2,0.989407,0.361111,0,0,30.833333,5,1.8333,N
10,1,0,21,12,0,13,8,9,0.611111,69,1,1,0,0.5,0,0,5.7,2,1,N
2,1,0,4,10,1,0,4,2,2,28,0,0,0,0.5,0,0,13,1,0.5,N
19,1,0,16,20,153,12,4,19,0.944444,94,1,4,0,0.184211,0,0,3.473684,1,0.9474,N
10,5,0,6,31,17,4,4,2,0.793651,183,1,2,0.983158,0.28,0,0,16.6,2,1,N
1,3,0,3,2,0,3,0,1,2,6,1,0,1,1,0,0,4,0,0,N
13,1,0,6,14,66,6,0,13,0.916667,64,1,0,0,0.487179,0,0,3.461538,1,0.9231,N
3,5,0,13,20,1,12,12,1,1,236,1,1,0.995951,0.444444,0,0,77,1,0.6667,Y
5,2,0,4,13,0,1,3,5,0.75,64,1,0,0.8,0.533333,1,1,11.2,2,1,N
2,1,0,7,2,1,6,1,2,2,2,0,0,0,0.75,0,0,0,1,1,N
4,5,0,1,17,0,1,0,1,0.666667,622,1,0,0.993617,1,0,0,151,2,1.25,N
2,1,0,8,2,1,7,1,2,2,2,0,0,0,0.666667,0,0,0,1,1,N
8,5,0,4,28,6,2,3,2,0.714286,148,1,1,0.987315,0.3125,0,0,16.875,2,1,N
5,5,0,6,22,0,3,3,3,0.678571,256,1,1,0.991507,0.6,0,0,48.8,2,1,N
5,2,0,4,14,0,1,3,5,0.75,70,1,0,0.8,0.533333,1,1,12.4,3,1.2,N
18,1,0,23,29,105,21,3,18,0.865546,234,1,3,0,0.180556,1,1,11.611111,16,2,Y
6,5,0,1,19,5,1,0,1,0.75,326,1,0,0.989407,1,0,0,52,2,1.5,N
18,5,0,7,52,101,4,7,2,0.886275,616,1,3,0.964876,0.277778,0,0,32.388889,4,1.5,N
4,2,0,3,7,4,3,0,2,0.888889,57,0.333333,3,0.846154,0.444444,1,1,12.5,1,0.5,N
6,5,0,7,22,1,1,7,2,0.52,194,1,4,0.991507,0.583333,0,0,30.5,3,1.3333,N
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,N
12,5,0,2,35,38,2,1,1,0.791444,870,1,0,0.976987,0.5,0,0,70.083333,5,1.9167,Y
4,5,0,8,26,0,1,8,1,0.6,177,1,4,0.993617,0.625,0,0,42,2,1.25,N
27,5,0,13,82,191,5,13,1,0.88141,1132,1,4,0.947262,0.191358,0,0,40.037037,6,1.9259,N
4,2,0,6,7,4,6,0,2,0.933333,79,0.2,5,0.846154,0.444444,1,1,17.5,1,0.5,N
11,1,0,0,12,45,0,0,11,0.9,54,1,0,0,0.363636,0,0,3.454545,1,0.9091,N
3,1,0,8,3,3,7,1,3,2,3,0,0,0,0.555556,0,0,0,1,1,N
15,7,0,8,38,93,0,8,4,0.928571,176,1,0,0.871287,0.428571,1,1,10.6,1,0.8667,N
11,1,0,1,12,45,1,1,11,0.9,54,1,1,0,0.290909,0,0,3.454545,1,0.9091,N
2,1,0,5,2,1,4,1,2,2,2,0,0,0,0.75,0,0,0,1,1,N
7,1,0,3,13,0,0,3,7,0.166667,41,0,0,0,0.428571,0,0,4.714286,1,0.8571,N
5,2,0,3,8,0,2,1,5,0.75,37,1,1,0.636364,0.4,0,0,5.8,1,0.8,N
16,6,0,47,46,120,36,20,15,1.066667,204,1,0,0.966443,0.2625,0,0,11.6875,1,0.9375,Y
2,5,0,1,6,1,1,0,1,2,18,1,0,0.997863,1,0,0,7.5,1,0.5,N
14,1,0,13,15,75,12,1,14,0.910256,68,1,1,0,0.285714,0,0,3.428571,1,0.9286,Y
2,7,0,1,3,1,0,1,1,2,12,0,0,0.988764,1,1,1,5,1,0.5,N
7,1,0,8,28,1,0,8,7,0.333333,130,0,0,0,0.428571,0,0,17.428571,3,1.1429,Y
4,1,0,3,8,0,0,3,4,0.333333,23,0,0,0,0.5,0,0,4.5,1,0.75,N
9,5,0,1,28,22,1,0,1,0.78125,558,1,0,0.983158,1,0,0,59.666667,2,1.6667,N
13,5,0,5,39,40,3,5,3,0.824074,432,1,2,0.974948,0.358974,0,0,31.538462,3,1.5385,N
53,5,0,14,105,1058,5,13,3,0.916239,2451,1,6,0.899807,0.211321,0,0,44.396226,14,1.6604,Y
4,1,0,10,4,6,8,2,4,2,4,0,0,0,0.583333,0,0,0,1,1,Y
5,1,0,9,7,4,8,1,4,0.75,29,1,2,0,0.5,0,0,4.4,2,1,N
4,2,0,4,7,4,4,0,2,0.888889,57,0.333333,3,0.846154,0.444444,1,1,12.5,1,0.5,N
17,5,0,11,56,56,4,11,1,0.851563,658,1,4,0.966874,0.235294,0,0,36.764706,6,1.9412,N
4,2,0,4,7,4,4,0,2,0.888889,57,0.333333,3,0.846154,0.444444,1,1,12.5,1,0.5,N
