@relation workflow-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
6,4,0,5,12,15,1,4,6,2,36,0,0,0.83871,0.366667,0,0,5,1,0.8333,Y
2,4,0,5,4,1,1,4,2,2,10,0,0,0.962963,0.666667,0,0,4,1,0.5,Y
7,2,0,11,8,15,10,1,7,0.833333,34,1,0,0.5,0.47619,0,0,3.428571,1,0.8571,N
8,1,0,5,14,0,3,2,8,0.142857,47,1,1,0,0.325,0,0,4.75,1,0.875,Y
2,3,0,1,4,1,0,1,2,2,9,1,0,0.980392,1,1,1,3,1,0.5,Y
86,3,0,13,157,3205,0,13,83,0.95508,861,1,6,0.37037,0.124736,1,2,8.627907,5,1.0465,Y
1,1,0,0,2,0,0,0,1,2,7,0,0,0,1,0,0,3,0,0,N
10,3,0,4,27,19,0,4,10,0.866667,115,1,2,0.847458,0.433333,1,1,10,1,0.9,Y
4,4,0,5,8,6,1,4,4,2,22,0,0,0.896552,0.5,0,0,4.5,1,0.75,Y
7,4,0,6,14,21,1,5,7,2,39,0,0,0.8125,0.371429,0,0,4.571429,1,0.8571,N
7,1,0,5,20,0,2,3,7,0,75,1,1,0,0.428571,0,0,9.571429,5,1.4286,Y
4,4,0,6,8,6,1,5,4,2,22,0,0,0.896552,0.5,0,0,4.5,1,0.75,N
6,4,0,5,12,15,1,4,6,2,35,0,0,0.83871,0.366667,0,0,4.833333,1,0.8333,Y
14,3,10,19,42,91,12,9,2,2,170,0,0,0.5,0.285714,0,0,11.142857,4,1.2143,N
6,4,0,6,12,15,1,5,6,2,34,0,0,0.83871,0.4,0,0,4.666667,1,0.8333,N
7,1,10,21,8,15,21,0,7,0.833333,34,1,0,0,0.47619,0,0,3.428571,1,0.8571,N
5,1,0,1,12,4,1,0,4,1.166667,121,0,0,0,0.5,0,0,21.4,4,1.8,Y
14,1,0,12,42,15,4,8,14,0.641026,182,1,3,0,0.178571,0,0,11.785714,3,1.2857,N
4,4,0,6,8,6,1,5,4,2,22,0,0,0.896552,0.5,0,0,4.5,1,0.75,N
5,4,0,6,10,10,2,4,5,2,27,0,0,0.866667,0.45,0,0,4.4,1,0.8,N
24,1,0,13,67,94,3,10,24,0.73913,274,1,4,0,0.175,0,0,10.25,6,1.2917,Y
21,3,0,5,35,142,0,5,21,0.9,155,1,3,0.714286,0.230159,1,1,5.952381,1,0.9524,Y
7,2,0,7,8,15,4,3,7,0.833333,34,1,2,0.5,0.357143,0,0,3.428571,1,0.8571,N
13,2,0,8,14,66,6,2,13,0.916667,64,1,1,0.333333,0.292308,0,0,3.461538,1,0.9231,N
7,2,0,6,10,7,5,1,7,0.666667,42,1,0,0.5,0.47619,1,1,4.714286,2,1,N
51,3,0,9,90,999,0,9,50,0.920952,468,1,4,0.5,0.17402,1,1,7.764706,1,0.9804,Y
21,1,0,14,67,124,4,10,21,0.83,293,1,5,0,0.180952,0,0,12.714286,6,1.4762,Y
15,2,0,5,17,87,3,2,15,0.918367,78,1,2,0.3,0.293333,0,0,3.733333,1,0.9333,Y
7,4,0,5,14,21,1,4,7,2,40,0,0,0.8125,0.371429,0,0,4.714286,1,0.8571,Y
2,5,0,1,3,1,0,1,2,2,7,0,0,0.993827,1,0,0,2.5,1,0.5,N
15,3,0,3,24,43,0,3,15,0.833333,112,1,1,0.78125,0.266667,1,1,6.066667,1,0.9333,N
9,2,0,6,11,24,3,3,9,0.84375,48,1,2,0.428571,0.288889,0,0,3.888889,1,0.8889,N
10,2,0,6,11,25,5,1,10,0.805556,57,1,0,0.428571,0.5,0,0,4.3,1,0.8,N
17,2,0,15,18,120,13,2,17,0.9375,84,1,1,0.272727,0.367647,0,0,3.470588,1,0.9412,N
9,1,0,6,16,0,4,2,9,0.125,49,0,1,0,0.333333,0,0,4.333333,1,0.8889,Y
17,2,7,11,22,88,7,4,16,0.857143,122,0.857143,2,0.68,0.235294,0,0,5.764706,2,1,Y
15,2,0,11,17,83,7,4,15,0.908163,82,1,3,0.3,0.209524,0,0,4,1,0.9333,Y
17,3,0,3,24,72,0,3,17,0.866071,115,0.857143,1,0.757576,0.270588,1,1,5.352941,1,0.9412,Y
16,2,0,5,17,78,4,1,16,0.866667,99,1,0,0.3,0.40625,0,0,4.75,1,0.875,N
