@relation xalan-2.6-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
7,3,0,19,35,0,0,19,6,0.083333,226,1,1,0.922078,0.306122,2,9,31,3,1.5714,Y
12,2,14,22,23,0,17,7,12,0.363636,149,1,2,0.731707,0.21875,1,7,11.25,5,1.5833,Y
69,1,0,36,198,2330,20,18,64,1.005793,2601,0.30303,0,0,0.102076,0,0,36.217391,49,4.2464,Y
49,3,2,42,100,1176,33,12,46,1,740,0,1,0.606838,0.122222,3,21,14.081633,16,1.8571,Y
1,1,0,11,1,0,11,1,1,2,1,0,0,0,1,0,0,0,1,1,N
9,1,0,3,9,36,2,1,9,2,9,0,0,0,0.333333,0,0,0,1,1,N
3,3,0,0,4,1,0,0,2,0.5,234,1,0,0.974359,1,0,0,76.666667,1,0.3333,Y
6,2,0,4,10,13,0,4,5,0.8,41,1,1,0.5,0.4,0,0,5.666667,1,0.6667,N
9,1,0,3,24,0,2,2,0,0.892857,353,0,1,0,0.62963,0,0,37.444444,3,1.4444,N
1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,N
4,1,0,0,10,0,0,0,0,1.266667,90,0,0,0,0.833333,0,0,15.25,4,2,N
1,1,0,3,1,0,3,0,0,2,36,0,0,0,0,0,0,28,0,0,Y
7,2,0,8,11,19,4,6,6,0.833333,39,1,1,0.444444,0.333333,0,0,4.428571,1,0.7143,Y
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,N
11,1,1,3,20,53,3,1,0,0.9,90,1,0,0,0.4,0,0,7.090909,2,0.9091,N
4,2,1,5,11,4,1,5,4,2,63,0,0,0.823529,0.5,1,4,14.75,5,1.75,Y
3,1,0,6,4,0,5,1,3,0.5625,65,0,1,0,0.571429,0,0,18,0,0,N
5,5,0,7,8,6,0,7,5,0.916667,41,1,0,0.971831,0.325,1,2,6.6,1,0.8,N
16,2,0,30,47,74,8,23,14,0.6,225,1,0,0.702128,0.236111,2,3,12.9375,2,1.0625,N
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.666667,0,0,0,1,1,N
8,3,0,14,38,0,0,14,7,0.809524,255,0.444444,2,0.922078,0.265306,2,8,29.75,3,1.375,N
7,3,0,13,30,0,0,13,7,0,106,1,1,0.922078,0.285714,2,8,14,1,0.8571,N
9,2,7,21,15,36,15,8,8,2,51,0,0,0.789474,0.285714,1,7,4.666667,2,1.1111,Y
12,1,0,3,44,64,1,2,0,0.981818,586,1,0,0,0.318182,0,0,47.416667,8,1.8333,N
4,1,0,68,4,6,68,0,4,2,4,0,0,0,0.583333,0,0,0,1,1,N
5,3,0,23,36,2,2,22,4,1,537,1,1,0.9375,0.4,3,7,105.8,17,4.8,Y
6,3,0,13,51,3,0,13,6,2,851,0,0,0.615385,0.388889,2,5,140.833333,5,1.6667,Y
8,2,0,3,21,0,1,3,8,0,85,1,1,0.65,0.34375,1,5,9.5,2,1,N
5,1,2,21,6,10,19,2,5,2,8,0,0,0,0.4,0,0,0.6,1,0.8,N
3,5,0,9,11,3,0,9,3,2,37,0,0,0.99,0.533333,3,5,11.333333,1,0.3333,N
5,3,0,5,17,10,1,4,5,2,74,0,0,0.98,0.466667,2,6,13.8,16,3.8,Y
20,3,0,55,105,130,2,55,15,0.847953,1393,1,4,0.746667,0.236364,1,4,68.2,11,2.5,Y
5,3,2,18,16,8,18,0,3,1.246296,2125,0,0,0.926829,0.333333,0,0,397,2,0.8,Y
12,4,1,16,47,18,2,14,9,0.545455,331,1,2,0.948357,0.229167,2,6,26.416667,4,1.1667,Y
6,5,0,11,25,3,1,11,4,0.75,261,1,2,0.961538,0.4,1,6,41.833333,10,2.8333,Y
4,2,0,17,7,0,1,16,4,0.166667,93,1,0,0.8,0.4,0,0,21.75,12,4,N
20,2,0,49,52,188,17,36,19,2,298,0,0,0.634615,0.245,1,2,13.9,4,1.45,N
