@relation xerces-1.4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Defective {N,Y}

@data
12,1,0,35,75,14,16,21,7,0.965787,4202,0.55914,19,0,0.20979,0,0,341.416667,31,6.6667,Y
3,4,0,6,12,3,2,4,2,2,68,0,0,0.985714,0.428571,1,7,21.666667,1,0.3333,Y
5,4,0,2,11,10,0,2,5,2,30,0,0,0.959184,0.45,0,0,5,1,0.8,Y
6,1,0,2,6,15,1,1,6,2,6,0,0,0,0.75,0,0,0,1,1,Y
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,N
5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.7,0,0,0,1,1,N
15,1,2,26,41,37,7,19,12,0.825397,870,1,4,0,0.181818,0,0,55.8,11,2.4,Y
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,N
5,4,0,2,8,10,0,2,5,2,28,0,0,0.959184,0.6,0,0,4.6,1,0.8,Y
9,1,0,4,15,0,2,2,8,0.1875,243,1,1,0,0.422222,0,0,25.777778,6,2.1111,Y
6,1,0,2,19,13,1,2,5,0.8,127,0,1,0,0.533333,0,0,20,11,3,Y
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,Y
5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488,0.6,1,4,4.6,1,0.8,Y
3,4,0,2,7,3,1,2,3,2,19,0,0,0.979167,0.666667,0,0,5.333333,1,0.6667,Y
7,1,0,0,7,21,0,0,7,2,7,0,0,0,0.428571,0,0,0,1,1,N
7,1,0,0,7,21,0,0,7,2,7,0,0,0,1,0,0,0,1,1,N
14,4,1,4,19,79,3,2,14,0.945055,133,0.857143,0,0.858696,0.392857,2,6,8,2,1.7143,Y
1,4,0,0,2,0,0,0,1,2,10,0,0,1,1,0,0,7,0,0,N
5,3,0,5,13,0,1,5,1,0.75,59,0.5,0,0.921569,0.466667,2,6,10.4,1,0.8,Y
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,N
10,1,0,2,10,45,1,1,10,2,10,0,0,0,0.5,0,0,0,1,1,Y
38,2,2,13,98,421,10,4,24,0.817568,1100,0.75,1,0.556962,0.174174,1,17,27.842105,11,2.6053,Y
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,Y
5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488,0.6,1,4,4.6,1,0.8,Y
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,N
10,1,0,0,10,45,0,0,10,1.111111,13,0,0,0,0.4,0,0,0,1,1,N
6,1,0,0,36,15,0,0,0,0.933333,304,0.333333,0,0,0.333333,0,0,49.166667,1,0.8333,Y
4,1,0,0,4,6,0,0,4,2,4,0,0,0,1,0,0,0,1,1,N
8,1,0,1,14,0,1,0,5,0.142857,574,0,0,0,0.520833,0,0,70.375,8,5.625,Y
13,4,0,3,16,78,0,3,13,2,72,0,0,0.87234,0.538462,1,7,4.538462,1,0.9231,Y
6,1,0,0,6,15,0,0,6,2,6,0,0,0,1,0,0,0,1,1,N
36,4,0,6,58,630,1,6,35,1,471,1,2,0.728682,0.214286,0,0,12.027778,7,2,Y
24,3,1,17,122,0,1,16,21,0.856072,1567,0.931034,7,0.651515,0.25,3,10,63.083333,4,1.0833,Y
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,Y
6,3,1,4,21,3,3,2,4,0.96,255,0.4,0,0.9375,0.611111,3,3,40.666667,3,1.3333,Y
11,1,0,5,37,0,0,5,11,0.716667,332,1,3,0,0.318182,0,0,28.636364,1,0.9091,Y
5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488,0.6,1,4,4.6,1,0.8,Y
8,4,0,26,12,0,25,1,8,0.285714,64,1,0,0.818182,0.4375,0,0,6.75,1,0.5,Y
4,4,0,6,20,0,1,6,1,0.666667,118,0.5,0,0.962025,0.5,3,11,28,6,2,Y
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,N
13,4,0,2,21,78,0,2,13,2,103,0,0,0.886792,0.403846,0,0,6.923077,3,1.2308,Y
3,4,0,2,7,3,0,2,3,2,19,0,0,0.979167,0.666667,0,0,5.333333,1,0.6667,Y
12,2,0,6,50,24,1,6,5,2,719,0,0,0.521739,0.321429,1,9,58.916667,10,3.1667,Y
12,1,1,0,22,66,0,0,11,2,100,0,0,0,0.238095,0,0,7.333333,1,0.9167,N
2,2,0,9,3,1,8,1,1,1,18,0,0,1,1,0,0,6.5,0,0,Y
16,1,0,0,16,120,0,0,16,2,16,0,0,0,0.5,0,0,0,1,1,N
18,4,0,3,25,153,0,3,18,0.941176,102,1,1,0.846847,0.481481,0,0,4.611111,2,1,Y
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,Y
9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111,0.555556,1,5,4.555556,1,0.8889,Y
1,1,0,7,1,0,7,0,1,2,1,0,0,0,1,0,0,0,1,1,Y
19,4,0,3,24,171,0,3,19,2,107,0,0,0.82,0.394737,1,6,4.631579,1,0.9474,Y
32,1,0,16,80,0,2,14,29,0.850806,814,1,6,0,0.184751,0,0,23.9375,1,0.9063,Y
1,1,0,8,1,0,5,3,1,2,1,0,0,0,1,0,0,0,1,1,N
1,4,0,5,2,0,5,0,1,2,13,0,0,1,1,0,0,7,0,0,Y
