Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
Tomcat,6.0.389418,org.apache.jasper.compiler.JDTCompiler,2,2,0,19,44,1,3,,1,2.0,410,0.0,0,0.93333334,0.75,2,2,204.0,,,,,,,1,0.5,0
Tomcat,6.0.389418,org.apache.tomcat.util.net.AprEndpoint,90,1,0,26,158,3537,11,,81,0.9603562,1560,0.9245283000000001,5,0.0,0.1755618,0,0,15.744445,,,,,,,8,1.3222222,0
Tomcat,6.0.389418,javax.servlet.jsp.tagext.TagData,8,1,0,0,14,0,0,,7,0.5714286,95,0.5,0,0.0,0.37142858,0,0,10.625,,,,,,,2,0.75,0
Tomcat,6.0.389418,org.apache.tomcat.util.digester.ObjectCreateRule,11,2,0,3,28,47,1,,11,0.4,177,1.0,0,0.78571427,0.47272727,1,2,14.909091,,,,,,,1,0.27272728,0
Tomcat,6.0.389418,org.apache.el.parser.AstNot,3,3,0,4,8,3,1,,3,2.0,27,0.0,0,0.9512195,0.6666667,1,1,8.0,,,,,,,1,0.6666667,0
Tomcat,6.0.389418,org.apache.catalina.core.ApplicationResponse,11,2,0,2,21,0,1,,8,0.6,86,1.0,1,0.68,0.31666666,0,0,6.6363635,,,,,,,3,1.2727273000000001,0
Tomcat,6.0.389418,org.apache.catalina.util.MD5Encoder,3,1,0,3,5,1,3,,2,0.5,128,1.0,0,0.0,0.75,0,0,41.333332,,,,,,,3,1.0,0
Tomcat,6.0.389418,javax.servlet.ServletRequestListener,2,1,0,0,2,1,0,,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,,,,,,,1,1.0,0
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIExec,2,1,0,5,22,0,1,,2,1.0,134,1.0,1,0.0,0.6,0,0,65.0,,,,,,,4,2.0,0
Tomcat,6.0.389418,org.apache.jk.common.HandlerRequest,22,2,0,20,145,127,0,,15,0.86734694,1226,0.85714287,1,0.54545456,0.30612245,2,2,54.090908,,,,,,,10,2.3181818,0
Tomcat,6.0.389418,org.apache.jasper.runtime.HttpJspBase,11,3,0,4,27,55,0,,8,2.0,145,0.0,0,0.72727275,0.375,1,1,12.181818,,,,,,,1,0.8181818000000001,0
Tomcat,6.0.389418,javax.servlet.jsp.el.ImplicitObjectELResolver$ScopeManager$2,3,3,0,0,12,0,0,,0,0.0,74,0.0,1,0.9285714,0.5555555999999999,2,3,23.333334,,,,,,,4,2.3333333,0
Tomcat,6.0.389418,org.apache.catalina.session.StoreBase,14,1,2,14,45,33,3,,13,0.7802198,293,1.0,3,0.0,0.34615386,0,0,19.428572,,,,,,,8,1.3571428,0
Tomcat,6.0.389418,org.apache.catalina.session.StandardManager$PrivilegedDoLoad,2,1,0,1,4,0,1,,1,0.0,14,0.0,1,0.0,0.75,0,0,5.5,,,,,,,1,0.5,0
Tomcat,6.0.389418,org.apache.jasper.compiler.Node$SetProperty,28,2,0,17,53,376,10,,28,0.9629629999999999,136,1.0,1,0.5,0.17857143,1,6,3.8214285000000006,,,,,,,1,0.9285714,0
Tomcat,6.0.389418,org.apache.catalina.connector.RequestFacade$GetRequestDispatcherPrivilegedAction,2,1,0,2,4,0,1,,2,0.0,20,0.5,1,0.0,0.6666667,0,0,8.0,,,,,,,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIProcessor,9,1,0,17,53,30,2,,3,0.9583333,624,1.0,1,0.0,0.26666668,0,0,67.666664,,,,,,,16,5.111111,2
Tomcat,6.0.389418,org.apache.tomcat.util.net.AprEndpoint$Acceptor,2,1,0,5,11,0,1,,1,0.0,52,0.0,1,0.0,0.75,0,0,24.5,,,,,,,4,2.0,0
Tomcat,6.0.389418,org.apache.tomcat.jni.Status,55,1,0,1,56,1485,1,,54,1.0185186,329,0.0,0,0.0,0.5,0,0,3.9090910000000005,,,,,,,1,0.9818181999999999,0
Tomcat,6.0.389418,org.apache.catalina.startup.PasswdUserDatabase,6,1,0,2,22,0,0,,5,0.6666667,161,1.0,1,0.0,0.44444445,0,0,25.333334,,,,,,,8,2.0,0
Tomcat,6.0.389418,javax.servlet.jsp.ErrorData,5,1,0,0,6,2,0,,5,0.75,36,1.0,0,0.0,0.4,0,0,5.4,,,,,,,1,0.8,0
Tomcat,6.0.389418,org.apache.jasper.JasperException,3,4,0,109,6,3,109,,3,2.0,16,0.0,0,1.0,0.7777778000000001,0,0,4.3333335,,,,,,,0,0.0,0
Tomcat,6.0.389418,org.apache.catalina.util.DateTool,2,1,0,5,7,1,4,,1,1.4166666,62,0.25,1,0.0,1.0,0,0,24.0,,,,,,,0,0.0,0
Tomcat,6.0.389418,org.apache.tomcat.util.collections.LRUCache$CacheNode,1,1,0,1,2,0,1,,0,2.0,12,0.0,3,0.0,1.0,0,0,6.0,,,,,,,0,0.0,0
Tomcat,6.0.389418,javax.servlet.jsp.el.ELException,5,3,1,0,8,4,0,,5,0.5,31,1.0,0,0.9444444,0.6,0,0,5.0,,,,,,,1,0.2,0
Tomcat,6.0.389418,org.apache.catalina.deploy.MessageDestinationRef,14,1,0,2,18,33,2,,13,0.78205127,152,1.0,1,0.0,0.47619048,0,0,9.428572,,,,,,,5,1.2142857,0
Tomcat,6.0.389418,org.apache.jk.config.BaseJkConfig,33,1,3,14,77,488,3,,17,0.9270833,702,1.0,0,0.0,0.19602273,0,0,19.90909,,,,,,,25,2.8181818,0
Tomcat,6.0.389418,org.apache.catalina.startup.SetSessionConfig,2,2,0,2,4,0,1,,2,0.0,21,1.0,0,0.9166667,0.6666667,0,0,9.0,,,,,,,1,0.5,0
Tomcat,6.0.389418,org.apache.jasper.compiler.ScriptingVariabler$ScriptingVariableVisitor,3,2,0,6,27,1,1,,2,0.0,200,1.0,1,0.9459459000000001,0.5833333,1,1,65.0,,,,,,,1,0.6666667,0
Tomcat,6.0.389418,org.apache.tomcat.util.IntrospectionUtils$1,2,1,0,1,4,0,1,,1,0.0,18,0.0,0,0.0,0.8333333,0,0,7.5,,,,,,,2,1.0,0
Tomcat,6.0.389418,org.apache.el.parser.AstEmpty,3,3,0,4,9,3,1,,3,2.0,63,0.0,0,0.9512195,0.6666667,0,0,20.0,,,,,,,1,0.6666667,0
Tomcat,6.0.389418,org.apache.el.parser.AstDynamicExpression,5,3,0,5,10,0,2,,5,2.0,38,0.0,0,0.90697676,0.55,0,0,6.6,,,,,,,1,0.8,0
