Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
ant,1.5,org.apache.tools.ant.filters.PrefixLines,7,5,0,5,22,0,1,4,5,0.5555555999999999,150,1.0,0,0.8484849,0.47619048,2,5,20.0,4,3,327,0,0,,4,1.1428572,0
ant,1.5,org.apache.tools.ant.IntrospectionHelper$NestedStorer,1,1,0,2,1,0,2,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,,0,,,0,,1,1.0,0
ant,1.5,org.apache.tools.tar.TarUtils,8,1,0,1,14,28,1,0,8,2.0,274,0.0,0,0.0,0.45,0,0,33.25,1,1,2,1,0,,7,2.75,0
ant,1.5,org.apache.tools.ant.types.Path$PathElement,4,1,0,4,9,0,2,3,4,0.5,34,1.0,1,0.0,0.4375,0,0,7.0,,0,,,0,,1,0.75,0
ant,1.5,org.apache.tools.ant.types.Parameter,7,1,0,20,8,3,20,0,7,0.6666667,43,1.0,0,0.0,0.71428573,0,0,4.714286,2,2,173,0,0,,1,0.85714287,0
ant,1.5,org.apache.tools.ant.util.JavaEnvUtils,11,1,0,15,26,31,14,2,7,0.8923076999999999,361,0.61538464,1,0.0,0.3,0,0,30.636364,6,3,417,0,0,,5,2.1818182,0
ant,1.5,org.apache.tools.ant.taskdefs.cvslib.CVSEntry,9,1,0,4,18,14,3,1,4,0.65625,88,1.0,0,0.0,0.5185185,0,0,8.333333,5,3,166,0,0,,1,0.8888889000000001,0
ant,1.5,org.apache.tools.ant.taskdefs.compilers.JavacExternal,2,2,0,6,14,1,1,5,2,2.0,44,0.0,0,0.9583333,1.0,0,0,21.0,5,3,59,1,0,,1,0.5,0
ant,1.5,org.apache.tools.ant.filters.ClassConstants,5,4,0,3,20,4,1,2,4,0.8333333,168,0.6666667,0,0.8965517,0.46666667,2,4,32.0,5,3,346,0,0,,1,0.6,0
ant,1.5,org.apache.tools.ant.taskdefs.MatchingTask,36,3,11,35,84,0,11,24,35,0.4857143,302,1.0,1,0.5138889,0.0875,2,2,7.333333500000001,12,4,259,1,0,,6,1.1944443999999999,0
ant,1.5,org.apache.tools.ant.taskdefs.Delete,21,4,0,11,56,24,0,11,19,0.7875,715,1.0,0,0.79591835,0.2857143,3,4,32.666668,14,5,239,1,0,,16,2.1904762000000004,0
