Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
camel,1.2,org.apache.camel.component.jms.MessagePropertyAccessException,2,5,0,2,6,0,1,1,2,1.0,22,1.0,0,0.9444444,0.6666667,0,0,9.0,0,0,,1,0,,1,0.5,0
camel,1.2,org.apache.camel.model.dataformat.DataFormatType,7,1,4,12,20,17,8,4,3,0.75,108,1.0,1,0.0,0.42857143,0,0,14.142857999999999,3,1,95,0,0,,3,1.0,2
camel,1.2,org.apache.camel.builder.ExpressionBuilder$10,3,1,0,4,6,3,1,3,2,2.0,12,0.0,0,0.0,0.6666667,0,0,3.0,,0,,,0,,1,0.6666667,0
camel,1.2,org.apache.camel.converter.jaxp.StringSource,7,2,0,1,17,0,1,0,7,0.25,83,1.0,0,0.6923077,0.71428573,0,0,10.571428,1,1,11,1,0,,1,0.5714286,2
camel,1.2,org.apache.camel.model.language.SimpleExpression,3,2,0,1,5,3,0,1,3,2.0,12,0.0,0,0.9230769,0.6666667,1,2,3.0,2,2,3,0,0,,1,0.33333334,1
camel,1.2,org.apache.commons.logging.LogFactory$2,3,1,0,2,13,1,1,2,1,0.6666667,118,0.6666667,0,0.0,0.5555555999999999,0,0,37.333332,,0,,,0,,11,4.0,0
camel,1.2,org.apache.camel.impl.converter.AsyncProcessorTypeConverter$1,0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,,,0,,0,0.0,0
camel,1.2,org.apache.camel.bam.processor.ActivityMonitorEngine,12,2,0,12,35,32,3,11,4,0.8636364,184,1.0,2,0.5652174,0.19480519,1,1,13.666667000000002,0,0,,1,0,,3,1.0833334,0
camel,1.2,org.apache.camel.impl.converter.ToStringTypeConverter,2,1,0,2,5,1,1,1,2,2.0,16,0.0,0,0.0,0.6666667,0,0,7.0,1,1,13,1,0,,3,1.5,0
camel,1.2,org.apache.camel.model.FinallyType,4,3,0,5,11,6,1,4,4,2.0,25,0.0,0,0.97029704,0.625,1,2,5.25,3,2,14,0,0,,1,0.75,3
camel,1.2,org.apache.camel.component.jms.JmsConsumer,5,3,0,7,16,0,1,7,2,0.25,56,1.0,0,0.84615386,0.5,1,1,10.0,0,0,,1,0,,1,0.8,0
camel,1.2,org.apache.camel.language.IllegalSyntaxException,3,5,0,4,8,0,2,2,3,0.5,32,1.0,1,0.8947368,0.5555555999999999,0,0,9.0,3,2,4,0,0,,1,0.6666667,0
camel,1.2,org.apache.camel.TypeConverter,1,1,0,28,1,0,28,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1,13,1,0,,1,1.0,0
camel,1.2,org.apache.camel.spi.Synchronization,2,1,0,3,2,1,2,1,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1,48,0,0,,1,1.0,0
camel,1.2,org.apache.camel.component.cxf.interceptors.SoapMessageInInterceptor,11,1,0,12,43,49,1,11,1,0.7,197,1.0,0,0.47058824,0.4,1,4,16.818182,0,0,,0,0,,9,1.6363636000000001,0
camel,1.2,org.apache.camel.model.RouteType,23,2,0,23,50,161,14,11,20,0.7878788000000001,295,1.0,2,0.83035713,0.2215909,1,6,11.565217,17,3,1296,0,0,,3,1.0,4
camel,1.2,org.apache.camel.component.cxf.transport.CamelDestination$CamelOutputStream,7,0,0,10,12,15,2,9,1,0.875,50,0.75,3,0.0,0.32142857,0,0,5.571429,,0,,,0,,1,0.85714287,0
camel,1.2,org.apache.camel.impl.converter.EnumTypeConverter,2,1,0,4,12,1,1,3,2,2.0,52,0.0,0,0.0,0.6666667,0,0,25.0,1,1,0,0,0,,3,1.5,1
camel,1.2,org.apache.camel.FailedToCreateProducerException,2,5,0,3,7,0,1,2,2,0.0,25,1.0,1,0.9444444,0.6666667,0,0,11.0,1,1,5,1,0,,1,0.5,1
camel,1.2,org.apache.camel.builder.ExpressionBuilder$4,3,1,0,3,8,0,1,2,2,0.0,27,0.0,0,0.0,0.5555555999999999,0,0,7.666666499999999,,0,,,0,,1,0.6666667,0
camel,1.2,org.apache.camel.builder.xml.StringResultHandlerFactory,2,1,0,4,4,1,1,3,2,2.0,9,0.0,0,0.0,1.0,0,0,3.5,1,1,28,0,0,,1,0.5,1
camel,1.2,org.apache.camel.component.seda.SedaConsumer,6,2,0,11,23,1,2,11,3,0.75,88,1.0,3,0.7647059,0.46666667,1,2,13.0,7,2,97,0,0,,2,0.8333333,2
camel,1.2,org.apache.camel.component.file.FileEndpoint,37,3,0,21,61,598,8,19,34,0.9325396999999999,335,1.0,2,0.375,0.14393939,1,1,7.675675999999999,8,2,347,1,1,,6,1.2162162,8
camel,1.2,org.apache.camel.util.NoFactoryAvailableException,2,4,0,5,6,0,5,0,2,0.0,20,1.0,0,0.9444444,0.75,0,0,8.5,1,1,3,1,0,,1,0.5,0
camel,1.2,org.apache.camel.builder.ExpressionBuilder$7,3,1,0,3,8,0,1,2,2,0.0,23,0.0,0,0.0,0.5555555999999999,0,0,6.3333335,,0,,,0,,1,0.6666667,0
camel,1.2,org.apache.camel.component.bean.MethodInfo,16,1,0,8,28,74,3,7,12,0.84444445,154,1.0,1,0.0,0.1875,0,0,8.25,5,2,28,0,0,,3,1.1875,2
