Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
ckjm,1.8,gr.spinellis.ckjm.ClassMetrics,23,1,,7,32,183,7,0,22,0.8909091,205,1.0,0,0.0,0.40579709999999997,0,0,7.478261,,,,,,,6,1.173913,8
ckjm,1.8,gr.spinellis.ckjm.CkjmOutputHandler,1,1,,6,1,0,5,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,,,,,,,1,1.0,0
ckjm,1.8,gr.spinellis.ckjm.MetricsFilter,7,1,,7,30,11,3,6,5,0.6666667,218,1.0,0,0.0,0.2,0,0,29.857143,,,,,,,7,2.142857,3
ckjm,1.8,gr.spinellis.ckjm.ant.PrintXmlResults,4,1,,3,19,0,1,2,4,0.0,97,1.0,0,0.0,0.4375,0,0,23.0,,,,,,,1,0.75,4
ckjm,1.8,gr.spinellis.ckjm.PrintPlainResults,2,1,,4,8,0,2,2,2,0.0,24,1.0,0,0.0,0.625,0,0,10.5,,,,,,,1,0.5,0
ckjm,1.8,gr.spinellis.ckjm.MethodVisitor,11,2,,21,40,0,1,21,8,0.55,209,1.0,2,0.94736844,0.17355372,0,0,17.636364,,,,,,,5,1.9090909,0
ckjm,1.8,gr.spinellis.ckjm.ClassMetricsContainer,3,1,,4,18,0,2,3,2,0.0,66,1.0,0,0.0,0.5555555999999999,0,0,20.666666,,,,,,,3,1.6666666,0
ckjm,1.8,gr.spinellis.ckjm.ClassVisitor,13,2,,14,72,34,2,14,9,0.6041667,419,0.875,2,0.72727275,0.24038461,0,0,30.615384999999996,,,,,,,5,2.2307692,6
ckjm,1.8,gr.spinellis.ckjm.ant.CkjmTask,5,4,,7,28,0,0,7,5,0.6666667,156,1.0,0,0.9512195,0.53333336,2,2,29.6,,,,,,,1,0.8,2
ckjm,1.8,gr.spinellis.ckjm.ClassMap,3,1,,1,21,0,0,1,2,0.0,74,1.0,0,0.0,0.5555555999999999,0,0,23.333334,,,,,,,2,1.3333334,0
