Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
forrest,0.7,org.apache.forrest.locationmap.LocationMapModule,10,2,0,17,38,35,0,17,7,0.7222221999999999,291,1.0,1,0.38461540000000005,0.37037036,0,0,27.5,,,,,0,,1,0.8,3
forrest,0.7,org.apache.forrest.locationmap.WildcardLocationMapMatcher,2,4,0,5,13,1,0,5,1,2.0,62,0.0,0,0.9,0.6666667,1,1,30.0,,,,,0,,4,2.0,0
forrest,0.7,org.apache.forrest.locationmap.lm.SelectNode,3,3,0,13,30,0,2,13,3,0.625,216,1.0,2,0.8181818000000001,0.44444445,2,2,69.666664,,,,,0,,1,0.6666667,0
forrest,0.7,org.apache.forrest.locationmap.lm.LocationNode,3,3,0,11,12,1,2,9,3,0.75,45,1.0,1,0.8181818000000001,0.44444445,0,0,13.333332999999998,,,,,0,,1,0.6666667,0
forrest,0.7,org.apache.forrest.sourcetype.SourceType,4,1,0,9,24,0,1,8,4,0.5,144,1.0,0,0.0,0.5,0,0,34.5,,,,,0,,4,1.5,1
forrest,0.7,org.apache.forrest.sourcetype.SourceInfo,14,1,0,7,19,69,7,0,14,0.8974359000000001,81,1.0,0,0.0,0.78571427,0,0,4.357143,,,,,0,,1,0.9285714,0
forrest,0.7,org.apache.forrest.locationmap.lm.AbstractNode,5,2,4,13,28,6,4,9,3,0.625,138,1.0,0,0.5555555999999999,0.48,0,0,26.2,,,,,0,,1,0.8,0
forrest,0.7,org.apache.forrest.locationmap.RegexpLocationMapMatcher,2,4,0,5,13,1,0,5,1,2.0,62,0.0,0,0.9,0.6666667,1,1,30.0,,,,,0,,4,2.0,0
forrest,0.7,org.apache.forrest.sourcetype.ProcessingInstructionRule,3,1,0,5,9,1,1,4,3,0.5,52,1.0,0,0.0,0.5555555999999999,0,0,15.666667000000002,,,,,0,,6,2.3333333,0
forrest,0.7,org.apache.forrest.locationmap.WildcardLocationMapHintMatcher,2,4,0,2,4,1,0,2,1,2.0,10,0.0,0,0.9,0.6666667,1,1,4.0,,,,,0,,1,0.5,0
forrest,0.7,org.apache.forrest.locationmap.lm.LocationMap$LocationMapServiceManager,2,2,0,3,6,1,1,2,0,2.0,11,0.0,0,0.9,0.75,0,0,4.5,,,,,0,,1,0.5,0
forrest,0.7,org.apache.forrest.sourcetype.DocumentElementRule,3,1,0,5,13,1,1,4,3,0.5,84,1.0,0,0.0,0.5555555999999999,0,0,26.333334000000004,,,,,0,,9,3.3333333,0
forrest,0.7,org.apache.forrest.conf.AntProperties,7,4,0,5,45,21,3,2,7,2.0,215,0.0,0,0.9,0.30952382,2,5,29.714284999999997,,,,,0,,5,1.7142857,0
forrest,0.7,org.apache.forrest.conf.AntProperties$STATE,4,1,0,1,5,0,1,0,0,1.0666666999999999,44,0.2,0,0.0,0.625,0,0,8.75,,,,,0,,2,1.5,0
forrest,0.7,org.apache.forrest.conf.ForrestConfModule,10,3,0,16,42,37,0,16,5,0.9259259,340,1.0,1,0.5,0.36666667,1,1,32.4,,,,,0,,2,1.1,8
