Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
ivy,1.1,fr.jayasoft.ivy.ant.IvyResolve,15,4,0,8,51,47,1,8,15,0.78571427,255,1.0,0,0.7777778000000001,0.36666667,2,4,15.6,,,,,,,1,0.93333334,2
ivy,1.1,fr.jayasoft.ivy.resolver.FileSystemResolver,2,5,0,3,5,1,0,3,2,2.0,12,0.0,0,0.9876543,1.0,1,1,5.0,,,,,,,1,0.5,0
ivy,1.1,fr.jayasoft.ivy.ModuleDescriptor,20,1,0,30,20,190,23,7,20,1.0526316,21,0.0,0,0.0,0.225,0,0,0.0,,,,,,,1,1.0,2
ivy,1.1,fr.jayasoft.ivy.report.LogReportOutputter,4,1,0,10,44,6,1,9,3,2.0,432,0.0,0,0.0,0.35714287,0,0,107.0,,,,,,,11,3.5,2
ivy,1.1,fr.jayasoft.ivy.conflict.FixedConflictManager,3,2,0,4,19,0,1,3,3,0.0,57,1.0,0,0.71428573,0.5,0,0,17.666666,,,,,,,2,1.0,0
ivy,1.1,fr.jayasoft.ivy.resolver.RepositoryResolver,13,4,2,17,57,22,2,15,9,0.25,346,1.0,1,0.85,0.19230770000000003,3,7,25.538462,,,,,,,6,1.6153846,6
ivy,1.1,fr.jayasoft.ivy.latest.LatestLexicographicStrategy,3,2,0,4,10,1,1,3,2,0.5,57,1.0,0,0.8333333,0.6666667,0,0,17.666666,,,,,,,7,2.3333333,0
ivy,1.1,fr.jayasoft.ivy.resolver.AbstractResourceResolver,23,3,1,15,68,127,1,14,8,0.6136364000000001,472,1.0,0,0.6764706,0.18012422,1,8,19.434782000000002,,,,,,,4,1.4782608999999998,2
ivy,1.1,fr.jayasoft.ivy.resolver.ApacheHttpURLLister,4,1,0,2,8,4,0,2,4,0.6666667,24,1.0,1,0.0,0.5,0,0,4.75,,,,,,,1,0.75,0
ivy,1.1,fr.jayasoft.ivy.resolver.AbstractResolver,17,1,4,16,31,120,4,12,16,0.7916667,146,1.0,1,0.0,0.18382353,0,0,7.4117646,,,,,,,2,1.1176469999999998,3
ivy,1.1,fr.jayasoft.ivy.util.StringUtils,2,1,0,1,10,1,1,0,2,2.0,34,0.0,0,0.0,0.5,0,0,16.0,,,,,,,4,2.0,0
ivy,1.1,fr.jayasoft.ivy.DependencyResolver,12,1,0,20,12,66,16,9,12,2.0,12,0.0,0,0.0,0.2,0,0,0.0,,,,,,,1,1.0,1
ivy,1.1,fr.jayasoft.ivy.ant.IvyDeliver$1,0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,,,,,,,0,0.0,0
ivy,1.1,fr.jayasoft.ivy.resolver.BasicResolver,32,2,1,31,147,434,2,30,19,0.9233870999999999,1429,0.875,1,0.34782609999999997,0.121442124,1,1,43.40625,,,,,,,5,1.59375,12
ivy,1.1,fr.jayasoft.ivy.Configuration$Visibility,3,1,0,3,9,1,3,0,1,0.5,47,0.33333334,2,0.0,0.75,0,0,13.666667000000002,,,,,,,3,1.0,0
ivy,1.1,fr.jayasoft.ivy.Main,5,1,0,18,52,10,0,18,2,2.0,489,0.0,0,0.0,0.25,0,0,96.8,,,,,,,1,0.8,4
ivy,1.1,fr.jayasoft.ivy.ArtifactRevisionId,11,1,0,7,26,29,4,3,11,0.3,119,1.0,2,0.0,0.27272728,1,1,9.636364,,,,,,,4,1.1818181,0
ivy,1.1,fr.jayasoft.ivy.ant.IvyCachePath,15,4,0,9,44,63,0,9,15,0.8333333,230,1.0,0,0.7777778000000001,0.36666667,2,4,13.933333,,,,,,,1,0.93333334,4
ivy,1.1,fr.jayasoft.ivy.repository.file.FileRepository$1,4,1,0,3,10,0,1,3,3,0.0,33,0.0,1,0.0,0.6666667,0,0,7.0,,,,,,,1,0.75,0
ivy,1.1,fr.jayasoft.ivy.IvyNode,67,1,0,30,173,1691,15,21,52,0.8818181999999999,2020,1.0,6,0.0,0.122201495,1,1,28.850746,,,,,,,18,2.3880596,25
ivy,1.1,fr.jayasoft.ivy.latest.LatestTimeStrategy,2,2,0,3,6,1,1,2,2,2.0,48,0.0,0,0.8333333,0.6666667,0,0,23.0,,,,,,,6,3.0,0
ivy,1.1,fr.jayasoft.ivy.latest.LatestLexicographicStrategy$1,2,1,0,1,8,1,1,0,1,2.0,59,0.0,0,0.0,0.75,0,0,28.5,,,,,,,7,3.5,0
ivy,1.1,fr.jayasoft.ivy.resolver.RevisionEntry,7,1,0,7,12,0,5,3,7,0.5,40,1.0,1,0.0,0.42857143,0,0,4.428571,,,,,,,1,0.85714287,0
ivy,1.1,fr.jayasoft.ivy.url.URLHandlerDispatcher,9,1,0,4,19,20,1,3,9,0.1875,82,1.0,1,0.0,0.31746033,0,0,7.888889,,,,,,,2,1.0,1
ivy,1.1,fr.jayasoft.ivy.ant.AntMessageImpl,5,1,0,3,17,0,1,2,4,0.41666666,74,1.0,0,0.0,0.5,0,0,13.2,,,,,,,4,1.2,3
ivy,1.1,fr.jayasoft.ivy.util.Configurator,13,1,0,2,59,0,1,1,11,0.6111111,682,1.0,0,0.0,0.4375,0,0,51.23077,,,,,,,16,2.9230769,0
ivy,1.1,fr.jayasoft.ivy.DefaultPublishingDRResolver,2,1,0,5,5,1,2,3,2,2.0,9,0.0,0,0.0,0.6666667,0,0,3.5,,,,,,,1,0.5,1
ivy,1.1,fr.jayasoft.ivy.conflict.LatestConflictManager$IvyNodeArtifactInfo,5,1,0,5,9,0,1,4,3,0.0,28,1.0,1,0.0,0.53333336,0,0,4.4,,,,,,,1,0.6,0
ivy,1.1,fr.jayasoft.ivy.util.CopyProgressEvent,7,1,0,5,8,15,5,0,6,0.5,51,1.0,0,0.0,0.53571427,0,0,5.857143,,,,,,,1,0.5714286,0
ivy,1.1,fr.jayasoft.ivy.repository.url.URLResource,8,1,0,7,21,0,3,4,7,0.42857143,108,1.0,0,0.0,0.5625,0,0,11.875,,,,,,,2,1.25,1
