Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
jEdit,3.2.1,org.gjt.sp.jedit.browser.BrowserPopupMenu,5,5,0,14,45,6,4,11,1,0.8333333,458,1.0,3,0.99443674,0.32,0,0,90.0,,,,,,,3,1.4,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.EnhancedButton,3,6,0,3,13,3,1,2,3,2.0,45,0.0,0,0.9973822,0.5,2,2,14.0,,,,,,,1,0.6666667,0
jEdit,3.2.1,org.gjt.sp.jedit.options.WindowTableModel$WindowCompare,2,1,0,3,4,1,1,3,1,1.0,21,1.0,1,0.0,0.6666667,0,0,9.0,,,,,,,1,0.5,0
jEdit,3.2.1,bsh.LHS,8,1,0,15,31,0,8,9,3,0.76623374,356,0.0,1,0.0,0.375,0,0,42.125,,,,,,,1,0.375,0
jEdit,3.2.1,org.gjt.sp.jedit.browser.BrowserView$ClearTypeSelect,2,1,0,2,7,0,1,2,1,0.0,19,1.0,1,0.0,0.6666667,0,0,8.0,,,,,,,1,0.5,0
jEdit,3.2.1,bsh.Parser,399,1,0,47,487,0,1,47,82,0.71839195,23350,0.8,8,0.0,0.18337509999999999,0,0,57.458645,,,,,,,46,5.5438595,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.TipOfTheDay,6,7,0,6,18,13,3,4,3,0.8,55,1.0,0,0.99240124,0.25,0,0,8.0,,,,,,,1,0.8333333,2
jEdit,3.2.1,org.gjt.sp.jedit.pluginmgr.PluginManagerProgress$WindowHandler,3,2,0,2,10,0,1,2,2,0.5,43,0.5,1,0.8333333,0.6666667,0,0,12.666667,,,,,,,3,1.3333334,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.OptionsDialog,14,7,0,24,106,69,3,24,8,0.86923075,708,1.0,2,0.9804805,0.17460318,0,0,48.857143,,,,,,,9,2.2142856,2
jEdit,3.2.1,org.gjt.sp.jedit.io.VFSManager,23,1,0,39,64,159,33,13,16,0.85858583,300,1.0,3,0.0,0.103896104,0,0,11.652174,,,,,,,9,1.4782608999999998,2
jEdit,3.2.1,gnu.regexp.REException,4,3,0,4,13,0,4,1,3,1.2222222,71,0.13333334,0,0.85,0.5,1,1,13.0,,,,,,,1,0.75,0
jEdit,3.2.1,org.gjt.sp.jedit.options.EditingOptionPane,3,6,0,4,23,1,1,3,1,0.5,330,1.0,0,0.99698794,1.0,2,4,105.33333600000002,,,,,,,3,1.3333334,3
jEdit,3.2.1,org.gjt.sp.jedit.options.ToolBarOptionPane$ButtonCellRenderer,2,6,0,2,6,1,1,1,1,2.0,26,0.0,0,0.99856734,0.6,1,1,12.0,,,,,,,1,0.5,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.DockableWindowManager$Entry,1,1,0,3,2,0,1,2,0,2.0,16,0.0,2,0.0,1.0,0,0,12.0,,,,,,,0,0.0,0
jEdit,3.2.1,org.gjt.sp.jedit.Buffer$FoldListener,2,1,0,3,2,1,3,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,,,,,,,1,1.0,0
jEdit,3.2.1,org.gjt.sp.jedit.browser.BrowserView$TreeHandler,3,1,0,3,14,0,1,3,2,0.0,66,1.0,1,0.0,0.6666667,0,0,20.666666,,,,,,,3,1.6666666,0
jEdit,3.2.1,org.gjt.sp.jedit.MiscUtilities$StringICaseCompare,2,1,0,6,6,1,5,1,2,2.0,13,0.0,0,0.0,0.75,0,0,5.5,,,,,,,1,0.5,0
jEdit,3.2.1,org.gjt.sp.jedit.pluginmgr.PluginList$Dependency,5,1,0,9,20,0,4,6,1,0.25,244,0.0,1,0.0,0.45,0,0,46.8,,,,,,,18,6.2,0
jEdit,3.2.1,org.gjt.sp.jedit.options.ModeOptionPane,12,6,0,6,38,28,3,5,1,0.39234450000000004,645,1.0,2,0.9836553,0.5,1,3,51.166668,,,,,,,5,1.4166666,3
jEdit,3.2.1,org.gjt.sp.jedit.gui.DockableWindowManager$DockableLayout,11,1,0,1,21,41,1,1,10,0.56666666,402,0.16666667,1,0.0,0.36363637,0,0,35.0,,,,,,,10,2.6363637000000004,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.CloseDialog,14,7,0,7,54,65,3,7,4,0.84615386,313,1.0,1,0.9804805,0.2857143,0,0,20.857143,,,,,,,3,1.0714285,3
jEdit,3.2.1,org.gjt.sp.jedit.options.ToolBarOptionPane$IconListEntry,1,1,0,3,2,0,3,0,0,2.0,12,0.0,0,0.0,1.0,0,0,9.0,,,,,,,0,0.0,0
jEdit,3.2.1,org.gjt.sp.jedit.Registers$StringRegister,4,1,0,2,5,0,1,1,4,0.33333334,19,1.0,0,0.0,0.75,0,0,3.5,,,,,,,1,0.75,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.IOProgressMonitor$ThreadProgress,5,5,0,7,31,0,3,6,2,0.625,144,1.0,1,0.99391174,0.35,1,1,27.0,,,,,,,2,1.0,0
jEdit,3.2.1,org.gjt.sp.jedit.EditServer,6,2,0,6,50,9,3,5,3,0.8,305,1.0,0,0.92424244,0.30555555,0,0,49.166668,,,,,,,8,2.0,4
jEdit,3.2.1,org.gjt.sp.jedit.options.ContextOptionPane$MenuItemCompare,2,1,0,3,5,1,1,3,1,1.0,19,1.0,1,0.0,0.6666667,0,0,8.0,,,,,,,1,0.5,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.HelpViewer$KeyHandler,2,2,0,1,7,0,1,1,1,0.0,22,1.0,1,0.75,0.6666667,0,0,9.5,,,,,,,2,1.0,0
jEdit,3.2.1,bsh.BSHForStatement,2,2,0,12,10,1,1,11,1,1.125,137,0.625,4,0.94736844,0.625,1,1,63.5,,,,,,,1,0.5,0
jEdit,3.2.1,org.gjt.sp.jedit.textarea.Gutter,30,4,0,10,73,337,7,7,25,0.92720306,628,1.0,3,0.95703703,0.12777779,3,18,19.333334,,,,,,,20,1.9,8
jEdit,3.2.1,org.gjt.sp.jedit.JARClassLoader,14,2,0,11,88,35,6,7,8,0.6730769,889,1.0,1,0.84210527,0.61904764,1,7,62.214287,,,,,,,10,2.0714285,4
jEdit,3.2.1,org.gjt.sp.jedit.gui.StatusBar$MiniIOProgress,6,4,0,7,35,9,2,6,6,0.8,169,1.0,1,0.9923195,0.33333334,2,9,26.833334000000004,,,,,,,5,1.5,0
jEdit,3.2.1,org.gjt.sp.jedit.io.BufferIORequest,11,2,0,10,96,21,2,10,3,0.82857144,1272,0.5,3,0.33333334,0.23636363,0,0,113.36363999999999,,,,,,,17,4.909091,9
jEdit,3.2.1,org.gjt.sp.jedit.textarea.JEditTextArea$CaretBlinker,2,1,0,1,6,1,1,1,1,2.0,13,0.0,0,0.0,0.75,0,0,5.5,,,,,,,3,1.5,0
jEdit,3.2.1,org.gjt.sp.jedit.EditPlugin,10,1,2,11,13,39,10,3,8,0.7777778000000001,33,1.0,1,0.0,0.25,0,0,2.2,,,,,,,1,0.9,1
jEdit,3.2.1,bsh.ReturnControl,1,1,0,10,2,0,9,1,1,2.0,12,0.0,0,0.0,1.0,0,0,9.0,,,,,,,0,0.0,0
jEdit,3.2.1,org.gjt.sp.jedit.gui.VariableGridLayout,17,1,0,1,37,100,1,0,16,0.7,691,0.8,0,0.0,0.32352942,0,0,39.058823,,,,,,,13,2.1176472,0
jEdit,3.2.1,bsh.ASCII_UCodeESC_CharStream,27,1,0,3,40,25,3,0,21,0.5294118,1277,0.7058824,0,0.0,0.29629629999999996,0,0,45.666668,,,,,,,7,1.5925926000000001,0
jEdit,3.2.1,org.gjt.sp.jedit.options.ContextOptionPane$ListHandler,2,1,0,1,4,0,1,1,1,0.0,13,1.0,1,0.0,0.6666667,0,0,5.0,,,,,,,1,0.5,0
jEdit,3.2.1,org.gjt.sp.jedit.pluginmgr.PluginListDownloadProgress$WindowHandler,3,2,0,2,9,0,1,2,2,0.5,40,0.5,1,0.8333333,0.6666667,0,0,11.666667,,,,,,,3,1.3333334,0
jEdit,3.2.1,org.gjt.sp.jedit.options.StyleEditor,5,7,0,5,52,2,1,4,4,0.64285713,380,1.0,0,0.99391174,0.4,0,0,73.6,,,,,,,6,2.6,0
jEdit,3.2.1,org.gjt.sp.jedit.pluginmgr.PluginListDownloadProgress,7,6,0,7,33,11,4,6,0,0.7777778000000001,145,1.0,3,0.99086756,0.2857143,0,0,19.285715,,,,,,,1,0.85714287,1
jEdit,3.2.1,org.gjt.sp.jedit.pluginmgr.PluginManagerProgress$RosterThread,2,2,0,3,5,0,1,2,1,0.0,18,1.0,1,0.9838709999999999,0.75,0,0,7.5,,,,,,,1,0.5,0
jEdit,3.2.1,bsh.ParserTokenManager,50,1,0,5,66,3,1,4,6,0.7517007,6259,0.16666667,1,0.0,0.5,0,0,123.7,,,,,,,163,8.68,0
jEdit,3.2.1,bsh.Interpreter$1,2,3,0,1,3,1,1,0,1,2.0,8,0.0,0,0.94736844,0.75,1,1,3.0,,,,,,,1,0.5,0
jEdit,3.2.1,org.gjt.sp.jedit.Registers$Register,2,1,0,5,2,1,5,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,,,,,,,1,1.0,0
jEdit,3.2.1,org.gjt.sp.jedit.options.AbbrevsOptionPane$ActionHandler,2,1,0,2,12,0,1,2,1,0.0,46,1.0,1,0.0,0.6666667,0,0,21.5,,,,,,,3,1.5,0
jEdit,3.2.1,bsh.Parser$JJCalls,1,1,0,2,2,0,1,1,0,2.0,8,0.0,2,0.0,1.0,0,0,3.0,,,,,,,0,0.0,0
jEdit,3.2.1,bsh.NameSpace$TypedVariable,5,1,0,5,16,0,1,5,1,0.41666666,97,0.0,0,0.0,0.45,0,0,17.8,,,,,,,1,0.8,0
jEdit,3.2.1,org.gjt.sp.jedit.options.PrintOptionPane,3,6,0,4,24,1,1,3,1,0.5,253,1.0,1,0.99698794,1.0,1,3,80.0,,,,,,,1,0.6666667,1
