Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
jEdit,4.0,gnu.regexp.RETokenRange,4,2,0,4,9,0,1,3,0,0.44444445,80,1.0,0,0.7,0.35714287,1,2,18.25,1,1,50,1,0,,5,1.75,0
jEdit,4.0,org.gjt.sp.jedit.Java14,3,1,0,9,19,3,0,9,2,1.0,54,1.0,0,0.0,0.33333334,0,0,16.666666,7,1,161,0,0,,3,1.3333334,2
jEdit,4.0,org.gjt.sp.jedit.browser.BrowserIORequest,7,2,0,7,28,0,1,7,3,0.6212121,559,0.6363635999999999,2,0.45454547,0.26530612,0,0,77.28571,8,1,412,1,5,,5,3.2857144,0
jEdit,4.0,bsh.BSHPrimitiveType,2,2,0,4,3,1,3,1,1,1.0,10,0.0,0,0.94736844,0.75,0,0,3.5,1,1,44,1,0,,1,0.5,0
jEdit,4.0,org.gjt.sp.jedit.gui.MarkersMenu$MarkersMenuItem,5,6,0,3,34,2,1,2,2,0.5,161,1.0,0,0.9962405999999999,0.4,2,11,30.2,,0,,,0,,3,1.6,0
jEdit,4.0,bsh.InterpreterError,1,4,0,17,2,0,17,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,1,1,46,1,0,,0,0.0,0
jEdit,4.0,org.gjt.sp.jedit.gui.StatusBar$VICaretStatus,3,4,0,5,41,0,2,4,2,0.33333334,286,1.0,1,0.99691355,0.44444445,1,2,93.333336,,0,,,0,,6,3.3333333,0
jEdit,4.0,org.gjt.sp.jedit.pluginmgr.PluginList$Branch,4,1,0,7,15,0,6,2,1,1.0416665999999999,90,0.0,0,0.0,0.4375,0,0,19.5,,0,,,0,,3,1.5,0
jEdit,4.0,bsh.BSHTryStatement,2,2,0,12,22,1,1,11,1,2.0,186,0.0,0,0.94736844,0.625,1,2,92.0,1,1,153,1,0,,1,0.5,0
jEdit,4.0,org.gjt.sp.jedit.gui.JCheckBoxList,8,5,0,3,33,28,1,2,7,2.0,143,0.0,0,0.9929742,0.5,1,1,16.875,3,1,235,1,0,,3,1.125,1
jEdit,4.0,org.gjt.sp.jedit.buffer.BufferChangeListener,4,1,0,4,4,6,4,1,4,2.0,4,0.0,0,0.0,0.9166667,0,0,0.0,5,1,116,0,0,,1,1.0,0
jEdit,4.0,org.gjt.sp.jedit.pluginmgr.PluginListDownloadProgress$DownloadThread,2,2,0,9,18,0,3,7,1,0.0,95,1.0,1,0.9838709999999999,0.75,0,0,46.0,,0,,,0,,1,0.5,0
jEdit,4.0,org.gjt.sp.jedit.print.BufferPrintable,5,1,0,10,47,0,1,9,1,0.7105263,563,1.0,2,0.0,0.41666666,0,0,107.8,11,1,405,0,0,,1,0.6,3
jEdit,4.0,org.gjt.sp.jedit.gui.BufferSwitcher,4,5,0,6,16,0,4,5,2,0.5,54,1.0,1,0.99585634,0.41666666,0,0,12.0,1,1,88,1,0,,2,1.0,0
