Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
log4j,1.1,org.apache.log4j.test.Min,5,1,0,8,26,10,0,8,2,2.0,508,0.0,0,0.0,0.26666668,0,0,100.6,1,1,,1,0,,3,1.4,0
log4j,1.1,org.apache.log4j.NDC,12,1,0,12,41,0,10,2,9,0.6666667,275,0.0,0,0.0,0.09090909,0,0,21.666666,1,1,,1,1,,6,2.25,2
log4j,1.1,org.apache.log4j.test.ConfigurationFileParsing,4,1,0,3,20,6,0,3,2,0.6666667,69,0.0,0,0.0,0.33333334,0,0,16.0,1,1,,1,0,,2,1.25,0
log4j,1.1,org.apache.log4j.NDC$DiagnosticContext,1,1,0,1,6,0,1,0,0,2.0,28,0.0,0,0.0,1.0,0,0,25.0,,0,,,0,,0,0.0,0
log4j,1.1,org.apache.log4j.AsyncAppender,16,2,0,10,48,34,1,10,16,0.8833333000000001,320,0.0,3,0.54545456,0.25,2,3,18.5,16,3,,1,5,,5,1.4375,5
log4j,1.1,org.apache.log4j.Hierarchy,23,1,0,23,65,125,15,10,20,0.8737374,530,0.11111111,3,0.0,0.18686868,0,0,21.652174,8,1,,1,2,,6,1.9130435000000001,3
log4j,1.1,org.apache.log4j.performance.ListVsVector,5,1,0,1,17,0,0,1,2,0.5,163,0.0,1,0.0,0.25,0,0,30.8,0,0,,1,0,,3,1.4,0
log4j,1.1,org.apache.log4j.net.JMSSink,5,1,0,7,31,10,0,7,2,0.875,145,0.0,0,0.0,0.3,0,0,27.6,2,1,,1,0,,3,1.4,3
log4j,1.1,org.apache.log4j.helpers.AppenderAttachableImpl,8,1,0,6,22,0,3,3,8,0.14285715,176,1.0,0,0.0,0.40625,0,0,20.875,1,1,,1,0,,5,3.125,0
log4j,1.1,org.apache.log4j.RollingCalendar,4,3,0,0,13,0,0,0,2,0.0,161,0.0,0,0.9752065999999999,0.5833333,0,0,39.0,0,0,,0,0,,3,1.25,0
log4j,1.1,org.apache.log4j.StressCategory$CT,1,1,0,2,2,0,1,1,0,2.0,12,0.0,1,0.0,1.0,0,0,9.0,,0,,,0,,0,0.0,0
log4j,1.1,org.apache.log4j.FileAppender,16,3,1,8,40,0,1,7,13,0.6666667,306,0.6,0,0.75555557,0.32291666,1,13,17.8125,15,3,,1,1,,6,1.375,3
log4j,1.1,org.apache.log4j.helpers.ISO8601DateFormat,4,4,0,3,12,6,2,1,4,2.0,99,0.0,0,0.95348835,0.35714287,1,3,23.75,1,1,,1,0,,3,1.0,0
log4j,1.1,org.apache.log4j.test.CategoryWrapper,7,1,0,6,22,11,0,6,3,0.6666667,107,0.0,1,0.0,0.375,0,0,13.857142000000001,1,1,,1,0,,2,0.85714287,0
log4j,1.1,org.apache.log4j.spi.AppenderAttachable,6,1,0,4,6,15,3,1,6,2.0,6,0.0,0,0.0,0.5555555999999999,0,0,0.0,1,1,,1,0,,1,1.0,0
log4j,1.1,org.apache.log4j.test.MultipleAppenders,2,1,0,3,20,1,0,3,2,2.0,85,0.0,0,0.0,0.5,0,0,41.5,0,0,,1,0,,6,3.0,0
log4j,1.1,org.apache.log4j.Priority,11,1,0,31,14,15,31,0,9,0.7923077,174,0.0,5,0.0,0.35,0,0,13.636364000000002,4,1,,1,1,,7,2.0,5
log4j,1.1,org.apache.log4j.net.SocketServer,8,1,0,6,48,6,0,6,2,0.6666667,356,0.0,3,0.0,0.25714287,0,0,42.375,4,1,,1,1,,3,1.75,1
log4j,1.1,org.apache.log4j.test.Base64,5,1,0,0,15,8,0,0,1,0.8333333,479,0.0,0,0.0,0.3125,0,0,94.2,0,0,,1,0,,7,2.0,0
